,BuypriceChangeBarrier,maxProftBarrier,delta,Total_Profit,Total_Brokerrage,Total_Transactions
0,-0.001,0.01,0.02,32415.000000000055,8050.0,161.0
1,-0.001,0.009000000000000001,0.02,61575.00000000022,8150.0,163.0
2,-0.001,0.008000000000000002,0.02,15000.000000000557,8700.0,174.0
3,-0.001,0.007000000000000003,0.02,3675.0000000005402,8800.0,176.0
4,-0.001,0.006000000000000004,0.02,-12779.99999999964,8800.0,176.0
5,-0.001,0.0050000000000000044,0.02,-24749.999999999665,8800.0,176.0
6,-0.001,0.004000000000000005,0.02,-10619.999999999894,9150.0,183.0
7,-0.001,0.003000000000000006,0.02,22575.000000000076,9450.0,189.0
8,-0.001,0.002000000000000007,0.02,270.00000000003,9600.0,192.0
9,-0.001,0.01,0.019,32415.000000000055,8050.0,161.0
10,-0.001,0.009000000000000001,0.019,61575.00000000022,8150.0,163.0
11,-0.001,0.008000000000000002,0.019,15000.000000000557,8700.0,174.0
12,-0.001,0.007000000000000003,0.019,3675.0000000005402,8800.0,176.0
13,-0.001,0.006000000000000004,0.019,-12779.99999999964,8800.0,176.0
14,-0.001,0.0050000000000000044,0.019,-24749.999999999665,8800.0,176.0
15,-0.001,0.004000000000000005,0.019,-10619.999999999894,9150.0,183.0
16,-0.001,0.003000000000000006,0.019,22575.000000000076,9450.0,189.0
17,-0.001,0.002000000000000007,0.019,270.00000000003,9600.0,192.0
18,-0.001,0.01,0.018,32415.000000000055,8050.0,161.0
19,-0.001,0.009000000000000001,0.018,61575.00000000022,8150.0,163.0
20,-0.001,0.008000000000000002,0.018,15000.000000000557,8700.0,174.0
21,-0.001,0.007000000000000003,0.018,3675.0000000005402,8800.0,176.0
22,-0.001,0.006000000000000004,0.018,-12779.99999999964,8800.0,176.0
23,-0.001,0.0050000000000000044,0.018,-24749.999999999665,8800.0,176.0
24,-0.001,0.004000000000000005,0.018,-10619.999999999894,9150.0,183.0
25,-0.001,0.003000000000000006,0.018,22575.000000000076,9450.0,189.0
26,-0.001,0.002000000000000007,0.018,270.00000000003,9600.0,192.0
27,-0.001,0.01,0.016999999999999998,32415.000000000055,8050.0,161.0
28,-0.001,0.009000000000000001,0.016999999999999998,61575.00000000022,8150.0,163.0
29,-0.001,0.008000000000000002,0.016999999999999998,15000.000000000557,8700.0,174.0
30,-0.001,0.007000000000000003,0.016999999999999998,3675.0000000005402,8800.0,176.0
31,-0.001,0.006000000000000004,0.016999999999999998,-12779.99999999964,8800.0,176.0
32,-0.001,0.0050000000000000044,0.016999999999999998,-24749.999999999665,8800.0,176.0
33,-0.001,0.004000000000000005,0.016999999999999998,-10619.999999999894,9150.0,183.0
34,-0.001,0.003000000000000006,0.016999999999999998,22575.000000000076,9450.0,189.0
35,-0.001,0.002000000000000007,0.016999999999999998,270.00000000003,9600.0,192.0
36,-0.001,0.01,0.015999999999999997,35550.000000000065,8050.0,161.0
37,-0.001,0.009000000000000001,0.015999999999999997,64710.00000000023,8150.0,163.0
38,-0.001,0.008000000000000002,0.015999999999999997,22350.000000000557,8650.0,173.0
39,-0.001,0.007000000000000003,0.015999999999999997,11025.00000000054,8750.0,175.0
40,-0.001,0.006000000000000004,0.015999999999999997,-5429.999999999637,8750.0,175.0
