Date,Unnamed: 0,Open,High,Low,Close,Adj Close,Volume,Daily_Log_Return,mvAverageStrategy_T1,mvAverageStrategy_T2,trading_signal,liquidatePosition,deltacal,Stock_BUY_Sell
2021-09-28,0,1710.0,1710.0,1675.0,1687.0999755859375,1672.279541015625,6557197,1687.0999755859375,,,,,,
2021-09-29,1,1659.25,1701.4000244140625,1655.0,1692.25,1677.3843994140625,7792548,1692.25,,,,,,
2021-09-30,2,1703.0,1703.0,1670.0999755859375,1675.199951171875,1660.484130859375,6914031,1675.199951171875,,,,,,
2021-10-01,3,1665.0999755859375,1678.949951171875,1661.25,1665.1500244140625,1650.5224609375,5733906,1665.1500244140625,,,,,,
2021-10-04,4,1672.5,1688.0,1665.4000244140625,1678.75,1664.0029296875,2947154,1678.75,,,,,,
2021-10-05,5,1671.0,1702.949951171875,1663.0,1692.800048828125,1677.9295654296875,4373310,1692.800048828125,,,,,,
2021-10-06,6,1702.0999755859375,1709.0,1670.0,1673.550048828125,1658.8487548828125,4271698,1673.550048828125,,,,,,
2021-10-07,7,1687.0,1704.199951171875,1676.6500244140625,1691.0,1676.1453857421875,5476108,1691.0,,,,,,
2021-10-08,8,1705.25,1731.5,1698.4000244140625,1723.8499755859375,1708.706787109375,4738376,1723.8499755859375,,,,,,
2021-10-11,9,1682.0,1730.0,1663.699951171875,1690.949951171875,1676.095703125,8840633,1690.949951171875,,,,,,
2021-10-12,10,1677.0,1689.0,1662.0,1685.1500244140625,1670.3468017578125,7439300,1685.1500244140625,,,,,,
2021-10-13,11,1695.949951171875,1713.6500244140625,1680.050048828125,1709.199951171875,1694.1854248046875,7104171,1709.199951171875,,,,,,
2021-10-14,12,1754.0,1783.5999755859375,1698.199951171875,1715.75,1700.677978515625,19655776,1715.75,,,,,,
2021-10-18,13,1740.0,1799.0,1740.0,1792.1500244140625,1776.4068603515625,13438109,1792.1500244140625,,,,,,
2021-10-19,14,1814.0,1834.5,1782.300048828125,1822.1500244140625,1806.143310546875,10324260,1822.1500244140625,,,,,,
2021-10-20,15,1829.4000244140625,1848.0,1794.050048828125,1802.3499755859373,1786.5172119140625,5876115,1802.3499755859373,,,,,,
2021-10-21,16,1814.0,1814.0,1746.8499755859375,1753.6500244140625,1738.2449951171875,8779629,1753.6500244140625,,,,,,
2021-10-22,17,1749.9000244140625,1763.199951171875,1707.0,1719.800048828125,1704.6923828125,7369809,1719.800048828125,,,,,,
2021-10-25,18,1722.050048828125,1729.75,1687.199951171875,1707.550048828125,1692.550048828125,5905209,1707.550048828125,,,,,,
2021-10-26,19,1710.050048828125,1726.5999755859375,1695.9000244140625,1703.699951171875,1703.699951171875,5871709,1703.699951171875,,,,,,
2021-10-27,20,1709.0999755859375,1734.1500244140625,1701.1500244140625,1728.949951171875,1728.949951171875,5090259,1728.949951171875,,,,,,
2021-10-28,21,1719.3499755859375,1724.75,1692.050048828125,1703.9000244140625,1703.9000244140625,5329972,1703.9000244140625,,,,,,
2021-10-29,22,1699.0,1712.5999755859375,1661.050048828125,1667.75,1667.75,5875091,1667.75,,,,,,
2021-11-01,23,1677.5,1707.199951171875,1676.0,1700.050048828125,1700.050048828125,3636806,1700.050048828125,,,,,,
2021-11-02,24,1695.0,1706.449951171875,1686.3499755859375,1697.9000244140625,1697.9000244140625,3471772,1697.9000244140625,,,,,,
2021-11-03,25,1709.0,1717.449951171875,1699.0,1702.5,1702.5,3530713,1702.5,,,,,,
2021-11-04,26,1715.0,1717.0,1705.0,1708.699951171875,1708.699951171875,483407,1708.699951171875,,,,,,
2021-11-08,27,1730.0,1741.0,1703.0,1737.5,1737.5,5245903,1737.5,,,,,,
2021-11-09,28,1734.75,1750.0,1726.0,1742.5,1742.5,4016134,1742.5,,,,,,
2021-11-10,29,1726.0,1750.949951171875,1721.949951171875,1740.1500244140625,1740.1500244140625,4780368,1740.1500244140625,,,,,,
2021-11-11,30,1732.949951171875,1739.75,1709.0,1733.300048828125,1733.300048828125,4731349,1733.300048828125,,,,,,
2021-11-12,31,1743.0,1782.8499755859375,1738.050048828125,1780.199951171875,1780.199951171875,5069009,1780.199951171875,1712.9900024414062,1713.731669108073,-1.0,1.0,1767.9660498046876,-300.0
2021-11-15,32,1782.0999755859375,1800.0,1775.5,1787.1500244140625,1787.1500244140625,4354074,1787.1500244140625,1713.4250122070312,1715.2716715494792,-1.0,1.0,1815.8039501953126,0.0
2021-11-16,33,1790.0,1808.949951171875,1777.0,1792.300048828125,1792.300048828125,6034233,1792.300048828125,1721.0550048828125,1718.2033365885416,1.0,1.0,1751.4070239257812,600.0
2021-11-17,34,1792.550048828125,1802.0,1780.699951171875,1787.449951171875,1787.449951171875,4732492,1787.449951171875,1732.9950073242187,1721.9350056966146,1.0,1.0,1756.4540478515626,0.0
2021-11-18,35,1781.5999755859375,1789.449951171875,1759.0,1779.4000244140625,1779.4000244140625,4326924,1779.4000244140625,1742.2200073242188,1726.17333984375,1.0,1.0,1751.7009521484374,0.0
2021-11-22,36,1784.0,1785.4000244140625,1751.1500244140625,1759.4000244140625,1759.4000244140625,6621839,1759.4000244140625,1751.175,1729.7966715494792,1.0,1.0,1743.8120239257812,-300.0
2021-11-23,37,1735.0999755859375,1747.25,1710.0,1736.9000244140625,1736.9000244140625,8436160,1736.9000244140625,1758.8650024414062,1732.6833374023438,1.0,1.0,1724.2120239257813,300.0
2021-11-24,38,1740.0,1740.5,1688.0,1696.0,1696.0,7333061,1696.0,1763.935009765625,1735.5450032552083,1.0,1.0,1702.162023925781,-300.0
2021-11-25,39,1700.0,1726.199951171875,1696.949951171875,1722.4000244140625,1722.4000244140625,4476260,1722.4000244140625,1763.8750122070312,1737.0750040690104,1.0,1.0,1662.08,300.0
