,Date,Open,High,Low,Close,Adj Close,Volume
0,2021-09-30,1703.0,1703.0,1670.0999755859375,1675.199951171875,1660.484130859375,6914031
1,2021-10-01,1665.0999755859375,1678.949951171875,1661.25,1665.1500244140625,1650.5224609375,5733906
2,2021-10-04,1672.5,1688.0,1665.4000244140625,1678.75,1664.0029296875,2947154
3,2021-10-05,1671.0,1702.949951171875,1663.0,1692.800048828125,1677.9295654296875,4373310
4,2021-10-06,1702.0999755859375,1709.0,1670.0,1673.550048828125,1658.8487548828125,4271698
5,2021-10-07,1687.0,1704.199951171875,1676.6500244140625,1691.0,1676.1453857421875,5476108
6,2021-10-08,1705.25,1731.5,1698.4000244140625,1723.8499755859375,1708.706787109375,4738376
7,2021-10-11,1682.0,1730.0,1663.699951171875,1690.949951171875,1676.095703125,8840633
8,2021-10-12,1677.0,1689.0,1662.0,1685.1500244140625,1670.3468017578125,7439300
9,2021-10-13,1695.949951171875,1713.6500244140625,1680.050048828125,1709.199951171875,1694.1854248046875,7104171
10,2021-10-14,1754.0,1783.5999755859375,1698.199951171875,1715.75,1700.677978515625,19655776
11,2021-10-18,1740.0,1799.0,1740.0,1792.1500244140625,1776.4068603515625,13438109
12,2021-10-19,1814.0,1834.5,1782.300048828125,1822.1500244140625,1806.143310546875,10324260
13,2021-10-20,1829.4000244140625,1848.0,1794.050048828125,1802.3499755859375,1786.5172119140625,5876115
14,2021-10-21,1814.0,1814.0,1746.8499755859375,1753.6500244140625,1738.2449951171875,8779629
15,2021-10-22,1749.9000244140625,1763.199951171875,1707.0,1719.800048828125,1704.6923828125,7369809
16,2021-10-25,1722.050048828125,1729.75,1687.199951171875,1707.550048828125,1692.550048828125,5905209
17,2021-10-26,1710.050048828125,1726.5999755859375,1695.9000244140625,1703.699951171875,1703.699951171875,5871709
18,2021-10-27,1709.0999755859375,1734.1500244140625,1701.1500244140625,1728.949951171875,1728.949951171875,5090259
19,2021-10-28,1719.3499755859375,1724.75,1692.050048828125,1703.9000244140625,1703.9000244140625,5329972
20,2021-10-29,1699.0,1712.5999755859375,1661.050048828125,1667.75,1667.75,5875091
21,2021-11-01,1677.5,1707.199951171875,1676.0,1700.050048828125,1700.050048828125,3636806
22,2021-11-02,1695.0,1706.449951171875,1686.3499755859375,1697.9000244140625,1697.9000244140625,3471772
23,2021-11-03,1709.0,1717.449951171875,1699.0,1702.5,1702.5,3530713
24,2021-11-04,1715.0,1717.0,1705.0,1708.699951171875,1708.699951171875,483407
25,2021-11-08,1730.0,1741.0,1703.0,1737.5,1737.5,5245903
26,2021-11-09,1734.75,1750.0,1726.0,1742.5,1742.5,4016134
27,2021-11-10,1726.0,1750.949951171875,1721.949951171875,1740.1500244140625,1740.1500244140625,4780368
28,2021-11-11,1732.949951171875,1739.75,1709.0,1733.300048828125,1733.300048828125,4731349
29,2021-11-12,1743.0,1782.8499755859375,1738.050048828125,1780.199951171875,1780.199951171875,5069009
30,2021-11-15,1782.0999755859375,1800.0,1775.5,1787.1500244140625,1787.1500244140625,4354074
31,2021-11-16,1790.0,1808.949951171875,1777.0,1792.300048828125,1792.300048828125,6034233
32,2021-11-17,1792.550048828125,1802.0,1780.699951171875,1787.449951171875,1787.449951171875,4732492
33,2021-11-18,1781.5999755859375,1789.449951171875,1759.0,1779.4000244140625,1779.4000244140625,4326924
34,2021-11-22,1784.0,1785.4000244140625,1751.1500244140625,1759.4000244140625,1759.4000244140625,6621839
35,2021-11-23,1735.0999755859375,1747.25,1710.0,1736.9000244140625,1736.9000244140625,8436160
36,2021-11-24,1740.0,1740.5,1688.0,1696.0,1696.0,7333061
37,2021-11-25,1700.0,1726.199951171875,1696.949951171875,1722.4000244140625,1722.4000244140625,4476260
38,2021-11-26,1702.550048828125,1718.3499755859375,1684.0,1691.6500244140625,1691.6500244140625,4494181
39,2021-11-29,1691.0,1712.0,1669.1500244140625,1696.3499755859375,1696.3499755859375,3942776
40,2021-11-30,1704.550048828125,1729.9000244140625,1700.050048828125,1712.6500244140625,1712.6500244140625,14808963
41,2021-12-01,1715.0,1741.9000244140625,1713.0,1714.9000244140625,1714.9000244140625,5193264
42,2021-12-02,1715.0,1750.5,1711.3499755859375,1748.25,1748.25,5559574
43,2021-12-03,1771.0999755859375,1786.6500244140625,1732.550048828125,1735.550048828125,1735.550048828125,6754012
44,2021-12-06,1730.0,1733.949951171875,1691.5,1695.300048828125,1695.300048828125,3991449
45,2021-12-07,1701.0999755859375,1724.9000244140625,1694.0,1711.6500244140625,1711.6500244140625,4202122
46,2021-12-08,1733.0,1759.800048828125,1732.5999755859375,1753.3499755859375,1753.3499755859375,3029169
47,2021-12-09,1759.0,1769.4000244140625,1742.0,1763.449951171875,1763.449951171875,2082171
48,2021-12-10,1760.0,1763.75,1746.0,1759.25,1759.25,1823469
49,2021-12-13,1767.050048828125,1771.3499755859375,1738.800048828125,1744.6500244140625,1744.6500244140625,4040584
50,2021-12-14,1730.9000244140625,1763.0,1710.3499755859375,1752.1500244140625,1752.1500244140625,4768144
51,2021-12-15,1745.0,1747.949951171875,1721.199951171875,1734.199951171875,1734.199951171875,3053149
52,2021-12-16,1762.6500244140625,1777.5999755859375,1758.0,1771.5999755859375,1771.5999755859375,4481031
53,2021-12-17,1820.0,1842.0,1806.75,1820.8499755859375,1820.8499755859375,18887243
54,2021-12-20,1801.699951171875,1829.6500244140625,1787.300048828125,1798.9000244140625,1798.9000244140625,5773891
55,2021-12-21,1801.0,1838.0,1801.0,1811.5999755859375,1811.5999755859375,5353584
56,2021-12-22,1825.0,1829.1500244140625,1812.3499755859375,1824.699951171875,1824.699951171875,4156428
57,2021-12-23,1831.25,1861.5999755859375,1827.0,1857.5999755859375,1857.5999755859375,4112933
58,2021-12-24,1872.949951171875,1875.75,1854.0,1863.5,1863.5,3780347
59,2021-12-27,1860.0,1874.5,1845.050048828125,1866.1500244140625,1866.1500244140625,2647733
60,2021-12-28,1880.699951171875,1895.9000244140625,1878.4000244140625,1888.0,1888.0,3340933
61,2021-12-29,1883.5,1893.800048828125,1876.4000244140625,1885.550048828125,1885.550048828125,3236635
62,2021-12-30,1884.5,1909.800048828125,1874.3499755859375,1892.8499755859375,1892.8499755859375,4584738
63,2021-12-31,1890.0,1898.3499755859375,1871.6500244140625,1887.75,1887.75,4619420
