Date,Unnamed: 0,Open,High,Low,Close,Adj Close,Volume,Daily_Log_Return,mvAverageStrategy_T1,mvAverageStrategy_T2,trading_signal,liquidatePosition,deltacal,Stock_BUY_Sell,Position,Realised_PNL,MTM,AvgPrc
2021-11-16,31,1790.0,1808.949951171875,1777.0,1792.300048828125,1792.300048828125,6034233,1792.300048828125,1721.0550048828125,1718.2033365885416,1.0,1.0,1778.214274291992,200.0,200.0,0.0,460.009765625,1790.0
2021-11-17,32,1792.550048828125,1802.0,1780.699951171875,1787.449951171875,1787.449951171875,4732492,1787.449951171875,1732.9950073242187,1721.9350056966146,1.0,1.0,1783.3385485839844,-200.0,0.0,510.009765625,0.0,0.0
2021-11-18,33,1781.5999755859375,1789.449951171875,1759.0,1779.4000244140625,1779.4000244140625,4326924,1779.4000244140625,1742.2200073242188,1726.17333984375,1.0,1.0,1778.5127014160157,200.0,200.0,510.009765625,-439.990234375,1781.5999755859375
2021-11-22,34,1784.0,1785.4000244140625,1751.1500244140625,1759.4000244140625,1759.4000244140625,6621839,1759.4000244140625,1751.175,1729.7966715494792,1.0,1.0,1770.5030242919922,-200.0,0.0,990.0146484375,0.0,0.0
2021-11-23,35,1735.0999755859375,1747.25,1710.0,1736.9000244140625,1736.9000244140625,8436160,1736.9000244140625,1758.8650024414062,1732.6833374023438,1.0,-1.0,1750.6030242919921,-0.0,0.0,990.0146484375,0.0,0.0
2021-11-24,36,1740.0,1740.5,1688.0,1696.0,1696.0,7333061,1696.0,1763.935009765625,1735.5450032552083,1.0,1.0,1728.215524291992,200.0,200.0,990.0146484375,-8800.0,1740.0
2021-11-25,37,1700.0,1726.199951171875,1696.949951171875,1722.4000244140625,1722.4000244140625,4476260,1722.4000244140625,1763.8750122070312,1737.0750040690104,1.0,1.0,1687.52,0.0,200.0,990.0146484375,-3519.9951171875,1740.0
2021-11-26,38,1702.550048828125,1718.3499755859375,1684.0,1691.6500244140625,1691.6500244140625,4494181,1691.6500244140625,1759.2250122070313,1736.1466715494792,1.0,-1.0,1713.788024291992,-200.0,0.0,-6499.9755859375,0.0,0.0
2021-11-29,39,1691.0,1712.0,1669.1500244140625,1696.3499755859375,1696.3499755859375,3942776,1696.3499755859375,1757.4500122070312,1737.1950073242188,1.0,1.0,1683.1917742919923,200.0,200.0,-6499.9755859375,1069.9951171875,1691.0
2021-11-30,40,1704.550048828125,1729.9000244140625,1700.050048828125,1712.6500244140625,1712.6500244140625,14808963,1712.6500244140625,1753.285009765625,1737.4116739908854,1.0,1.0,1687.868225708008,0.0,200.0,-6499.9755859375,4330.0048828125,1691.0
2021-12-01,41,1715.0,1741.9000244140625,1713.0,1714.9000244140625,1714.9000244140625,5193264,1714.9000244140625,1744.9000122070313,1736.9833414713542,1.0,1.0,1704.0867742919922,0.0,200.0,-6499.9755859375,4780.0048828125,1691.0
2021-12-02,42,1715.0,1750.5,1711.3499755859375,1748.25,1748.25,5559574,1748.25,1737.4500122070312,1736.880008951823,1.0,1.0,1706.3255242919922,-200.0,0.0,-1699.9755859375,0.0,0.0
2021-12-03,43,1771.0999755859375,1786.6500244140625,1732.550048828125,1735.550048828125,1735.550048828125,6754012,1735.550048828125,1729.710009765625,1734.3050089518229,-1.0,-1.0,1756.9912499999998,-0.0,0.0,-1699.9755859375,0.0,0.0
2021-12-06,44,1730.0,1733.949951171875,1691.5,1695.300048828125,1695.300048828125,3991449,1695.300048828125,1725.7900146484376,1731.8416748046875,-1.0,1.0,1744.2277990722655,-200.0,-200.0,-1699.9755859375,6939.990234375,1730.0
2021-12-07,45,1701.0999755859375,1724.9000244140625,1694.0,1711.6500244140625,1711.6500244140625,4202122,1711.6500244140625,1721.4050170898438,1729.615010579427,-1.0,1.0,1703.7765490722654,200.0,0.0,4080.029296875,0.0,0.0
2021-12-08,46,1733.0,1759.800048828125,1732.5999755859375,1753.3499755859375,1753.3499755859375,3029169,1753.3499755859375,1714.99501953125,1727.670011393229,-1.0,-1.0,1720.2082745361326,-0.0,0.0,4080.029296875,0.0,0.0
2021-12-09,47,1759.0,1769.4000244140625,1742.0,1763.449951171875,1763.449951171875,2082171,1763.449951171875,1712.47001953125,1727.3983439127603,-1.0,1.0,1762.116725463867,-200.0,-200.0,4080.029296875,-889.990234375,1759.0
2021-12-10,48,1760.0,1763.75,1746.0,1759.25,1759.25,1823469,1759.25,1718.2050170898438,1728.9250081380208,-1.0,1.0,1772.2672009277342,0.0,-200.0,4080.029296875,-50.0,1759.0
2021-12-13,49,1767.050048828125,1771.3499755859375,1738.800048828125,1744.6500244140625,1744.6500244140625,4040584,1744.6500244140625,1722.310009765625,1730.9166748046875,-1.0,1.0,1768.0462499999999,0.0,-200.0,4080.029296875,2869.9951171875,1759.0
