,Dates,FX_DKK,FX_SEK,FX_CHF,FX_CAD,FX_AUD,FX_JPY,FX_GBP,FX_EUR,FX_NZD,PNL_FX_SEK,PNL_FX_AUD,PNL_FX_CAD,PNL_FX_EUR,PNL_FX_CHF,PNL_FX_GBP,Portfolio_PNL
0,2020-03-01,0.0011960649463265136,0.0038554783035895657,0.0014410705095213585,0.0015407133502811645,-0.006149006149006264,-0.0009846043680629137,-0.0047166222898440404,-0.0009846043680629137,-0.005669949268874985,0.0032636495013138376,-0.008437881695096744,0.001110605646519074,0.0009733617525914813,-0.0014243817841920075,0.004540076689849086,-0.012330350183860129
1,2020-06-01,-0.0021190501867260907,0.004078896819665001,-0.0031842763914962107,-0.001228304417582926,-0.007587855069869366,0.002240913058690785,0.0020096637301818547,0.002240913058690785,-0.004019289004769444,0.0034527725286422504,-0.01041232060069493,-0.0008854092304470359,-0.002215325396639948,0.0031473999765537744,-0.0019344409823699267,-0.006375122862161838
2,2020-07-01,0.0017464658147121614,0.009748204908799796,-0.0013255403320167056,0.0017797943097599413,-0.017674310401281423,-0.0016887109477394804,-0.0014069333391371064,-0.0016887109477394804,-0.008813296495406077,0.008251822882698911,-0.024253308029710118,0.0012829444294106948,0.0016694285552947006,0.0013101895366407384,0.0013542711000925044,-0.02398230325559471
3,2020-08-01,0.006029920039959169,0.010382803208076384,0.002488106338772944,0.004471273854515401,-0.018256552031558067,-0.00599248571685984,-0.003616288816814972,-0.00599248571685984,-0.00821115890696722,0.008789008222593157,-0.02505228039616784,0.0032230667625822136,0.00592406106344778,-0.002459292118369676,0.003480929265066605,-0.02990692635834963
4,2020-09-01,0.006074503850091562,0.01363834185174273,0.0017693467125279305,0.005775054819313397,-0.019421713697739262,-0.005902436189619832,-0.005906889717784747,-0.005902436189619832,-0.012874916993321994,0.01154481080641718,-0.0266511560610568,0.004162882401269642,0.0058350397585486226,-0.0017488562916202289,0.00568579179532108,-0.031758166681466894
5,2020-10-01,0.004677606744938001,0.014618155581777703,0.0011528239011839858,0.005315495995783848,-0.013151664120602868,-0.004551814903828388,-0.006136475697734235,-0.004551814903828388,-0.01060768603806195,0.012374219854947393,-0.01804717433259189,0.0038316146646550147,0.004499840419130989,-0.0011394732973704635,0.005906784253871178,-0.018421979980810736
6,2020-01-13,0.0034870951225682845,0.010944819371523916,-0.0008007027284685497,0.005851894463216989,-0.012716944514748585,-0.003382855277895613,-0.011877443242131136,-0.003382855277895613,-0.01060768603806195,0.00926475302703367,-0.017450636857128426,0.004218271382211665,0.0033442284524228504,0.0007914299636610098,0.01143286442815589,-0.017649929439627655
7,2020-01-14,0.003904270842941315,0.010670152141437406,-0.004200311258395373,0.006234830819194514,-0.0130066316526396,-0.0039217451647286525,-0.009567796618064506,-0.0039217451647286525,-0.013020595101551735,0.00903224813453706,-0.01784815569820335,0.0044943066869803745,0.00387696507407078,0.004151668363806945,0.009209669066023073,-0.01751518042185866
8,2020-01-15,0.002042655854706643,0.010786389434587871,-0.007611516550932174,0.004703671731765335,-0.0130066316526396,-0.0019447501970795145,-0.008108391133772264,-0.0019447501970795145,-0.01256708036232268,0.009130642614794257,-0.01784815569820335,0.003390588121870573,0.0019225442437413504,0.007523369226967778,0.007804889880176455,-0.012641093500906905
9,2020-01-16,0.0032213908780576173,0.013353878472571969,-0.006989174470235171,0.004703671731765335,-0.013586173814331914,-0.003110669479590822,-0.0048870381655257145,-0.003110669479590822,-0.009545019316689829,0.011304013506453556,-0.018643423759281914,0.003390588121870573,0.0030751505829129983,0.0069082343550624535,0.0047041138115894755,-0.009914719822790043
