,Symbol,Date,Expiry,Option Type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Premium Turnover in Lacs,Open Int,Change in OI,Underlying Value,futures_price
44,ICICIBANK,01/12/2021,30/12/2021,CE,880,1.15,1.15,0.75,0.8,0.8,0.8,14,169.57,0.17,35750,12375,727.7,729.45
45,ICICIBANK,01/12/2021,30/12/2021,CE,890,0,0,0,0.8,0.8,2.25,0,0,0,2750,0,727.7,729.45
46,ICICIBANK,01/12/2021,30/12/2021,CE,900,0.85,1.1,0.75,0.85,0.85,0.85,62,767.94,0.69,676500,31625,727.7,729.45
47,ICICIBANK,01/12/2021,30/12/2021,CE,910,0,0,0,11.3,0,1.5,0,0,0,0,0,727.7,729.45
48,ICICIBANK,01/12/2021,30/12/2021,CE,920,0,0,0,10.25,0,1.2,0,0,0,0,0,727.7,729.45
49,ICICIBANK,01/12/2021,30/12/2021,CE,930,0,0,0,9.35,0,0.95,0,0,0,0,0,727.7,729.45
50,ICICIBANK,01/12/2021,30/12/2021,CE,940,0,0,0,0.7,0.7,0.75,0,0,0,1375,0,727.7,729.45
51,ICICIBANK,01/12/2021,30/12/2021,CE,950,0.35,0.5,0.35,0.5,0.5,0.5,7,91.48,0.04,137500,-1375,727.7,729.45
52,ICICIBANK,01/12/2021,30/12/2021,CE,960,0,0,0,7,0,0.5,0,0,0,0,0,727.7,729.45
53,ICICIBANK,01/12/2021,30/12/2021,CE,970,0,0,0,6.35,0,0.4,0,0,0,0,0,727.7,729.45
54,ICICIBANK,01/12/2021,30/12/2021,CE,980,0,0,0,0.5,0.5,0.3,0,0,0,0,0,727.7,729.45
55,ICICIBANK,01/12/2021,30/12/2021,CE,450,0,0,0,256.1,0,279.05,0,0,0,0,0,727.7,729.45
56,ICICIBANK,01/12/2021,30/12/2021,PE,440,0,0,0,0.7,0,0,0,0,0,0,0,727.7,729.45
57,ICICIBANK,01/12/2021,30/12/2021,PE,990,0,0,0,284.9,0,259.6,0,0,0,0,0,727.7,729.45
58,ICICIBANK,01/12/2021,30/12/2021,PE,460,0,0,0,1.25,0,0,0,0,0,0,0,727.7,729.45
59,ICICIBANK,01/12/2021,30/12/2021,PE,470,0,0,0,1.65,0,0,0,0,0,0,0,727.7,729.45
60,ICICIBANK,01/12/2021,30/12/2021,PE,480,0.8,0.8,0.75,0.75,0.75,0.75,8,52.89,0.09,44000,0,727.7,729.45
61,ICICIBANK,01/12/2021,30/12/2021,PE,490,0,0,0,2.65,0,0.05,0,0,0,0,0,727.7,729.45
62,ICICIBANK,01/12/2021,30/12/2021,PE,500,0,0,0,3.3,0,0.05,0,0,0,0,0,727.7,729.45
63,ICICIBANK,01/12/2021,30/12/2021,PE,510,0,0,0,4.1,0,0.05,0,0,0,0,0,727.7,729.45
64,ICICIBANK,01/12/2021,30/12/2021,PE,520,0,0,0,5,0,0.1,0,0,0,0,0,727.7,729.45
65,ICICIBANK,01/12/2021,30/12/2021,PE,530,0,0,0,6.1,0,0.15,0,0,0,0,0,727.7,729.45
66,ICICIBANK,01/12/2021,30/12/2021,PE,540,0,0,0,7.35,0,0.2,0,0,0,0,0,727.7,729.45
67,ICICIBANK,01/12/2021,30/12/2021,PE,550,0,0,0,8.75,0,0.3,0,0,0,0,0,727.7,729.45
68,ICICIBANK,01/12/2021,30/12/2021,PE,560,0,0,0,10.35,0,0.45,0,0,0,0,0,727.7,729.45
69,ICICIBANK,01/12/2021,30/12/2021,PE,570,0,0,0,12.15,0,0.7,0,0,0,0,0,727.7,729.45
70,ICICIBANK,01/12/2021,30/12/2021,PE,580,0,0,0,14.2,0,1,0,0,0,0,0,727.7,729.45
71,ICICIBANK,01/12/2021,30/12/2021,PE,590,0,0,0,16.45,0,1.4,0,0,0,0,0,727.7,729.45
72,ICICIBANK,01/12/2021,30/12/2021,PE,600,2,2.05,1.2,1.3,1.2,1.3,231,1910.86,5.11,363000,42625,727.7,729.45
73,ICICIBANK,01/12/2021,30/12/2021,PE,610,1.2,1.4,1.2,1.4,1.35,1.4,69,580,1.26,72875,72875,727.7,729.45
74,ICICIBANK,01/12/2021,30/12/2021,PE,620,3,3,1.5,1.65,1.65,1.65,198,1693.52,5.57,118250,71500,727.7,729.45
75,ICICIBANK,01/12/2021,30/12/2021,PE,630,3.7,3.7,1.85,2.05,2.05,2.05,170,1478.44,5.81,111375,31625,727.7,729.45
76,ICICIBANK,01/12/2021,30/12/2021,PE,640,4,4.2,2.4,2.55,2.55,2.55,316,2794.68,13.88,162250,37125,727.7,729.45
77,ICICIBANK,01/12/2021,30/12/2021,PE,650,6.3,6.3,2.95,3.25,3.25,3.25,1024,9207.9,55.9,841500,-39875,727.7,729.45
78,ICICIBANK,01/12/2021,30/12/2021,PE,660,5.85,6.45,3.8,4.15,4.25,4.15,477,4361.15,32.38,479875,-33000,727.7,729.45
79,ICICIBANK,01/12/2021,30/12/2021,PE,670,7.8,7.8,4.9,5.35,5.4,5.35,630,5855.82,51.94,499125,53625,727.7,729.45
80,ICICIBANK,01/12/2021,30/12/2021,PE,680,10.95,10.95,6.25,6.9,7,6.9,932,8815.04,100.84,1281500,-16500,727.7,729.45
81,ICICIBANK,01/12/2021,30/12/2021,PE,690,14.25,14.25,8.05,8.95,9.05,8.95,819,7882.85,112.59,445500,-12375,727.7,729.45
