Date,Expiry,Strike Price,best_bid,best_offer,Close,futures_price,Option Type,time_diff,
1/11/21,30/12/21,690,38.4,39.6,39,851.6630976,PE,1.38,
1/11/21,30/12/21,700,41.5,42.4,41.95,851.6630976,PE,1.38,
1/11/21,30/12/21,710,44.5,45.5,45,851.6630976,PE,1.38,
1/11/21,30/12/21,720,47.5,48.8,48.15,851.6630976,PE,1.38,
1/11/21,30/12/21,730,51,52.4,51.7,851.6630976,PE,1.38,
1/11/21,30/12/21,735,52.7,53.6,53.15,851.6630976,PE,1.38,
1/11/21,30/12/21,740,54.3,55.3,54.8,851.6630976,PE,1.38,
1/11/21,30/12/21,745,55.6,57.3,56.45,851.6630976,PE,1.38,
1/11/21,30/12/21,750,57.4,58.9,58.15,851.6630976,PE,1.38,
1/11/21,30/12/21,755,59.9,61.3,60.6,851.6630976,PE,1.38,
1/11/21,30/12/21,760,61.4,62.9,62.15,851.6630976,PE,1.38,
1/11/21,30/12/21,765,63.3,64.6,63.95,851.6630976,PE,1.38,
1/11/21,30/12/21,770,65.5,66.8,66.15,851.6630976,PE,1.38,
1/11/21,30/12/21,775,67.3,68.6,67.95,851.6630976,PE,1.38,
1/11/21,30/12/21,780,69.6,70.7,70.15,851.6630976,PE,1.38,
1/11/21,30/12/21,785,71.3,74,72.65,851.6630976,PE,1.38,
1/11/21,30/12/21,790,73.9,74.9,74.4,851.6630976,PE,1.38,
1/11/21,30/12/21,795,75.8,77,76.4,851.6630976,PE,1.38,
1/11/21,30/12/21,800,78,80,79,851.6630976,PE,1.38,
1/11/21,30/12/21,805,80.5,81.5,81,851.6630976,PE,1.38,
1/11/21,30/12/21,810,82.2,84.5,83.35,851.6630976,PE,1.38,
1/11/21,30/12/21,815,84.9,86.5,85.7,851.6630976,PE,1.38,
1/11/21,30/12/21,820,87.2,88.6,87.9,851.6630976,PE,1.38,
1/11/21,30/12/21,825,89.3,91.8,90.55,851.6630976,PE,1.38,
1/11/21,30/12/21,830,92.3,93.2,92.75,851.6630976,PE,1.38,
1/11/21,30/12/21,835,94.4,95.8,95.1,851.6630976,PE,1.38,
1/11/21,30/12/21,840,97.1,98.3,97.7,851.6630976,PE,1.38,
1/11/21,30/12/21,845,99.9,100.9,100.4,851.6630976,PE,1.38,
