Date,lambda,a_lst,b_lst,c_lst,rsquared_lst,rmse
2019-09-26,0.5,0.016181095209201427,-0.00010234176106045228,1.1025593153155645e-05,0.9755185924769709,6.08920085006223e-08
2019-09-27,0.5,0.01588998506983675,-0.00011521132104931348,1.2447023487491789e-05,0.9801375280040232,5.6473915660517486e-08
2019-09-30,0.45,0.015661110140850667,-0.00018817779910006627,2.2180847435917915e-05,0.9745887158159828,7.203078138647165e-08
2019-10-01,0.4,0.014882591155544439,-0.0003502547140822417,4.534655304132241e-05,0.9836313738042285,5.6947135570286485e-08
2019-10-02,0.35000000000000003,0.013936074717566744,-0.0006441054717758398,9.228886583743874e-05,0.9842262139430743,6.468215449105532e-08
2019-10-03,0.35000000000000003,0.012975809300684659,-0.0007190112811021315,0.00010344335911733455,0.9863515688920114,6.518636103688658e-08
2019-10-04,0.4,0.013456393476306347,-0.0004117731724588693,5.36036324834739e-05,0.9871645764250554,5.500488741948699e-08
2019-10-07,0.45,0.01418535492347647,-0.00023771262858808914,2.8150970477345336e-05,0.9776506059991118,8.983939093919369e-08
2019-10-08,0.4,0.013513044620290748,-0.00040932982875874766,5.323940375977053e-05,0.9797251649669216,8.863599849959702e-08
2019-10-09,0.4,0.013984122790611314,-0.00041812043058276314,5.448895638497615e-05,0.9858473373092866,6.161050397305486e-08
2019-10-10,0.4,0.014822716829665655,-0.000416439471664903,5.433114543800618e-05,0.9874584963440346,5.2837921050348205e-08
2019-10-11,0.35000000000000003,0.014965162049202452,-0.0007376708752304766,0.00010701507702600457,0.9895730480979632,4.575392083931809e-08
2019-10-14,0.35000000000000003,0.015013899904843057,-0.0007308171109979753,0.00010600520130919425,0.9889135627183753,4.804250768376271e-08
2019-10-15,0.35000000000000003,0.015342929952302315,-0.0007421736868826866,0.00010773476721085592,0.9915137954000355,3.7369718253279295e-08
2019-10-16,0.35000000000000003,0.014952813974666669,-0.0007700531225739546,0.0001117967024202577,0.992475365899754,3.5590325278413315e-08
2019-10-17,0.35000000000000003,0.014979446717142044,-0.0007799535249566338,0.00011332978552160416,0.9938115874689588,2.9582218578913545e-08
2019-10-18,0.3,0.014249867479477638,-0.001343660695256022,0.00021779901287388237,0.9949246843880015,2.5738979665939725e-08
2019-10-21,0.3,0.01477163808473304,-0.0013435170433417011,0.00021790330774887307,0.9949491366816378,2.5454231214146203e-08
2019-10-22,0.3,0.014643408089603844,-0.0012817846707322855,0.00020732620715018652,0.9965253551320385,1.651079820047379e-08
2019-10-23,0.3,0.01463348211075763,-0.0012903194952762031,0.00020897379566091638,0.9954148339853968,2.1744280676877104e-08
2019-10-24,0.3,0.014579928448792743,-0.0013051661725649354,0.00021108782575279074,0.9953358568819308,2.306194427036931e-08
2019-10-25,0.3,0.014969253706085286,-0.001276868317261452,0.00020668594481674466,0.996536259914855,1.619937379473549e-08
2019-10-28,0.25,0.014345632675886365,-0.0022347285223096687,0.0004061120913283133,0.9974929833969064,1.251881547251691e-08
2019-10-29,0.25,0.014351062892541218,-0.002179582225714076,0.0003943645322595636,0.998770837362416,6.10179822187445e-09
2019-10-30,0.25,0.014069599155696487,-0.002027572492663477,0.000364557820322163,0.996931061966896,1.4073889584792775e-08
2019-10-31,0.3,0.014027440563056062,-0.001202218961811976,0.00019279042820434262,0.9966314956517426,1.579847377179792e-08
2019-11-01,0.3,0.014396090917704229,-0.001157000502482373,0.00018495284109191953,0.9979173937994287,9.399602100391983e-09
2019-11-04,0.25,0.01392545017135971,-0.0021041870789026236,0.00037811289087973186,0.9986139823058287,6.881759443930588e-09
2019-11-05,0.15000000000000002,0.009822511997776569,-0.0076631292055543525,0.0017970325997336417,0.9991912278172891,4.56628436661335e-09
2019-11-06,0.2,0.01250514298896914,-0.004017750242096045,0.0008234373741061148,0.998220984357721,9.67950921737798e-09
2019-11-07,0.1,0.004153954112017036,-0.0165872413149344,0.004525047952507744,0.9995240470083862,2.7503976461068774e-09
2019-11-08,0.05,-0.02323470217101531,-0.05906826394639125,0.01996257594870446,0.9994171558536383,3.6480474787220725e-09
2019-11-11,0.05,-0.022252310276782344,-0.0575508841182476,0.01935447042493299,0.9993569916103534,3.971169141327851e-09
2019-11-12,0.05,-0.021092428780763672,-0.05521857435891547,0.018351663003430108,0.9990365103297578,5.987286971194858e-09
2019-11-13,0.1,0.003110251789625075,-0.017279164557530244,0.0047263420808250495,0.9989249444366948,6.6341639920848545e-09
2019-11-14,0.2,0.011961101231299792,-0.004386406044735853,0.0009047543583253518,0.9971688433167347,1.7445004472517637e-08
2019-11-15,0.15000000000000002,0.009527224322201232,-0.007776740645755845,0.0018201257731232118,0.9977084291499452,1.3542981057026966e-08
2019-11-18,0.15000000000000002,0.009800581315177252,-0.0073310679534045985,0.0016927746710842318,0.998007856052396,1.1468715515203565e-08
2019-11-19,0.2,0.012675267987349047,-0.00368401510680136,0.0007456575290414901,0.997974361995441,1.026776746002787e-08
2019-11-20,0.25,0.013819970314435628,-0.0020718104893314437,0.0003720849925716715,0.9976801750195922,1.1280405221491e-08
2019-11-21,0.25,0.014124580193937503,-0.002063919644883729,0.00037106674162113427,0.9976800678590266,1.10814585506428e-08
2019-11-22,0.25,0.01437087161702834,-0.0019203669704007838,0.0003433933019055164,0.9962495120201401,1.6363160611615972e-08
2019-11-25,0.25,0.014257337707910735,-0.0019200557000394157,0.000344766383798495,0.9955537210500645,1.8663092248007693e-08
2019-11-26,0.25,0.014247889026878296,-0.0018932001837028492,0.00034063019092044934,0.9921065367842756,3.170645412889694e-08
