Date,Open,High,Low,Close,Adj Close,Volume,mvAverageStrategy_T1,mvAverageStrategy_T2,trading_signal,liquidatePosition,deltacal,Stock_BUY_Sell,Position,Realised_PNL,MTM,AvgPrc
2003-02-18,84.529999,85.800003,84.389999,85.629997,59.496113,39492700,84.22799889999999,88.11799946666666,-1.0,1.0,85.83300204,-1.0,-1.0,0.0,-1.0999979999999994,84.529999
2003-02-19,85.32,85.470001,84.279999,85.18,59.183422,31432000,84.0369993,87.88733286666665,-1.0,1.0,87.34259694,-1.0,-2.0,0.0,-0.5100010000000168,84.9249995
2003-02-20,85.209999,85.419998,84.050003,84.330002,58.592857,29280100,83.9769987,87.69666616666667,-1.0,1.0,86.88360000000002,-1.0,-3.0,0.0,2.0699920000000134,85.01999933333333
2003-02-21,84.379997,85.739998,83.459999,85.18,59.183422,60955800,83.956999,87.43733286666665,-1.0,1.0,86.01660204,-1.0,-4.0,0.0,-1.280005000000017,84.85999875
2003-02-24,84.93,85.0,83.589996,83.800003,58.224613,30628600,83.9049994,87.15733283333333,-1.0,1.0,86.88360000000002,-1.0,-5.0,0.0,5.369979999999998,84.873999
2003-02-25,82.949997,84.489998,82.220001,84.470001,58.690125,56770600,83.97799970000001,86.95033286666667,-1.0,1.0,85.47600306000001,-1.0,-6.0,0.0,0.49998600000003535,84.553332
2003-02-26,84.019997,84.529999,83.080002,83.239998,57.83551,37787200,84.01600020000001,86.6499997,-1.0,1.0,86.15940102,-1.0,-7.0,0.0,8.660003000000074,84.4771412857143
2003-02-27,83.699997,84.75,83.160004,84.339996,58.599777,51126000,84.0620001,86.36366646666666,-1.0,1.0,84.90479796,-1.0,-8.0,0.0,0.3200180000000046,84.37999825
2003-02-28,84.470001,85.230003,84.160004,84.900002,58.988907,43666800,84.0429999,86.03733310000001,-1.0,1.0,86.02679592,-1.0,-9.0,0.0,-4.590030999999954,84.38999855555556
2003-03-03,85.260002,85.779999,83.720001,84.089996,58.426105,42923100,84.2669997,85.73766623333333,-1.0,1.0,86.59800204,-1.0,-10.0,0.0,3.870029000000045,84.4769989
