Date,DRL_Cumulative_PNL,ARIMA_Cumulative_PNL
2020-01-02,0.0027208,0.025305662497690628
2020-01-03,-0.001366167,0.013927035701887927
2020-01-06,-0.000309338,0.021111705393354073
2020-01-07,-0.00618082,0.004176530918246463
2020-01-08,0.005355309,0.013080355520292556
2020-01-09,0.016328846,0.02890051840462298
2020-01-10,0.011599211,0.033916280789664306
2020-01-13,0.021567796,0.04130388358352207
2020-01-14,0.014371113,0.027834793786143706
2020-01-15,0.020693183,0.026173511939637004
2020-01-16,0.038995784,0.041387214886557167
2020-01-17,0.043553654,0.06389220937780417
2020-01-21,0.039808746,0.05831824402465627
2020-01-22,0.035587769,0.05390880755461029
2020-01-23,0.041560249,0.03434933425418624
2020-01-24,0.031486706,0.020025220977179365
2020-01-27,0.014776779,0.004417358033776941
2020-01-28,0.031597798,0.023014198501420273
2020-01-29,0.046532552,0.03901817285094689
2020-01-30,0.074688636,0.04341559187524193
2020-01-31,0.062113783,0.00655287429622578
2020-02-03,0.086267609,0.007310002863594883
2020-02-04,0.115139476,0.023073568778136315
2020-02-05,0.113802666,0.03813295896835484
2020-02-06,0.134534539,0.0723181599156871
2020-02-07,0.135881545,0.08137164765634695
2020-02-10,0.162009474,0.10092879316123737
2020-02-11,0.141109199,0.07476892664186376
2020-02-12,0.142493836,0.08498372381558919
2020-02-13,0.137778513,0.05867263798053105
2020-02-14,0.146540876,0.08456537265639923
2020-02-18,0.155814671,0.07816301597322045
2020-02-19,0.158733765,0.09025634400819377
2020-02-20,0.145627163,0.053572280597354145
2020-02-21,0.113869225,-0.0021293330804275437
2020-02-24,0.077410652,-0.06560719424047037
2020-02-25,0.060867657,-0.10020260227521384
2020-02-26,0.073347426,-0.048601491715416494
2020-02-27,0.009474129,-0.11698923351726817
2020-02-28,0.033551687,-0.12580836366386489
2020-03-02,0.089689489,-0.10940996488375512
2020-03-03,0.041670713,-0.20303634060363318
2020-03-04,0.074438251,-0.17439141050179438
2020-03-05,0.049246375,-0.25113087297475306
2020-03-06,0.025288842,-0.2944817032610296
2020-03-09,-0.042335989,-0.37326751276451264
2020-03-10,0.025941358,-0.27926419037755407
2020-03-11,-0.019296672,-0.3646429942319963
2020-03-12,-0.111781183,-0.4936495046481596
2020-03-13,0.030228387,-0.47766742862055145
2020-03-16,-0.117044836,-0.746645873076021
2020-03-17,-0.047855396,-0.6900584496770028
2020-03-18,-0.090040861,-0.7944881001625721
