,Strike Price,Expiry,underlying,identifier,OPEN_INT,changeinOpenInterest,pchangeinOpenInterest,totalTradedVolume,lib_impliedVolatility,lastPrice,change,pChange,totalBuyQuantity,totalSellQuantity,bidQty,bidprice,askQty,askPrice,Future_Prices,Symbol,INSTRUMENT,Close,Option Type,Date
428,16500.0,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021CE16500.00,12551.0,-1823.0,-12.682621399749548,3570.0,0.0,698.1,-55.299999999999955,-7.34005840191133,73200.0,31700.0,50.0,698.55,2950.0,701.05,17213.6,NIFTY,OPIDX,699.8,CE,2021-12-30 10:55:50
430,16550.0,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021CE16550.00,545.0,-33.0,-5.709342560553633,60.0,0.0,644.45,-55.25,-7.896241246248392,52950.0,29200.0,3800.0,644.5,50.0,650.85,17213.6,NIFTY,OPIDX,647.675,CE,2021-12-30 10:55:50
444,16600.0,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021CE16600.00,3330.0,-1074.0,-24.38692098092643,1515.0,0.0,600.5,-45.700000000000045,-7.072113896626438,56950.0,32150.0,50.0,598.0,50.0,601.85,17213.6,NIFTY,OPIDX,599.925,CE,2021-12-30 10:55:50
452,16650.0,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021CE16650.00,475.0,-14.0,-2.8629856850715747,41.0,0.0,553.1,-51.0,-8.442310875682834,49100.0,23200.0,900.0,547.6,150.0,551.2,17213.6,NIFTY,OPIDX,549.4000000000001,CE,2021-12-30 10:55:50
460,16700.0,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021CE16700.00,5594.0,-525.0,-8.579833306095768,1766.0,0.0,498.1,-53.549999999999955,-9.707241910631733,59550.0,27950.0,750.0,497.75,100.0,501.85,17213.6,NIFTY,OPIDX,499.8,CE,2021-12-30 10:55:50
462,16750.0,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021CE16750.00,662.0,-116.0,-14.910025706940875,287.0,0.0,448.85,-53.39999999999998,-10.632155301144843,56400.0,28300.0,850.0,447.75,250.0,451.55,17213.6,NIFTY,OPIDX,449.65,CE,2021-12-30 10:55:50
471,16800.0,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021CE16800.00,7101.0,-1622.0,-18.594520233864497,6887.0,0.0,402.7,-52.900000000000034,-11.61106233538192,97400.0,38550.0,50.0,400.2,50.0,402.6,17213.6,NIFTY,OPIDX,401.4,CE,2021-12-30 10:55:50
481,16850.0,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021CE16850.00,1373.0,-473.0,-25.62296858071506,1851.0,0.0,352.9,-56.150000000000034,-13.726928248380402,111550.0,29350.0,750.0,348.95,500.0,353.15,17213.6,NIFTY,OPIDX,351.04999999999995,CE,2021-12-30 10:55:50
482,16900.0,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021CE16900.00,10541.0,-2481.0,-19.052372907387497,15052.0,0.0,301.65,-50.80000000000001,-14.413391970492274,91150.0,32600.0,50.0,301.3,50.0,303.9,17213.6,NIFTY,OPIDX,302.6,CE,2021-12-30 10:55:50
491,16950.0,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021CE16950.00,2543.0,-697.0,-21.512345679012345,4242.0,0.0,254.35,-58.349999999999994,-18.660057563159576,212050.0,27550.0,50.0,255.0,50.0,256.0,17213.6,NIFTY,OPIDX,255.5,CE,2021-12-30 10:55:50
515,17000.0,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021CE17000.00,73457.0,-4358.0,-5.6004626357386105,187959.0,0.0,207.0,-56.39999999999998,-21.412300683371292,114250.0,88850.0,1550.0,206.85,450.0,208.15,17213.6,NIFTY,OPIDX,207.5,CE,2021-12-30 10:55:50
520,17050.0,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021CE17050.00,4093.0,-880.0,-17.69555600241303,27779.0,0.0,160.55,-57.099999999999994,-26.23478061107282,74500.0,41500.0,250.0,160.55,50.0,163.8,17213.6,NIFTY,OPIDX,162.175,CE,2021-12-30 10:55:50
527,17100.0,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021CE17100.00,39372.0,-5338.0,-11.939163498098859,396707.0,9.12,121.0,-56.80000000000001,-31.946006749156357,140500.0,137400.0,700.0,120.5,50.0,121.4,17213.6,NIFTY,OPIDX,120.95,CE,2021-12-30 10:55:50
535,17150.0,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021CE17150.00,14164.0,3975.0,39.012660712533126,395889.0,11.66,84.55,-54.60000000000001,-39.238232123607624,82900.0,126650.0,50.0,82.4,1450.0,85.0,17213.6,NIFTY,OPIDX,83.7,CE,2021-12-30 10:55:50
538,17200.0,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021CE17200.00,112832.0,19912.0,21.42918639690056,2403569.0,11.75,52.0,-53.95,-50.92024539877301,223550.0,902150.0,50.0,52.8,850.0,53.3,17213.6,NIFTY,OPIDX,53.05,CE,2021-12-30 10:55:50
553,17250.0,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021CE17250.00,58865.0,22464.0,61.71259031345293,1711907.0,12.2,29.85,-47.800000000000004,-61.55827430779137,157100.0,667600.0,50.0,29.6,100.0,29.95,17213.6,NIFTY,OPIDX,29.775,CE,2021-12-30 10:55:50
560,17300.0,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021CE17300.00,158099.0,60251.0,61.57611806066552,2543357.0,12.25,14.8,-38.650000000000006,-72.31057062675397,424600.0,1253250.0,150.0,14.6,1600.0,14.8,17213.6,NIFTY,OPIDX,14.7,CE,2021-12-30 10:55:50
566,17350.0,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021CE17350.00,52267.0,19166.0,57.90157397057491,1058655.0,12.43,6.7,-28.150000000000002,-80.77474892395983,145100.0,411650.0,1050.0,6.7,50.0,6.95,17213.6,NIFTY,OPIDX,6.825,CE,2021-12-30 10:55:50
569,17400.0,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021CE17400.00,110443.0,35450.0,47.27107863400584,1602440.0,13.11,3.25,-18.7,-85.19362186788155,403250.0,762000.0,2200.0,3.25,300.0,3.3,17213.6,NIFTY,OPIDX,3.275,CE,2021-12-30 10:55:50
580,17450.0,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021CE17450.00,45617.0,11104.0,32.17338394228262,815447.0,14.34,1.95,-11.3,-85.28301886792453,201050.0,258400.0,100.0,1.95,50.0,2.45,17213.6,NIFTY,OPIDX,2.2,CE,2021-12-30 10:55:50
588,17500.0,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021CE17500.00,175481.5,39676.5,29.21578734214499,1286408.0,16.42,1.7,-6.25,-78.61635220125785,712650.0,1188100.0,300.0,1.7,200.0,1.75,17213.6,NIFTY,OPIDX,1.725,CE,2021-12-30 10:55:50
607,17550.0,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021CE17550.00,41148.0,10313.0,33.445759688665476,307751.0,18.41,1.5,-2.95,-66.29213483146069,242550.0,319250.0,1500.0,1.5,50.0,1.55,17213.6,NIFTY,OPIDX,1.525,CE,2021-12-30 10:55:50
614,17600.0,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021CE17600.00,109308.0,26393.0,31.83139359585117,595335.0,20.59,1.45,-1.3,-47.27272727272727,1589600.0,286550.0,5550.0,1.35,700.0,1.45,17213.6,NIFTY,OPIDX,1.4,CE,2021-12-30 10:55:50
616,17650.0,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021CE17650.00,13740.0,-952.0,-6.4797168527089575,130800.0,22.33,1.25,-0.75,-37.5,81150.0,82600.0,50.0,1.15,50.0,1.45,17213.6,NIFTY,OPIDX,1.2999999999999998,CE,2021-12-30 10:55:50
628,17700.0,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021CE17700.00,83851.0,30627.0,57.54358935818428,335360.0,24.2,1.15,-0.4500000000000002,-28.12500000000001,474850.0,148300.0,100.0,1.15,1850.0,1.25,17213.6,NIFTY,OPIDX,1.2,CE,2021-12-30 10:55:50
631,17750.0,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021CE17750.00,11600.0,-187.0,-1.5864935946381606,53030.0,25.99,1.05,-0.5,-32.25806451612903,160200.0,77050.0,14750.0,1.05,1050.0,1.1,17213.6,NIFTY,OPIDX,1.0750000000000002,CE,2021-12-30 10:55:50
642,17800.0,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021CE17800.00,54765.0,-12786.0,-18.92792112626016,191922.0,27.88,1.0,-0.44999999999999996,-31.034482758620683,573050.0,242700.0,15300.0,1.0,50.0,1.1,17213.6,NIFTY,OPIDX,1.05,CE,2021-12-30 10:55:50
646,17850.0,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021CE17850.00,2681.0,-1307.0,-32.773319959879636,15291.0,30.28,1.1,-0.1499999999999999,-11.999999999999993,83450.0,69750.0,50.0,0.9,1800.0,1.05,17213.6,NIFTY,OPIDX,0.9750000000000001,CE,2021-12-30 10:55:50
655,17900.0,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021CE17900.00,30065.0,-17781.0,-37.16298123145091,160009.0,31.04,0.8,-0.44999999999999996,-36.0,895000.0,84100.0,13450.0,0.8,50.0,1.0,17213.6,NIFTY,OPIDX,0.9,CE,2021-12-30 10:55:50
661,17950.0,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021CE17950.00,1975.0,-782.0,-28.364163946318463,8884.0,32.73,0.75,-0.44999999999999996,-37.5,126100.0,69600.0,50.0,0.8,1750.0,1.1,17213.6,NIFTY,OPIDX,0.9500000000000001,CE,2021-12-30 10:55:50
676,18000.0,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021CE18000.00,126689.0,-18936.5,-13.003560502796557,223549.0,34.65,0.75,-0.44999999999999996,-37.5,1742100.0,337300.0,3450.0,0.75,44500.0,0.9,17213.6,NIFTY,OPIDX,0.825,CE,2021-12-30 10:55:50
683,18050.0,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021CE18050.00,2112.0,-474.0,-18.329466357308586,3414.0,34.91,0.5,-0.44999999999999996,-47.368421052631575,67550.0,53900.0,300.0,0.5,50.0,0.7,17213.6,NIFTY,OPIDX,0.6,CE,2021-12-30 10:55:50
696,18100.0,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021CE18100.00,19304.0,-3422.0,-15.057643228020769,25095.0,37.11,0.55,-0.3999999999999999,-42.105263157894726,161700.0,50000.0,700.0,0.55,50.0,0.8,17213.6,NIFTY,OPIDX,0.675,CE,2021-12-30 10:55:50
704,18150.0,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021CE18150.00,739.0,-182.0,-19.76112920738328,1927.0,38.53,0.5,-0.44999999999999996,-47.368421052631575,24800.0,47850.0,50.0,0.55,3600.0,0.9,17213.6,NIFTY,OPIDX,0.7250000000000001,CE,2021-12-30 10:55:50
710,18200.0,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021CE18200.00,16600.0,-5203.0,-23.863688483236253,24343.0,39.87,0.45,-0.35000000000000003,-43.75,323800.0,61950.0,2000.0,0.45,50.0,0.75,17213.6,NIFTY,OPIDX,0.6,CE,2021-12-30 10:55:50
714,18250.0,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021CE18250.00,628.0,-132.0,-17.36842105263158,5913.0,44.3,0.8,-0.09999999999999998,-11.111111111111107,4650.0,37850.0,50.0,0.3,50.0,0.8,17213.6,NIFTY,OPIDX,0.55,CE,2021-12-30 10:55:50
722,18300.0,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021CE18300.00,7807.0,-825.0,-9.55746061167748,23826.0,43.85,0.5,-0.30000000000000004,-37.50000000000001,195300.0,39800.0,50.0,0.45,100.0,0.5,17213.6,NIFTY,OPIDX,0.475,CE,2021-12-30 10:55:50
731,18350.0,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021CE18350.00,1590.0,307.0,23.92829306313328,1007.0,47.26,0.7,-0.30000000000000004,-30.000000000000004,19300.0,49600.0,1150.0,0.5,3900.0,0.7,17213.6,NIFTY,OPIDX,0.6,CE,2021-12-30 10:55:50
739,18400.0,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021CE18400.00,6626.0,-1192.0,-15.246866206190841,10508.0,45.67,0.35,-0.35,-50.0,104400.0,37700.0,50.0,0.4,50.0,0.65,17213.6,NIFTY,OPIDX,0.525,CE,2021-12-30 10:55:50
755,18450.0,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021CE18450.00,441.0,8.0,1.8475750577367205,4718.0,45.87,0.25,-0.5,-66.66666666666666,14500.0,37650.0,200.0,0.2,50.0,0.55,17213.6,NIFTY,OPIDX,0.375,CE,2021-12-30 10:55:50
775,18500.0,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021CE18500.00,49172.5,-4414.0,-8.237149282001997,52946.0,49.65,0.4,-0.25,-38.46153846153846,1462600.0,107000.0,17150.0,0.35,13900.0,0.4,17213.6,NIFTY,OPIDX,0.375,CE,2021-12-30 10:55:50
784,18550.0,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021CE18550.00,581.0,77.0,15.277777777777779,1266.0,45.4,0.1,-0.75,-88.23529411764706,8150.0,47600.0,3000.0,0.15,50.0,0.4,17213.6,NIFTY,OPIDX,0.275,CE,2021-12-30 10:55:50
794,18600.0,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021CE18600.00,8058.0,-1066.0,-11.683472161332748,8339.0,54.17,0.5,-0.25,-33.33333333333333,197700.0,94750.0,2000.0,0.5,50.0,0.65,17213.6,NIFTY,OPIDX,0.575,CE,2021-12-30 10:55:50
801,18650.0,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021CE18650.00,657.0,-50.0,-7.072135785007072,832.0,50.03,0.15,-0.7,-82.35294117647058,3200.0,39750.0,2950.0,0.15,50.0,0.45,17213.6,NIFTY,OPIDX,0.3,CE,2021-12-30 10:55:50
805,18700.0,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021CE18700.00,5285.0,819.0,18.338557993730408,4319.0,56.29,0.4,-0.4,-50.0,63350.0,39300.0,450.0,0.4,50.0,0.6,17213.6,NIFTY,OPIDX,0.5,CE,2021-12-30 10:55:50
821,18750.0,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021CE18750.00,609.0,-20.0,-3.179650238473768,5326.0,61.26,0.7,-0.15000000000000002,-17.647058823529417,4550.0,38350.0,50.0,0.3,2500.0,0.7,17213.6,NIFTY,OPIDX,0.5,CE,2021-12-30 10:55:50
830,18800.0,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021CE18800.00,6295.0,486.0,8.366328111551042,4693.0,58.81,0.35,-0.45000000000000007,-56.25,45450.0,75250.0,1550.0,0.35,23150.0,0.4,17213.6,NIFTY,OPIDX,0.375,CE,2021-12-30 10:55:50
834,18850.0,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021CE18850.00,293.0,-61.0,-17.231638418079097,11502.0,59.57,0.3,-0.39999999999999997,-57.14285714285714,2100.0,37100.0,100.0,0.35,650.0,0.45,17213.6,NIFTY,OPIDX,0.4,CE,2021-12-30 10:55:50
843,18900.0,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021CE18900.00,5751.0,-235.0,-3.925826929502172,2664.0,59.0,0.2,-0.55,-73.33333333333334,47150.0,43250.0,2000.0,0.2,50.0,0.3,17213.6,NIFTY,OPIDX,0.25,CE,2021-12-30 10:55:50
847,18950.0,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021CE18950.00,162.0,6.0,3.8461538461538463,353.0,61.7,0.25,-0.4,-61.53846153846154,10150.0,38000.0,1550.0,0.25,50.0,0.45,17213.6,NIFTY,OPIDX,0.35,CE,2021-12-30 10:55:50
855,19000.0,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021CE19000.00,41791.0,550.0,1.3336243059091681,28315.0,63.24,0.25,-0.44999999999999996,-64.28571428571428,818450.0,226900.0,1500.0,0.25,2700.0,0.3,17213.6,NIFTY,OPIDX,0.275,CE,2021-12-30 10:55:50
874,19050.0,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021CE19050.00,183.0,-1.0,-0.5434782608695652,3313.0,67.57,0.4,-0.35,-46.666666666666664,4400.0,35650.0,100.0,0.35,50.0,0.5,17213.6,NIFTY,OPIDX,0.425,CE,2021-12-30 10:55:50
883,19100.0,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021CE19100.00,3909.0,-168.0,-4.120676968359088,996.0,70.62,0.5,-0.25,-33.33333333333333,22850.0,38450.0,700.0,0.4,1250.0,0.5,17213.6,NIFTY,OPIDX,0.45,CE,2021-12-30 10:55:50
888,19150.0,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021CE19150.00,92.0,-4.0,-4.166666666666667,16.0,67.81,0.25,-0.6,-70.58823529411765,4300.0,40200.0,300.0,0.2,50.0,0.55,17213.6,NIFTY,OPIDX,0.375,CE,2021-12-30 10:55:50
890,19200.0,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021CE19200.00,2532.0,-6.0,-0.2364066193853428,8747.0,68.03,0.2,-0.39999999999999997,-66.66666666666666,30650.0,67700.0,2000.0,0.2,500.0,0.4,17213.6,NIFTY,OPIDX,0.30000000000000004,CE,2021-12-30 10:55:50
898,19250.0,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021CE19250.00,125.0,2.0,1.6260162601626016,81.0,71.96,0.3,-0.35000000000000003,-53.846153846153854,3400.0,36250.0,700.0,0.2,50.0,0.5,17213.6,NIFTY,OPIDX,0.35,CE,2021-12-30 10:55:50
900,19300.0,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021CE19300.00,1909.0,40.0,2.1401819154628146,3412.0,70.98,0.2,-0.35000000000000003,-63.63636363636363,34100.0,40250.0,2150.0,0.2,50.0,0.4,17213.6,NIFTY,OPIDX,0.30000000000000004,CE,2021-12-30 10:55:50
906,19350.0,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021CE19350.00,67.0,-7.0,-9.45945945945946,10.0,74.99,0.3,-0.25000000000000006,-45.45454545454546,6000.0,36400.0,250.0,0.25,50.0,0.4,17213.6,NIFTY,OPIDX,0.325,CE,2021-12-30 10:55:50
910,19400.0,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021CE19400.00,896.0,214.0,31.378299120234605,1316.0,77.53,0.35,-0.35,-50.0,38650.0,37200.0,400.0,0.35,400.0,0.4,17213.6,NIFTY,OPIDX,0.375,CE,2021-12-30 10:55:50
912,19450.0,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021CE19450.00,62.0,10.0,19.23076923076923,110.0,75.36,0.2,-0.39999999999999997,-66.66666666666666,8700.0,37800.0,3100.0,0.1,50.0,0.3,17213.6,NIFTY,OPIDX,0.2,CE,2021-12-30 10:55:50
916,19500.0,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021CE19500.00,18280.0,-1138.0,-5.860541765372335,16520.0,76.81,0.2,-0.3,-60.0,400000.0,58450.0,50.0,0.2,1050.0,0.3,17213.6,NIFTY,OPIDX,0.25,CE,2021-12-30 10:55:50
931,19550.0,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021CE19550.00,82.0,0.0,0.0,101.0,74.12,0.1,-0.65,-86.66666666666667,7550.0,36950.0,1750.0,0.1,50.0,0.25,17213.6,NIFTY,OPIDX,0.175,CE,2021-12-30 10:55:50
937,19600.0,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021CE19600.00,334.0,8.0,2.4539877300613497,3708.0,85.45,0.45,-0.14999999999999997,-24.999999999999993,33800.0,42050.0,50.0,0.3,50.0,0.4,17213.6,NIFTY,OPIDX,0.35,CE,2021-12-30 10:55:50
939,19650.0,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021CE19650.00,65.0,-10.0,-13.333333333333334,3436.0,81.12,0.2,-0.55,-73.33333333333334,12600.0,39850.0,300.0,0.2,1000.0,0.4,17213.6,NIFTY,OPIDX,0.30000000000000004,CE,2021-12-30 10:55:50
940,19700.0,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021CE19700.00,486.0,153.0,45.945945945945944,8999.0,82.54,0.2,-0.49999999999999994,-71.42857142857143,35250.0,48950.0,50.0,0.25,3000.0,0.4,17213.6,NIFTY,OPIDX,0.325,CE,2021-12-30 10:55:50
941,19750.0,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021CE19750.00,207.0,-47.0,-18.503937007874015,1720.0,85.51,0.25,-0.30000000000000004,-54.545454545454554,11000.0,36200.0,550.0,0.2,100.0,0.3,17213.6,NIFTY,OPIDX,0.25,CE,2021-12-30 10:55:50
942,19800.0,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021CE19800.00,433.0,49.0,12.760416666666666,2156.0,85.37,0.2,-0.25,-55.55555555555556,22450.0,34050.0,550.0,0.2,700.0,0.3,17213.6,NIFTY,OPIDX,0.25,CE,2021-12-30 10:55:50
943,19850.0,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021CE19850.00,68.0,-7.0,-9.333333333333334,23.0,86.78,0.2,-0.3,-60.0,10700.0,35450.0,1300.0,0.2,50.0,0.4,17213.6,NIFTY,OPIDX,0.30000000000000004,CE,2021-12-30 10:55:50
944,19900.0,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021CE19900.00,587.0,81.0,16.007905138339922,966.0,93.47,0.4,-0.09999999999999998,-19.999999999999996,32900.0,38200.0,350.0,0.2,2950.0,0.4,17213.6,NIFTY,OPIDX,0.30000000000000004,CE,2021-12-30 10:55:50
945,19950.0,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021CE19950.00,361.0,-19.0,-5.0,1002.0,84.94,0.1,-0.30000000000000004,-75.00000000000001,19250.0,34000.0,5000.0,0.1,1800.0,0.15,17213.6,NIFTY,OPIDX,0.125,CE,2021-12-30 10:55:50
946,20000.0,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021CE20000.00,28137.0,-5264.0,-15.76000718541361,33771.0,88.94,0.15,-0.25,-62.5,581650.0,88000.0,6450.0,0.15,23600.0,0.2,17213.6,NIFTY,OPIDX,0.175,CE,2021-12-30 10:55:50
959,20500.0,30-Dec-2021,NIFTY,OPTIDXNIFTY30-12-2021CE20500.00,18683.0,-7053.0,-27.405191171899286,25506.0,104.59,0.2,-0.2,-50.0,277750.0,166200.0,50.0,0.2,9250.0,0.25,17213.6,NIFTY,OPIDX,0.225,CE,2021-12-30 10:55:50
