,Symbol,INSTRUMENT,Expiry,Strike Price,Option Type,Open,High,Low,Close,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,Date,Future_Prices
3338,NIFTY,OPTIDX,2021-12-30,16200.0,CE,1094.35,1120.0,1027.7,1083.7,1083.7,12,103.7,3800,250,01-DEC-2021,17221.9
3339,NIFTY,OPTIDX,2021-12-30,16250.0,CE,1022.8,1077.55,974.95,974.95,1063.5,5,43.21,700,0,01-DEC-2021,17221.9
3340,NIFTY,OPTIDX,2021-12-30,16300.0,CE,999.95,1036.1,920.0,1010.0,1010.0,27,233.31,7150,50,01-DEC-2021,17221.9
3341,NIFTY,OPTIDX,2021-12-30,16350.0,CE,929.5,951.25,883.25,934.85,983.45,15,129.49,1900,150,01-DEC-2021,17221.9
3342,NIFTY,OPTIDX,2021-12-30,16400.0,CE,918.05,940.0,860.0,912.0,944.5,25,216.21,5900,450,01-DEC-2021,17221.9
3343,NIFTY,OPTIDX,2021-12-30,16450.0,CE,844.75,910.0,833.15,867.45,867.45,26,225.11,3100,-200,01-DEC-2021,17221.9
3344,NIFTY,OPTIDX,2021-12-30,16500.0,CE,795.85,873.0,753.75,834.85,834.85,1097,9501.49,551325,-6550,01-DEC-2021,17221.9
3345,NIFTY,OPTIDX,2021-12-30,16550.0,CE,762.65,820.0,714.95,792.75,832.6,22,190.63,2850,-450,01-DEC-2021,17221.9
3346,NIFTY,OPTIDX,2021-12-30,16600.0,CE,690.05,782.05,682.8,752.35,752.35,131,1135.89,16050,2050,01-DEC-2021,17221.9
3347,NIFTY,OPTIDX,2021-12-30,16650.0,CE,677.1,740.3,649.15,712.2,712.2,47,407.69,3100,1000,01-DEC-2021,17221.9
3348,NIFTY,OPTIDX,2021-12-30,16700.0,CE,630.4,706.15,598.0,672.95,672.95,468,4060.8,23050,-300,01-DEC-2021,17221.9
3349,NIFTY,OPTIDX,2021-12-30,16750.0,CE,606.95,664.05,568.1,622.4,622.4,151,1311.78,5950,2200,01-DEC-2021,17221.9
3350,NIFTY,OPTIDX,2021-12-30,16800.0,CE,540.85,629.0,521.0,598.05,598.05,1262,10970.5,80250,-250,01-DEC-2021,17221.9
3351,NIFTY,OPTIDX,2021-12-30,16850.0,CE,522.05,588.3,492.05,557.8,557.8,141,1226.35,9050,1250,01-DEC-2021,17221.9
3352,NIFTY,OPTIDX,2021-12-30,16900.0,CE,454.95,552.8,452.35,522.0,522.0,1338,11647.33,116550,2850,01-DEC-2021,17221.9
3353,NIFTY,OPTIDX,2021-12-30,16950.0,CE,436.05,516.9,424.1,490.1,490.1,425,3703.61,16200,-700,01-DEC-2021,17221.9
3354,NIFTY,OPTIDX,2021-12-30,17000.0,CE,410.0,483.7,372.6,449.4,449.4,45433,396247.21,2045725,249325,01-DEC-2021,17221.9
3355,NIFTY,OPTIDX,2021-12-30,17050.0,CE,366.15,444.55,357.2,413.7,413.7,1881,16419.37,16950,-1350,01-DEC-2021,17221.9
3356,NIFTY,OPTIDX,2021-12-30,17100.0,CE,345.3,414.3,327.95,381.25,381.25,67294,588050.27,1154000,386000,01-DEC-2021,17221.9
3357,NIFTY,OPTIDX,2021-12-30,17150.0,CE,290.0,380.0,290.0,351.7,351.7,4752,41569.03,50350,2850,01-DEC-2021,17221.9
3358,NIFTY,OPTIDX,2021-12-30,17200.0,CE,283.95,348.85,272.45,318.95,318.95,70408,616688.16,1120700,433150,01-DEC-2021,17221.9
3359,NIFTY,OPTIDX,2021-12-30,17250.0,CE,259.95,318.1,247.5,292.2,292.2,2440,21399.33,77050,-2850,01-DEC-2021,17221.9
3360,NIFTY,OPTIDX,2021-12-30,17300.0,CE,226.2,289.0,223.2,263.5,263.5,39126,343538.36,736900,87600,01-DEC-2021,17221.9
3361,NIFTY,OPTIDX,2021-12-30,17350.0,CE,220.45,260.75,200.95,238.4,238.4,1441,12672.08,57350,-300,01-DEC-2021,17221.9
