,Unnamed: 0,Symbol,INSTRUMENT,Expiry,Strike Price,Option Type,Open,High,Low,Close,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,Date,futures_price,time_diff,impliedvolatility,delta,theta,gamma,vega,next_day_close,daily_straddle_pnl
429,53139,HDFCBANK,OPTSTK,2021-10-28,1620.0,PE,60.95,60.95,41.1,47.85,47.85,1719,15749.69,490600,63250,2021-10-06,1611.65,22.0,27.51922607421875,-0.5170324008268836,-0.9863548767362142,0.003660514733084685,1.5770652292090488,46.05,-1.8000000000000043
426,53094,HDFCBANK,OPTSTK,2021-10-28,1620.0,CE,34.15,47.2,34.0,40.35,40.35,13739,125587.11,1626900,329450,2021-10-06,1611.65,22.0,28.0609130859375,0.4838211773212988,-1.0058599153012604,0.0035901723611701736,1.5772058499206472,38.3,-2.0500000000000043
490,53274,HDFCBANK,OPTSTK,2021-12-30,1620.0,CE,0.0,0.0,0.0,101.25,107.0,0,0.0,0,0,2021-10-06,1622.3,85.0,32.1044921875,0.5345137268657015,-0.5876135999576538,0.0015813236009742028,3.111536896749152,38.3,-62.95
491,53319,HDFCBANK,OPTSTK,2021-12-30,1620.0,PE,0.0,0.0,0.0,110.85,97.65,0,0.0,0,0,2021-10-06,1622.3,85.0,35.930633544921875,-0.46220582712490954,-0.6571514804171315,0.001411875052667988,3.1092062858073723,46.05,-64.8
347,53229,HDFCBANK,OPTSTK,2021-11-25,1620.0,PE,59.0,61.0,59.0,61.0,76.9,2,18.48,1100,1100,2021-10-06,1616.7,50.0,24.84130859375,-0.4905090267791619,-0.5928292449390616,0.00268314821468239,2.3864654420347877,46.05,-14.950000000000003
344,53184,HDFCBANK,OPTSTK,2021-11-25,1620.0,CE,65.2,69.05,60.5,61.7,61.7,24,222.43,55000,0,2021-10-06,1616.7,50.0,26.519775390625,0.5112895245811463,-0.6328109344037809,0.0025130334843112335,2.386185120660885,38.3,-23.400000000000006
492,55265,HDFCBANK,OPTSTK,2021-10-28,1620.0,CE,43.95,46.9,36.7,38.3,38.3,6654,60845.22,1871100,244200,2021-10-07,1611.15,21.0,27.52685546875,0.48008027569848233,-1.0091941865453469,0.0037455227887745286,1.5398110359181294,33.15,-5.149999999999999
295,55495,HDFCBANK,OPTSTK,2021-12-30,1620.0,PE,0.0,0.0,0.0,110.85,98.9,0,0.0,0,0,2021-10-07,1623.25,84.0,36.285400390625,-0.4607482792955948,-0.6677323589634493,0.001405046251991084,3.0915749887892376,49.15,-61.699999999999996
386,55357,HDFCBANK,OPTSTK,2021-11-25,1620.0,CE,62.0,66.1,59.2,60.0,60.0,25,231.47,57200,2200,2021-10-07,1616.2,49.0,26.18408203125,0.5093703118475844,-0.6310274260762445,0.002572208592674914,2.361766499267255,33.15,-26.85
292,55449,HDFCBANK,OPTSTK,2021-12-30,1620.0,CE,0.0,0.0,0.0,101.25,103.75,0,0.0,0,0,2021-10-07,1623.25,84.0,32.131195068359375,0.5358853676908114,-0.5917585492740127,0.0015879719272849536,3.09404726673026,33.15,-68.1
