Date,strategy_pnl
2021-10-01,0.0
2021-10-04,0.0
2021-10-05,0.0
2021-10-06,0.0
2021-10-07,0.0
2021-10-08,0.0
2021-10-11,0.0
2021-10-12,0.0
2021-10-13,0.0
2021-10-14,0.0
2021-10-18,2352.874999999997
2021-10-19,-1064.4750000000004
2021-10-20,-15094.250000000002
2021-10-21,-3346.649999999999
2021-10-22,-27002.14999999999
2021-10-25,4278.274999999997
2021-10-26,-1241.599999999995
2021-10-27,-5566.600000000006
2021-10-28,-30279.9
2021-10-29,15288.074999999999
2021-11-01,2263.360000000006
2021-11-02,2520.6749999999893
2021-11-03,18679.200000000004
2021-11-04,0.0
2021-11-08,2862.700000000006
2021-11-09,5787.815000000004
2021-11-10,-6630.845000000004
2021-11-11,-2594.749999999998
2021-11-12,-1696.0700000000043
2021-11-15,2202.675000000003
2021-11-16,-4259.859999999994
2021-11-17,7426.200000000002
2021-11-18,13909.974999999999
2021-11-23,-339.2899999999963
2021-11-24,3428.19
2021-11-25,-6013.789999999999
2021-11-26,640.014999999996
2021-11-29,-808.4100000000005
2021-11-30,-1585.0100000000007
2021-12-01,-1323.7650000000012
2021-12-02,
2021-12-03,
2021-12-06,
