,Realised_PNL
1970-01-01 00:00:00.000000021,0.0
1970-01-01 00:00:00.000000022,0.0
1970-01-01 00:00:00.000000023,0.0
1970-01-01 00:00:00.000000024,0.0
1970-01-01 00:00:00.000000025,0.0
1970-01-01 00:00:00.000000026,0.0
1970-01-01 00:00:00.000000027,0.0
1970-01-01 00:00:00.000000028,0.0
1970-01-01 00:00:00.000000029,0.0
1970-01-01 00:00:00.000000030,0.0
1970-01-01 00:00:00.000000031,0.0
1970-01-01 00:00:00.000000032,0.0
1970-01-01 00:00:00.000000033,0.0
1970-01-01 00:00:00.000000034,0.0
1970-01-01 00:00:00.000000035,0.0
1970-01-01 00:00:00.000000036,0.0
1970-01-01 00:00:00.000000037,0.0
1970-01-01 00:00:00.000000038,11400.0
1970-01-01 00:00:00.000000039,11400.0
1970-01-01 00:00:00.000000040,11400.0
1970-01-01 00:00:00.000000041,10575.0
1970-01-01 00:00:00.000000042,10575.0
1970-01-01 00:00:00.000000043,10575.0
1970-01-01 00:00:00.000000044,10575.0
1970-01-01 00:00:00.000000045,10575.0
1970-01-01 00:00:00.000000046,10575.0
1970-01-01 00:00:00.000000047,10575.0
1970-01-01 00:00:00.000000048,10575.0
1970-01-01 00:00:00.000000049,10575.0
1970-01-01 00:00:00.000000050,10575.0
1970-01-01 00:00:00.000000051,10575.0
1970-01-01 00:00:00.000000052,10575.0
1970-01-01 00:00:00.000000053,10575.0
1970-01-01 00:00:00.000000054,10575.0
1970-01-01 00:00:00.000000055,10575.0
1970-01-01 00:00:00.000000056,10575.0
1970-01-01 00:00:00.000000057,10575.0
1970-01-01 00:00:00.000000058,10575.0
1970-01-01 00:00:00.000000059,10575.0
1970-01-01 00:00:00.000000060,10575.0
1970-01-01 00:00:00.000000061,10575.0
1970-01-01 00:00:00.000000062,10575.0
1970-01-01 00:00:00.000000063,10575.0
1970-01-01 00:00:00.000000064,11654.999999999973
1970-01-01 00:00:00.000000065,11654.999999999973
1970-01-01 00:00:00.000000066,10934.999999999945
1970-01-01 00:00:00.000000067,10934.999999999945
1970-01-01 00:00:00.000000068,10994.99999999996
1970-01-01 00:00:00.000000069,10994.99999999996
1970-01-01 00:00:00.000000070,10860.000000000015
1970-01-01 00:00:00.000000071,10860.000000000015
1970-01-01 00:00:00.000000072,10260.000000000015
1970-01-01 00:00:00.000000073,10260.000000000015
1970-01-01 00:00:00.000000074,8670.00000000003
1970-01-01 00:00:00.000000075,8670.00000000003
1970-01-01 00:00:00.000000076,8670.00000000003
1970-01-01 00:00:00.000000077,-1049.9999999999982
1970-01-01 00:00:00.000000078,-1049.9999999999982
1970-01-01 00:00:00.000000079,-1049.9999999999982
1970-01-01 00:00:00.000000080,4035.0000000000155
1970-01-01 00:00:00.000000081,4035.0000000000155
1970-01-01 00:00:00.000000082,4035.0000000000155
1970-01-01 00:00:00.000000083,4035.0000000000155
1970-01-01 00:00:00.000000084,4035.0000000000155
1970-01-01 00:00:00.000000085,4035.0000000000155
1970-01-01 00:00:00.000000086,4035.0000000000155
1970-01-01 00:00:00.000000087,3375.000000000002
