,Symbol,Date,Expiry,Option Type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Premium Turnover in Lacs,Open Int,Change in OI,Underlying Value,futures_price,time_to_expiry
33,BANKNIFTY,2021-11-01,2021-12-30,CE,42400,0.0,0.0,0.0,379.6,377.4,1157.6,0,0.0,0.0,100,0,-,40181.9,59
34,BANKNIFTY,2021-11-01,2021-12-30,CE,42500,386.7,475.7,303.05,459.85,475.7,459.85,396,4247.38,39.88,7075,1450,-,40181.9,59
35,BANKNIFTY,2021-11-01,2021-12-30,CE,42600,0.0,0.0,0.0,894.85,894.85,1098.1,0,0.0,0.0,25,0,-,40181.9,59
36,BANKNIFTY,2021-11-01,2021-12-30,CE,42700,0.0,0.0,0.0,309.35,309.35,1069.25,0,0.0,0.0,25,0,-,40181.9,59
37,BANKNIFTY,2021-11-01,2021-12-30,CE,42800,0.0,0.0,0.0,1159.8,0.0,1041.0,0,0.0,0.0,0,0,-,40181.9,59
38,BANKNIFTY,2021-11-01,2021-12-30,CE,42900,0.0,0.0,0.0,831.2,831.2,1013.35,0,0.0,0.0,75,0,-,40181.9,59
39,BANKNIFTY,2021-11-01,2021-12-30,CE,43000,312.45,378.0,276.2,359.0,374.95,359.0,691,7484.13,55.88,29875,4125,-,40181.9,59
40,BANKNIFTY,2021-11-01,2021-12-30,CE,43100,0.0,0.0,0.0,715.7,715.7,959.85,0,0.0,0.0,25,0,-,40181.9,59
41,BANKNIFTY,2021-11-01,2021-12-30,CE,43200,0.0,0.0,0.0,1053.95,0.0,934.0,0,0.0,0.0,0,0,-,40181.9,59
42,BANKNIFTY,2021-11-01,2021-12-30,CE,43300,0.0,0.0,0.0,1030.55,0.0,910.45,0,0.0,0.0,0,0,-,40181.9,59
43,BANKNIFTY,2021-11-01,2021-12-30,CE,43400,258.9,258.9,258.9,258.9,258.9,885.8,1,10.91,0.06,250,25,-,40181.9,59
44,BANKNIFTY,2021-11-01,2021-12-30,CE,43500,250.0,326.2,151.2,286.65,296.25,286.65,290,3173.31,19.56,5225,225,-,40181.9,59
45,BANKNIFTY,2021-11-01,2021-12-30,CE,43600,0.0,0.0,0.0,211.85,211.85,838.2,0,0.0,0.0,100,0,-,40181.9,59
46,BANKNIFTY,2021-11-01,2021-12-30,CE,43700,0.0,0.0,0.0,1020.05,0.0,815.15,0,0.0,0.0,0,0,-,40181.9,59
47,BANKNIFTY,2021-11-01,2021-12-30,CE,43800,0.0,0.0,0.0,1038.05,0.0,792.7,0,0.0,0.0,0,0,-,40181.9,59
48,BANKNIFTY,2021-11-01,2021-12-30,CE,43900,0.0,0.0,0.0,558.05,558.05,770.7,0,0.0,0.0,25,0,-,40181.9,59
49,BANKNIFTY,2021-11-01,2021-12-30,CE,44000,200.25,245.7,196.2,230.95,245.7,230.95,392,4333.17,21.17,11625,1750,-,40181.9,59
50,BANKNIFTY,2021-11-01,2021-12-30,CE,44100,0.0,0.0,0.0,1001.4,0.0,726.6,0,0.0,0.0,0,0,-,40181.9,59
51,BANKNIFTY,2021-11-01,2021-12-30,CE,44200,0.0,0.0,0.0,978.3,0.0,706.05,0,0.0,0.0,0,0,-,40181.9,59
52,BANKNIFTY,2021-11-01,2021-12-30,CE,44300,0.0,0.0,0.0,953.9,0.0,686.0,0,0.0,0.0,0,0,-,40181.9,59
53,BANKNIFTY,2021-11-01,2021-12-30,CE,44400,0.0,0.0,0.0,1177.25,0.0,666.4,0,0.0,0.0,0,0,-,40181.9,59
54,BANKNIFTY,2021-11-01,2021-12-30,CE,44500,171.95,194.0,169.45,193.45,194.0,193.45,14,156.36,0.61,450,100,-,40181.9,59
55,BANKNIFTY,2021-11-01,2021-12-30,CE,44600,0.0,0.0,0.0,366.4,366.2,628.6,0,0.0,0.0,75,0,-,40181.9,59
56,BANKNIFTY,2021-11-01,2021-12-30,CE,44700,0.0,0.0,0.0,1094.15,0.0,610.4,0,0.0,0.0,0,0,-,40181.9,59
57,BANKNIFTY,2021-11-01,2021-12-30,CE,44800,81.0,81.0,81.0,81.0,81.0,592.6,1,11.22,0.02,75,0,-,40181.9,59
58,BANKNIFTY,2021-11-01,2021-12-30,CE,44900,0.0,0.0,0.0,368.3,368.3,575.3,0,0.0,0.0,25,0,-,40181.9,59
59,BANKNIFTY,2021-11-01,2021-12-30,CE,45000,166.05,199.95,151.0,168.8,169.1,168.8,663,7485.41,26.66,26075,1400,-,40181.9,59
60,BANKNIFTY,2021-11-01,2021-12-30,CE,45100,0.0,0.0,0.0,992.65,0.0,541.9,0,0.0,0.0,0,0,-,40181.9,59
61,BANKNIFTY,2021-11-01,2021-12-30,CE,45200,0.0,0.0,0.0,155.0,155.0,525.85,0,0.0,0.0,50,0,-,40181.9,59
62,BANKNIFTY,2021-11-01,2021-12-30,CE,27000,0.0,0.0,0.0,7779.3,0.0,12933.35,0,0.0,0.0,0,0,-,40181.9,59
63,BANKNIFTY,2021-11-01,2021-12-30,CE,28500,0.0,0.0,0.0,6960.4,0.0,11447.7,0,0.0,0.0,0,0,-,40181.9,59
64,BANKNIFTY,2021-11-01,2021-12-30,CE,30000,9525.2,9528.65,9400.0,9500.0,9500.0,9972.55,6,59.24,14.24,675,150,-,40181.9,59
65,BANKNIFTY,2021-11-01,2021-12-30,CE,31500,0.0,0.0,0.0,5536.9,0.0,8521.65,0,0.0,0.0,0,0,-,40181.9,59
66,BANKNIFTY,2021-11-01,2021-12-30,CE,33000,0.0,0.0,0.0,7009.6,7009.6,7117.5,0,0.0,0.0,25,0,-,40181.9,59
67,BANKNIFTY,2021-11-01,2021-12-30,CE,33200,0.0,0.0,0.0,5079.65,0.0,6935.35,0,0.0,0.0,0,0,-,40181.9,59
68,BANKNIFTY,2021-11-01,2021-12-30,CE,33300,0.0,0.0,0.0,5007.0,0.0,6844.85,0,0.0,0.0,0,0,-,40181.9,59
69,BANKNIFTY,2021-11-01,2021-12-30,CE,33400,0.0,0.0,0.0,5130.05,0.0,6754.7,0,0.0,0.0,0,0,-,40181.9,59
70,BANKNIFTY,2021-11-01,2021-12-30,CE,33500,6558.15,6558.15,6558.15,6558.15,6558.15,6664.9,1,10.01,1.64,25,25,-,40181.9,59
71,BANKNIFTY,2021-11-01,2021-12-30,CE,33600,0.0,0.0,0.0,4983.6,0.0,6575.55,0,0.0,0.0,0,0,-,40181.9,59
72,BANKNIFTY,2021-11-01,2021-12-30,CE,33700,0.0,0.0,0.0,4911.3,0.0,6486.55,0,0.0,0.0,0,0,-,40181.9,59
73,BANKNIFTY,2021-11-01,2021-12-30,CE,33800,0.0,0.0,0.0,4839.5,0.0,6398.0,0,0.0,0.0,0,0,-,40181.9,59
74,BANKNIFTY,2021-11-01,2021-12-30,CE,33900,0.0,0.0,0.0,4768.35,0.0,6309.85,0,0.0,0.0,0,0,-,40181.9,59
75,BANKNIFTY,2021-11-01,2021-12-30,CE,34000,0.0,0.0,0.0,7478.8,7478.8,6222.15,0,0.0,0.0,25,0,-,40181.9,59
76,BANKNIFTY,2021-11-01,2021-12-30,CE,34100,0.0,0.0,0.0,4627.8,0.0,6134.9,0,0.0,0.0,0,0,-,40181.9,59
77,BANKNIFTY,2021-11-01,2021-12-30,CE,34200,0.0,0.0,0.0,4558.45,0.0,6048.1,0,0.0,0.0,0,0,-,40181.9,59
78,BANKNIFTY,2021-11-01,2021-12-30,CE,34300,0.0,0.0,0.0,4489.65,0.0,5961.75,0,0.0,0.0,0,0,-,40181.9,59
79,BANKNIFTY,2021-11-01,2021-12-30,CE,34400,0.0,0.0,0.0,4420.1,0.0,5875.9,0,0.0,0.0,0,0,-,40181.9,59
80,BANKNIFTY,2021-11-01,2021-12-30,CE,34500,0.0,0.0,0.0,6876.55,6876.55,5790.5,0,0.0,0.0,25,0,-,40181.9,59
81,BANKNIFTY,2021-11-01,2021-12-30,CE,34600,0.0,0.0,0.0,4285.8,0.0,5705.65,0,0.0,0.0,0,0,-,40181.9,59
82,BANKNIFTY,2021-11-01,2021-12-30,CE,34700,0.0,0.0,0.0,4219.6,0.0,5621.25,0,0.0,0.0,0,0,-,40181.9,59
83,BANKNIFTY,2021-11-01,2021-12-30,CE,34800,0.0,0.0,0.0,4154.0,0.0,5537.4,0,0.0,0.0,0,0,-,40181.9,59
84,BANKNIFTY,2021-11-01,2021-12-30,CE,34900,0.0,0.0,0.0,4089.05,0.0,5454.05,0,0.0,0.0,0,0,-,40181.9,59
