,Unnamed: 0,Symbol,INSTRUMENT,Expiry,Strike Price,Option Type,Open,High,Low,Close,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,Date,futures_price,time_diff,impliedvolatility,delta,theta,gamma,vega,next_day_close,daily_straddle_pnl
12,67492,SBIN,OPTSTK,2021-12-30,495.0,PE,0.0,0.0,0.0,63.25,39.95,0,0.0,0,0,2021-10-14,494.85,77.0,69.9615478515625,-0.43654907535083276,-0.40670678864835064,0.002477070194968887,0.8952467087311186,11.7,-51.55
1818,67307,SBIN,OPTSTK,2021-11-25,495.0,CE,28.1,31.7,26.55,29.05,29.05,200,1573.14,274500,271500,2021-10-14,492.85,42.0,45.0897216796875,0.5191486241338144,-0.35760258377447424,0.005286142631845223,0.6661965503013508,15.75,-13.3
487,67243,SBIN,OPTSTK,2021-10-28,490.0,PE,18.45,19.55,13.05,14.35,14.35,4232,32051.18,1561500,1225500,2021-10-14,491.3,14.0,39.12353515625,-0.4709466317281702,-0.5349346945929456,0.010569487209143184,0.38284299690156476,9.35,-5.0
1644,69493,SBIN,OPTSTK,2021-10-28,500.0,CE,13.0,15.0,11.05,13.6,13.6,28733,221202.22,12409500,312000,2021-10-18,499.05,10.0,42.724609375,0.5033775691803728,-0.703947439238172,0.011303651834208065,0.3295278526993775,8.7,-4.9
1658,69623,SBIN,OPTSTK,2021-11-25,500.0,CE,29.7,33.75,28.95,31.85,31.85,1069,8512.17,1771500,199500,2021-10-18,500.95,38.0,48.7518310546875,0.5361418772460341,-0.4119457842874226,0.005041877588927334,0.6421887943188106,8.7,-23.150000000000002
1665,69688,SBIN,OPTSTK,2021-11-25,500.0,PE,32.0,32.9,29.4,30.15,30.15,128,1019.38,151500,130500,2021-10-18,500.95,38.0,47.576904296875,-0.4644928648676173,-0.4020755794494302,0.005167130549262,0.6422810498026418,18.8,-11.349999999999998
656,69752,SBIN,OPTSTK,2021-12-30,505.0,CE,0.0,0.0,0.0,22.95,37.8,0,0.0,0,0,2021-10-18,503.0,73.0,26.63421630859375,0.5104672485738906,-0.16365549633346427,0.006656372849962717,0.8971055197511588,7.2,-15.75
660,69815,SBIN,OPTSTK,2021-12-30,505.0,PE,0.0,0.0,0.0,70.15,40.95,0,0.0,0,0,2021-10-18,503.0,73.0,77.27813720703125,-0.43592191402883584,-0.46886302537610064,0.002265267978276444,0.8858132995819976,21.85,-48.300000000000004
1651,69558,SBIN,OPTSTK,2021-10-28,500.0,PE,17.7,19.0,13.0,14.2,14.2,3672,28391.04,1374000,622500,2021-10-18,499.05,10.0,41.50390625,-0.49734099442532576,-0.6838439744151726,0.011636270756768924,0.32953234343582904,18.8,4.600000000000001
1522,71986,SBIN,OPTSTK,2021-11-25,490.0,CE,39.0,39.0,29.1,30.6,30.6,81,637.04,253500,10500,2021-10-19,491.55,37.0,47.8515625,0.5385996404133729,-0.40184392034384303,0.005302157381684416,0.6214311205709193,19.35,-11.25
