,Symbol,Date,Expiry,Option Type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Premium Turnover in Lacs,Open Int,Change in OI,Underlying Value,futures_price,time_diff
7468,BANKNIFTY,2021-11-18,2021-12-30,PE,37100,409.7,569.8,409.7,438.35,440.0,438.35,33,310.23,4.15,1000,-50,-,38253.7,0.11506849315068493
7469,BANKNIFTY,2021-11-18,2021-12-30,PE,37200,419.0,597.05,419.0,474.25,507.25,474.25,105,990.21,13.71,625,-75,-,38253.7,0.11506849315068493
7470,BANKNIFTY,2021-11-18,2021-12-30,PE,37300,463.05,637.75,463.05,511.4,498.85,511.4,64,605.65,8.85,850,375,-,38253.7,0.11506849315068493
7471,BANKNIFTY,2021-11-18,2021-12-30,PE,36500,326.85,402.45,233.8,297.15,309.3,297.15,3961,36480.11,335.98,60625,17225,-,38253.7,0.11506849315068493
7472,BANKNIFTY,2021-11-18,2021-12-30,PE,36600,354.85,443.3,296.7,313.8,315.35,313.8,76,702.66,7.26,1750,-250,-,38253.7,0.11506849315068493
7473,BANKNIFTY,2021-11-18,2021-12-30,PE,36700,316.5,444.5,316.5,345.7,350.0,345.7,18,166.78,1.63,1650,100,-,38253.7,0.11506849315068493
7474,BANKNIFTY,2021-11-18,2021-12-30,PE,36800,342.8,465.0,336.15,365.1,355.4,365.1,161,1496.75,15.55,4350,2425,-,38253.7,0.11506849315068493
7475,BANKNIFTY,2021-11-18,2021-12-30,PE,36900,418.7,499.0,383.35,395.9,388.25,395.9,27,252.06,2.98,575,0,-,38253.7,0.11506849315068493
7476,BANKNIFTY,2021-11-18,2021-12-30,PE,36100,252.05,305.0,203.35,230.15,224.05,230.15,49,445.45,3.23,575,250,-,38253.7,0.11506849315068493
7477,BANKNIFTY,2021-11-18,2021-12-30,PE,36200,236.2,322.5,234.75,244.3,234.75,244.3,83,756.98,5.83,1625,1125,-,38253.7,0.11506849315068493
7478,BANKNIFTY,2021-11-18,2021-12-30,PE,36300,293.15,348.9,251.0,251.25,251.1,251.25,45,411.74,3.37,900,775,-,38253.7,0.11506849315068493
7479,BANKNIFTY,2021-11-18,2021-12-30,PE,36400,155.2,368.55,155.2,276.5,277.05,276.5,30,275.36,2.36,1675,25,-,38253.7,0.11506849315068493
7480,BANKNIFTY,2021-11-18,2021-12-30,PE,35600,210.0,211.4,156.15,156.15,156.15,156.15,8,71.59,0.39,375,100,-,38253.7,0.11506849315068493
7481,BANKNIFTY,2021-11-18,2021-12-30,PE,35700,71.05,220.8,71.05,166.95,154.7,166.95,11,98.63,0.45,375,150,-,38253.7,0.11506849315068493
7482,BANKNIFTY,2021-11-18,2021-12-30,PE,35800,199.9,253.0,179.0,187.6,196.15,187.6,32,288.25,1.85,475,250,-,38253.7,0.11506849315068493
7483,BANKNIFTY,2021-11-18,2021-12-30,PE,35900,167.35,269.8,167.35,195.85,195.85,195.85,16,144.57,0.97,300,100,-,38253.7,0.11506849315068493
7484,BANKNIFTY,2021-11-18,2021-12-30,PE,36000,231.7,298.0,186.3,213.6,214.95,213.6,6394,57939.78,393.78,124475,25700,-,38253.7,0.11506849315068493
7485,BANKNIFTY,2021-11-18,2021-12-30,PE,35200,0.0,0.0,0.0,1336.6,0.0,520.5,0,0.0,0.0,0,0,-,38253.7,0.11506849315068493
7486,BANKNIFTY,2021-11-18,2021-12-30,PE,35300,137.35,177.3,126.0,128.05,126.0,128.05,13,115.2,0.48,450,25,-,38253.7,0.11506849315068493
7487,BANKNIFTY,2021-11-18,2021-12-30,PE,35400,174.45,174.45,174.45,174.45,174.45,572.15,1,8.89,0.04,125,0,-,38253.7,0.11506849315068493
7488,BANKNIFTY,2021-11-18,2021-12-30,PE,35500,164.95,215.05,130.1,150.7,142.45,150.7,2177,19416.15,95.27,51400,8850,-,38253.7,0.11506849315068493
7489,BANKNIFTY,2021-11-18,2021-12-30,PE,34700,0.0,0.0,0.0,110.15,110.15,408.8,0,0.0,0.0,50,0,-,38253.7,0.11506849315068493
7490,BANKNIFTY,2021-11-18,2021-12-30,PE,34800,0.0,0.0,0.0,1196.5,0.0,429.6,0,0.0,0.0,0,0,-,38253.7,0.11506849315068493
7491,BANKNIFTY,2021-11-18,2021-12-30,PE,34900,0.0,0.0,0.0,1230.6,0.0,451.15,0,0.0,0.0,0,0,-,38253.7,0.11506849315068493
7492,BANKNIFTY,2021-11-18,2021-12-30,PE,35000,110.05,154.85,97.95,107.6,108.65,107.6,2581,22669.25,85.5,87475,25325,-,38253.7,0.11506849315068493
7493,BANKNIFTY,2021-11-18,2021-12-30,PE,35100,0.0,0.0,0.0,1300.65,0.0,496.6,0,0.0,0.0,0,0,-,38253.7,0.11506849315068493
7494,BANKNIFTY,2021-11-18,2021-12-30,PE,34200,0.0,0.0,0.0,1006.65,0.0,315.95,0,0.0,0.0,0,0,-,38253.7,0.11506849315068493
7495,BANKNIFTY,2021-11-18,2021-12-30,PE,34300,0.0,0.0,0.0,1036.9,0.0,333.1,0,0.0,0.0,0,0,-,38253.7,0.11506849315068493
7496,BANKNIFTY,2021-11-18,2021-12-30,PE,34400,0.0,0.0,0.0,1066.35,0.0,350.95,0,0.0,0.0,0,0,-,38253.7,0.11506849315068493
7497,BANKNIFTY,2021-11-18,2021-12-30,PE,34500,79.45,116.35,72.6,81.35,84.9,81.35,343,2966.95,8.57,7775,3075,-,38253.7,0.11506849315068493
7498,BANKNIFTY,2021-11-18,2021-12-30,PE,34600,0.0,0.0,0.0,1130.2,0.0,388.8,0,0.0,0.0,0,0,-,38253.7,0.11506849315068493
7499,BANKNIFTY,2021-11-18,2021-12-30,PE,33800,0.0,0.0,0.0,891.55,0.0,253.9,0,0.0,0.0,0,0,-,38253.7,0.11506849315068493
7500,BANKNIFTY,2021-11-18,2021-12-30,PE,33900,0.0,0.0,0.0,919.4,0.0,268.45,0,0.0,0.0,0,0,-,38253.7,0.11506849315068493
7501,BANKNIFTY,2021-11-18,2021-12-30,PE,34000,94.0,251.0,56.95,63.45,61.2,63.45,825,7027.51,15.01,17800,1525,-,38253.7,0.11506849315068493
7502,BANKNIFTY,2021-11-18,2021-12-30,PE,34100,0.0,0.0,0.0,976.95,0.0,299.45,0,0.0,0.0,0,0,-,38253.7,0.11506849315068493
7503,BANKNIFTY,2021-11-18,2021-12-30,PE,33300,0.0,0.0,0.0,775.0,0.0,190.1,0,0.0,0.0,0,0,-,38253.7,0.11506849315068493
7504,BANKNIFTY,2021-11-18,2021-12-30,PE,33400,0.0,0.0,0.0,785.9,0.0,201.75,0,0.0,0.0,0,0,-,38253.7,0.11506849315068493
7505,BANKNIFTY,2021-11-18,2021-12-30,PE,33500,54.95,60.55,44.25,52.55,54.45,52.55,33,276.82,0.44,2475,100,-,38253.7,0.11506849315068493
7506,BANKNIFTY,2021-11-18,2021-12-30,PE,33600,0.0,0.0,0.0,837.55,0.0,226.65,0,0.0,0.0,0,0,-,38253.7,0.11506849315068493
7507,BANKNIFTY,2021-11-18,2021-12-30,PE,33700,0.0,0.0,0.0,864.25,0.0,240.0,0,0.0,0.0,0,0,-,38253.7,0.11506849315068493
7508,BANKNIFTY,2021-11-18,2021-12-30,PE,33000,44.45,59.95,38.1,48.85,59.55,48.85,300,2478.67,3.67,9050,2200,-,38253.7,0.11506849315068493
