pip install --upgrade git+https://github.com/StreamAlpha/pynse.git
,Historical Contract-wise Price Volume Data,Historical Contract-wise Price Volume Data,Historical Contract-wise Price Volume Data,Historical Contract-wise Price Volume Data,Historical Contract-wise Price Volume Data,Historical Contract-wise Price Volume Data,Historical Contract-wise Price Volume Data,Historical Contract-wise Price Volume Data,Historical Contract-wise Price Volume Data,Historical Contract-wise Price Volume Data,Historical Contract-wise Price Volume Data,Historical Contract-wise Price Volume Data,Historical Contract-wise Price Volume Data,Historical Contract-wise Price Volume Data,Historical Contract-wise Price Volume Data,Historical Contract-wise Price Volume Data,Historical Contract-wise Price Volume Data
,Symbol,Date,Expiry,Optiontype,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover * in Lacs,Premium Turnover ** in Lacs,Open Int,Change in OI,Underlying Value
33,SBIN,01-Oct-2021,30-Dec-2021,CE,400.0,0.0,0.0,0.0,72.85,0.0,71.5,0,0.0,0.0,0,0,-
34,SBIN,01-Oct-2021,30-Dec-2021,CE,375.0,0.0,0.0,0.0,91.0,0.0,89.65,0,0.0,0.0,0,0,-
35,SBIN,01-Oct-2021,30-Dec-2021,CE,380.0,0.0,0.0,0.0,87.2,0.0,85.85,0,0.0,0.0,0,0,-
36,SBIN,01-Oct-2021,30-Dec-2021,CE,385.0,0.0,0.0,0.0,83.5,0.0,82.1,0,0.0,0.0,0,0,-
37,SBIN,01-Oct-2021,30-Dec-2021,CE,355.0,0.0,0.0,0.0,107.15,0.0,105.75,0,0.0,0.0,0,0,-
38,SBIN,01-Oct-2021,30-Dec-2021,CE,360.0,0.0,0.0,0.0,103.0,0.0,101.6,0,0.0,0.0,0,0,-
39,SBIN,01-Oct-2021,30-Dec-2021,CE,365.0,0.0,0.0,0.0,98.95,0.0,97.55,0,0.0,0.0,0,0,-
40,SBIN,01-Oct-2021,30-Dec-2021,CE,370.0,0.0,0.0,0.0,94.95,0.0,93.55,0,0.0,0.0,0,0,-
41,SBIN,01-Oct-2021,30-Dec-2021,CE,340.0,0.0,0.0,0.0,120.05,0.0,118.65,0,0.0,0.0,0,0,-
42,SBIN,01-Oct-2021,30-Dec-2021,CE,345.0,0.0,0.0,0.0,115.7,0.0,114.25,0,0.0,0.0,0,0,-
43,SBIN,01-Oct-2021,30-Dec-2021,CE,350.0,0.0,0.0,0.0,111.4,0.0,110.0,0,0.0,0.0,0,0,-
44,SBIN,01-Oct-2021,30-Dec-2021,CE,325.0,0.0,0.0,0.0,133.5,0.0,132.05,0,0.0,0.0,0,0,-
45,SBIN,01-Oct-2021,30-Dec-2021,CE,330.0,0.0,0.0,0.0,128.95,0.0,127.55,0,0.0,0.0,0,0,-
46,SBIN,01-Oct-2021,30-Dec-2021,CE,335.0,0.0,0.0,0.0,124.45,0.0,123.05,0,0.0,0.0,0,0,-
47,SBIN,01-Oct-2021,30-Dec-2021,CE,310.0,0.0,0.0,0.0,147.35,0.0,145.95,0,0.0,0.0,0,0,-
48,SBIN,01-Oct-2021,30-Dec-2021,CE,315.0,0.0,0.0,0.0,142.7,0.0,141.3,0,0.0,0.0,0,0,-
49,SBIN,01-Oct-2021,30-Dec-2021,CE,320.0,0.0,0.0,0.0,138.05,0.0,136.65,0,0.0,0.0,0,0,-
50,SBIN,01-Oct-2021,30-Dec-2021,CE,295.0,0.0,0.0,0.0,161.6,0.0,160.2,0,0.0,0.0,0,0,-
51,SBIN,01-Oct-2021,30-Dec-2021,CE,300.0,0.0,0.0,0.0,156.85,0.0,155.4,0,0.0,0.0,0,0,-
52,SBIN,01-Oct-2021,30-Dec-2021,CE,305.0,0.0,0.0,0.0,152.1,0.0,150.7,0,0.0,0.0,0,0,-
53,SBIN,01-Oct-2021,30-Dec-2021,CE,275.0,0.0,0.0,0.0,180.95,0.0,179.55,0,0.0,0.0,0,0,-
54,SBIN,01-Oct-2021,30-Dec-2021,CE,280.0,0.0,0.0,0.0,176.1,0.0,174.7,0,0.0,0.0,0,0,-
55,SBIN,01-Oct-2021,30-Dec-2021,CE,285.0,0.0,0.0,0.0,171.25,0.0,169.85,0,0.0,0.0,0,0,-
56,SBIN,01-Oct-2021,30-Dec-2021,CE,555.0,0.0,0.0,0.0,11.95,0.0,11.4,0,0.0,0.0,0,0,-
57,SBIN,04-Oct-2021,30-Dec-2021,CE,550.0,0.0,0.0,0.0,12.8,0.0,14.5,0,0.0,0.0,0,0,-
58,SBIN,04-Oct-2021,30-Dec-2021,CE,285.0,0.0,0.0,0.0,171.25,0.0,181.1,0,0.0,0.0,0,0,-
59,SBIN,04-Oct-2021,30-Dec-2021,CE,530.0,0.0,0.0,0.0,16.7,0.0,18.9,0,0.0,0.0,0,0,-
60,SBIN,04-Oct-2021,30-Dec-2021,CE,535.0,0.0,0.0,0.0,15.65,0.0,17.7,0,0.0,0.0,0,0,-
61,SBIN,04-Oct-2021,30-Dec-2021,CE,540.0,0.0,0.0,0.0,14.65,0.0,16.6,0,0.0,0.0,0,0,-
62,SBIN,04-Oct-2021,30-Dec-2021,CE,545.0,0.0,0.0,0.0,13.7,0.0,15.5,0,0.0,0.0,0,0,-
63,SBIN,04-Oct-2021,30-Dec-2021,CE,515.0,0.0,0.0,0.0,20.25,0.0,22.85,0,0.0,0.0,0,0,-
64,SBIN,04-Oct-2021,30-Dec-2021,CE,520.0,0.0,0.0,0.0,19.0,0.0,21.45,0,0.0,0.0,0,0,-
65,SBIN,04-Oct-2021,30-Dec-2021,CE,525.0,0.0,0.0,0.0,17.85,0.0,20.1,0,0.0,0.0,0,0,-
66,SBIN,04-Oct-2021,30-Dec-2021,CE,500.0,0.0,0.0,0.0,24.45,0.0,27.5,0,0.0,0.0,0,0,-
67,SBIN,04-Oct-2021,30-Dec-2021,CE,505.0,0.0,0.0,0.0,22.95,0.0,25.9,0,0.0,0.0,0,0,-
68,SBIN,04-Oct-2021,30-Dec-2021,CE,510.0,0.0,0.0,0.0,21.55,0.0,24.3,0,0.0,0.0,0,0,-
69,SBIN,04-Oct-2021,30-Dec-2021,CE,485.0,0.0,0.0,0.0,29.35,0.0,32.9,0,0.0,0.0,0,0,-
70,SBIN,04-Oct-2021,30-Dec-2021,CE,490.0,0.0,0.0,0.0,27.6,0.0,31.05,0,0.0,0.0,0,0,-
71,SBIN,04-Oct-2021,30-Dec-2021,CE,495.0,0.0,0.0,0.0,26.0,0.0,29.25,0,0.0,0.0,0,0,-
72,SBIN,04-Oct-2021,30-Dec-2021,CE,470.0,0.0,0.0,0.0,35.0,0.0,39.15,0,0.0,0.0,0,0,-
73,SBIN,04-Oct-2021,30-Dec-2021,CE,475.0,0.0,0.0,0.0,33.0,0.0,36.95,0,0.0,0.0,0,0,-
74,SBIN,04-Oct-2021,30-Dec-2021,CE,480.0,0.0,0.0,0.0,31.15,0.0,34.9,0,0.0,0.0,0,0,-
75,SBIN,04-Oct-2021,30-Dec-2021,CE,450.0,0.0,0.0,0.0,43.8,0.0,48.75,0,0.0,0.0,0,0,-
76,SBIN,04-Oct-2021,30-Dec-2021,CE,455.0,0.0,0.0,0.0,41.45,0.0,46.2,0,0.0,0.0,0,0,-
77,SBIN,04-Oct-2021,30-Dec-2021,CE,460.0,40.0,40.0,40.0,40.0,40.0,43.75,1,7.5,0.6,1500,1500,-
78,SBIN,04-Oct-2021,30-Dec-2021,CE,465.0,0.0,0.0,0.0,37.05,0.0,41.4,0,0.0,0.0,0,0,-
79,SBIN,04-Oct-2021,30-Dec-2021,CE,435.0,0.0,0.0,0.0,51.45,0.0,57.05,0,0.0,0.0,0,0,-
80,SBIN,04-Oct-2021,30-Dec-2021,CE,440.0,0.0,0.0,0.0,48.8,0.0,54.2,0,0.0,0.0,0,0,-
81,SBIN,04-Oct-2021,30-Dec-2021,CE,445.0,0.0,0.0,0.0,46.25,0.0,51.4,0,0.0,0.0,0,0,-
82,SBIN,04-Oct-2021,30-Dec-2021,CE,420.0,0.0,0.0,0.0,60.0,0.0,66.2,0,0.0,0.0,0,0,-
83,SBIN,04-Oct-2021,30-Dec-2021,CE,425.0,0.0,0.0,0.0,57.05,0.0,63.05,0,0.0,0.0,0,0,-
84,SBIN,04-Oct-2021,30-Dec-2021,CE,430.0,0.0,0.0,0.0,54.2,0.0,60.0,0,0.0,0.0,0,0,-
85,SBIN,04-Oct-2021,30-Dec-2021,CE,405.0,0.0,0.0,0.0,69.45,0.0,76.3,0,0.0,0.0,0,0,-
86,SBIN,04-Oct-2021,30-Dec-2021,CE,410.0,0.0,0.0,0.0,66.2,0.0,72.85,0,0.0,0.0,0,0,-
87,SBIN,04-Oct-2021,30-Dec-2021,CE,415.0,0.0,0.0,0.0,63.05,0.0,69.5,0,0.0,0.0,0,0,-
88,SBIN,04-Oct-2021,30-Dec-2021,CE,390.0,0.0,0.0,0.0,79.85,0.0,87.25,0,0.0,0.0,0,0,-
89,SBIN,04-Oct-2021,30-Dec-2021,CE,395.0,0.0,0.0,0.0,76.3,0.0,83.55,0,0.0,0.0,0,0,-
90,SBIN,04-Oct-2021,30-Dec-2021,CE,400.0,0.0,0.0,0.0,72.85,0.0,79.9,0,0.0,0.0,0,0,-
91,SBIN,04-Oct-2021,30-Dec-2021,CE,370.0,0.0,0.0,0.0,94.95,0.0,103.1,0,0.0,0.0,0,0,-
92,SBIN,04-Oct-2021,30-Dec-2021,CE,375.0,0.0,0.0,0.0,91.0,0.0,99.0,0,0.0,0.0,0,0,-
93,SBIN,04-Oct-2021,30-Dec-2021,CE,380.0,0.0,0.0,0.0,87.2,0.0,95.0,0,0.0,0.0,0,0,-
94,SBIN,04-Oct-2021,30-Dec-2021,CE,385.0,0.0,0.0,0.0,83.5,0.0,91.1,0,0.0,0.0,0,0,-
95,SBIN,04-Oct-2021,30-Dec-2021,CE,355.0,0.0,0.0,0.0,107.15,0.0,115.8,0,0.0,0.0,0,0,-
96,SBIN,04-Oct-2021,30-Dec-2021,CE,360.0,0.0,0.0,0.0,103.0,0.0,111.5,0,0.0,0.0,0,0,-
97,SBIN,04-Oct-2021,30-Dec-2021,CE,365.0,0.0,0.0,0.0,98.95,0.0,107.25,0,0.0,0.0,0,0,-
98,SBIN,04-Oct-2021,30-Dec-2021,CE,340.0,0.0,0.0,0.0,120.05,0.0,129.05,0,0.0,0.0,0,0,-
99,SBIN,04-Oct-2021,30-Dec-2021,CE,345.0,0.0,0.0,0.0,115.7,0.0,124.55,0,0.0,0.0,0,0,-
