,index,Unnamed: 0,Symbol,INSTRUMENT,Expiry,Strike Price,Option Type,Open,High,Low,Close,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,Date,futures_price,time_diff,strike_distance,impliedvolatility,delta,theta,gamma,vega,sabrsigma
10,168,92231,BANKNIFTY,OPTIDX,2021-11-25,34700,PE,0.0,0.0,0.0,149.0,62.85,0,0.0,525,0,2021-11-01,40028.1,24.0,5328.0999999999985,40.45867919921875,-0.07654263933533595,-12.438157968566978,3.461988129855139e-05,14.756576198432688,31.56763238868936
11,170,92233,BANKNIFTY,OPTIDX,2021-11-25,34900,PE,0.0,0.0,0.0,51.05,74.25,0,0.0,175,0,2021-11-01,40028.1,24.0,5128.0999999999985,30.991554260253906,-0.038794283155552056,-5.570407032170567,2.642366922232047e-05,8.627496875401842,31.03125092942417
12,171,92234,BANKNIFTY,OPTIDX,2021-11-25,35000,PE,64.95,72.95,46.95,53.5,53.5,3496,30643.61,70275,2775,2021-11-01,40028.1,24.0,5028.0999999999985,30.731201171875,-0.040682116367585605,-5.741180861139508,2.7697148860534965e-05,8.967325416062891,30.763927639635416
13,172,92235,BANKNIFTY,OPTIDX,2021-11-25,35100,PE,42.05,78.2,42.05,52.2,52.2,32,281.33,775,125,2021-11-01,40028.1,24.0,4928.0999999999985,30.059814453125,-0.04066716649058554,-5.6140780050747106,2.830732033382384e-05,8.96465095164856,30.497209269593945
14,174,92237,BANKNIFTY,OPTIDX,2021-11-25,35300,PE,62.55,91.6,41.7,53.9,53.9,140,1238.04,1450,150,2021-11-01,40028.1,24.0,4728.0999999999985,29.1748046875,-0.042933292751514536,-5.693400674180753,3.0475352785822736e-05,9.367097236396063,29.96567853908373
15,175,92238,BANKNIFTY,OPTIDX,2021-11-25,35400,PE,62.5,109.05,51.15,58.9,58.9,98,869.2,1500,325,2021-11-01,40028.1,24.0,4628.0999999999985,29.15191650390625,-0.04637529540642097,-6.053514364221336,3.24538528302153e-05,9.967395778033632,29.700917072924288
16,176,92239,BANKNIFTY,OPTIDX,2021-11-25,35500,PE,80.0,109.25,59.45,65.35,65.35,2772,24654.34,62750,11650,2021-11-01,40028.1,24.0,4528.0999999999985,29.227256774902344,-0.05057704694395259,-6.505063966675796,3.469511803410641e-05,10.683283511867717,29.43686265366926
17,177,92240,BANKNIFTY,OPTIDX,2021-11-25,35600,PE,95.05,107.65,45.15,75.4,128.1,32,285.45,4975,-25,2021-11-01,40028.1,24.0,4428.0999999999985,29.571533203125,-0.05659902427049403,-7.1952408348854435,3.748785217636169e-05,11.679190175976533,29.173546784828357
18,178,92241,BANKNIFTY,OPTIDX,2021-11-25,35700,PE,76.25,110.6,37.6,67.1,67.1,59,527.78,850,-50,2021-11-01,40028.1,24.0,4328.0999999999985,28.28216552734375,-0.053249213998771305,-6.557589616538575,3.7351824714988964e-05,11.129427175211578,28.911003750150787
19,179,92242,BANKNIFTY,OPTIDX,2021-11-25,35800,PE,77.1,102.0,60.35,71.1,71.1,28,251.21,600,25,2021-11-01,40028.1,24.0,4228.0999999999985,28.076171875,-0.05630241042991017,-6.8031642206857414,3.932131901772e-05,11.630926183483323,28.64927083906808
20,180,92243,BANKNIFTY,OPTIDX,2021-11-25,35900,PE,86.0,109.45,69.7,75.2,75.2,21,188.96,800,-200,2021-11-01,40028.1,24.0,4128.0999999999985,27.862548828125,-0.05947857023519839,-7.049029392273103,4.136952593677332e-05,12.143663270589531,28.38838859138754
21,181,92244,BANKNIFTY,OPTIDX,2021-11-25,36000,PE,87.85,119.6,74.35,79.15,79.15,12725,114837.87,181850,38500,2021-11-01,40028.1,24.0,4028.0999999999985,27.616500854492188,-0.06262028723587416,-7.273625809004606,4.3451678948585166e-05,12.642225771894989,28.128401062814763
22,182,92245,BANKNIFTY,OPTIDX,2021-11-25,36100,PE,120.75,123.6,83.15,86.35,86.35,61,552.07,625,-525,2021-11-01,40028.1,24.0,3928.0999999999985,27.597427368164062,-0.06746301700897442,-7.701244591968967,4.606983180686167e-05,13.3947173945983,27.86935611297678
23,183,92246,BANKNIFTY,OPTIDX,2021-11-25,36200,PE,96.95,129.05,86.3,89.55,89.55,304,2759.89,3975,2600,2021-11-01,40028.1,24.0,3828.0999999999985,27.254104614257812,-0.07033245246643303,-7.853619099258394,4.817246888193707e-05,13.83181440373541,27.61130571770295
24,184,92247,BANKNIFTY,OPTIDX,2021-11-25,36300,PE,100.65,131.3,87.4,91.3,91.3,74,673.61,1050,-50,2021-11-01,40028.1,24.0,3728.0999999999985,26.79443359375,-0.07252287851783236,-7.905053903982529,5.0165896956391605e-05,14.161246815072412,27.354306307394765
25,185,92248,BANKNIFTY,OPTIDX,2021-11-25,36400,PE,36.05,140.2,36.0,90.15,90.15,214,1953.52,1925,1000,2021-11-01,40028.1,24.0,3628.0999999999985,26.134490966796875,-0.07334960460402698,-7.777543464774644,5.1880871602087005e-05,14.284651144859797,27.09841913337421
