,level_0,index,Symbol,Date,Expiry,Option Type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Premium Turnover in Lacs,Open Int,Change in OI,Underlying Value,futures_price,time_diff,impliedvolatility,alpha,rho,nu,Beta,sabrsigma
1743,986,2990,ICICIBANK,2021-11-15,2021-12-30,PE,440,0.0,0.0,0.0,0.7,0.0,0.0,0,0.0,0.0,0,0,-,779.05,0.1232876712328767,0.7342304922717396,1.56951261032576,-0.5263970212185086,2.700032312846169,0.8,0.9449987187966536
1776,1019,3102,ICICIBANK,2021-11-16,2021-12-30,PE,440,0.0,0.0,0.0,0.7,0.0,0.0,0,0.0,0.0,0,0,-,769.5,0.12054794520547946,0.7292575402010022,1.4003259448375478,-0.43988383654894386,3.1174687536493235,0.8,0.9566531505507611
1808,1051,3214,ICICIBANK,2021-11-17,2021-12-30,PE,440,0.0,0.0,0.0,0.7,0.0,0.0,0,0.0,0.0,0,0,-,766.55,0.1178082191780822,0.7334985163353719,1.3508445021225117,-0.4213059941001194,3.2837585479505043,0.8,0.9679431503045537
1128,371,1137,ICICIBANK,2021-10-20,2021-12-30,PE,440,0.0,0.0,0.0,0.7,0.0,0.1,0,0.0,0.0,0,0,745.85,754.9,0.19452054794520549,0.5577882829053865,1.8258882019733846,-1.74242409862157,0.39005726649904215,0.8,0.6484341038084163
1096,339,1043,ICICIBANK,2021-10-19,2021-12-30,PE,440,0.0,0.0,0.0,0.7,0.0,0.1,0,0.0,0.0,0,0,-,753.15,0.19726027397260273,0.5519338131096337,1.8178605323406265,-1.673204900422571,0.38060356327389233,0.8,0.6394706436726774
1234,477,1422,ICICIBANK,2021-10-25,2021-12-30,PE,440,0.0,0.0,0.0,0.7,0.0,0.05,0,0.0,0.0,0,0,841.7,848.85,0.18082191780821918,0.6806176029682031,2.520345703545044,-1.8301313358363989,0.3091980952995152,0.8,0.8396593139674626
1842,1085,3326,ICICIBANK,2021-11-18,2021-12-30,PE,440,0.0,0.0,0.0,0.7,0.0,0.0,0,0.0,0.0,0,0,-,767.7,0.11506849315068493,0.7438345171122662,1.1315039226339911,-0.3493964969812324,3.7383652045609086,0.8,0.980950909389847
2025,1268,3998,ICICIBANK,2021-11-30,2021-12-30,PE,440,0.0,0.0,0.0,0.7,0.0,0.0,0,0.0,0.0,0,0,-,715.85,0.0821917808219178,0.7877884802086756,0.9325711435565919,-0.26740114691315664,4.658555384658068,0.8,0.9663070484995128
1064,307,949,ICICIBANK,2021-10-18,2021-12-30,PE,440,0.0,0.0,0.0,0.7,0.0,0.1,0,0.0,0.0,0,0,-,751.75,0.2,0.546573036777984,1.803852327397941,-1.6157060470437514,0.3715676166130762,0.8,0.6296658599836525
917,160,513,ICICIBANK,2021-10-08,2021-12-30,PE,440,0.0,0.0,0.0,0.7,0.0,0.45,0,0.0,0.0,0,0,-,710.25,0.2273972602739726,0.4673088461267332,1.6584276013688042,0.05530349886899909,0.392356982694865,0.8,0.47652706239250897
2028,1271,4058,ICICIBANK,2021-12-01,2021-12-30,PE,440,0.0,0.0,0.0,0.7,0.0,0.0,0,0.0,0.0,0,0,727.7,729.45,0.07945205479452055,0.8267344010730459,0.7750327658007717,-0.2091801293479333,5.092787775844963,0.8,0.9953145338490373
946,189,599,ICICIBANK,2021-10-11,2021-12-30,PE,440,0.0,0.0,0.0,0.7,0.0,0.35,0,0.0,0.0,0,0,713.3,720.35,0.2191780821917808,0.4875382648097667,1.6911542824890355,-0.4733436387545718,0.2878683861089179,0.8,0.5128283551859101
862,105,341,ICICIBANK,2021-10-06,2021-12-30,PE,440,0.0,0.0,0.0,0.7,0.0,0.65,0,0.0,0.0,0,0,-,697.3,0.2328767123287671,0.44709773970093897,1.615696901667026,0.3907624325380071,1.0923355090135454,0.8,0.45973118710430116
973,216,685,ICICIBANK,2021-10-12,2021-12-30,PE,440,0.0,0.0,0.0,0.7,0.0,0.35,0,0.0,0.0,0,0,708.6,716.4,0.21643835616438356,0.4860954683173407,1.696774357596941,-0.2835990606045129,0.3034187406402745,0.8,0.5049107163105498
836,79,255,ICICIBANK,2021-10-05,2021-12-30,PE,440,0.0,0.0,0.0,0.7,0.0,0.6,0,0.0,0.0,0,0,-,705.65,0.2356164383561644,0.45394265384296584,1.6310603552868763,0.1956193106972016,0.5207999807134676,0.8,0.4613925850863086
889,132,427,ICICIBANK,2021-10-07,2021-12-30,PE,440,0.0,0.0,0.0,0.7,0.0,0.5,0,0.0,0.0,0,0,-,708.65,0.23013698630136986,0.4627139740905572,1.6423510246696462,0.12703174581780266,0.5144871163837831,0.8,0.4720180779661911
1002,245,771,ICICIBANK,2021-10-13,2021-12-30,PE,440,0.0,0.0,0.0,0.7,0.0,0.3,0,0.0,0.0,0,0,709.95,716.1,0.2136986301369863,0.48885478596528825,1.7081050390730548,-0.2696197945442695,0.303922928587227,0.8,0.5072404489066404
782,25,83,ICICIBANK,2021-10-01,2021-12-30,PE,440,0.0,0.0,0.0,0.7,0.0,0.8,0,0.0,0.0,0,0,-,700.6,0.2465753424657534,0.43817014930544285,1.6209920224275227,0.37867406872899984,0.7482176516277613,0.8,0.4418922644698683
809,52,169,ICICIBANK,2021-10-04,2021-12-30,PE,440,0.0,0.0,0.0,0.7,0.0,0.6,0,0.0,0.0,0,0,-,709.25,0.23835616438356164,0.4553318698373036,1.6313696626139533,0.05441204811605681,0.268559486250283,0.8,0.46348250273767727
1997,1240,3886,ICICIBANK,2021-11-29,2021-12-30,PE,440,0.0,0.0,0.0,0.7,0.0,0.0,0,0.0,0.0,0,0,-,720.9,0.08493150684931507,0.7842005709653873,0.894934743888122,-0.24958189508262676,4.654614751983723,0.8,0.9613487991718997
1032,275,857,ICICIBANK,2021-10-14,2021-12-30,PE,440,0.0,0.0,0.0,0.7,0.0,0.2,0,0.0,0.0,0,0,-,733.15,0.21095890410958903,0.5115512094005044,1.7307603575360497,-0.9842297455674816,0.3282661606911952,0.8,0.561073810511066
810,53,170,ICICIBANK,2021-10-04,2021-12-30,PE,450,0.0,0.0,0.0,0.95,0.0,0.8,0,0.0,0.0,0,0,-,709.25,0.23835616438356164,0.4563851742227869,1.6313696626139533,0.05441204811605681,0.268559486250283,0.8,0.4621014220537206
1777,1020,3103,ICICIBANK,2021-11-16,2021-12-30,PE,450,0.0,0.0,0.0,0.95,0.0,0.05,0,0.0,0.0,0,0,-,769.5,0.12054794520547946,0.7339923773957691,1.4003259448375478,-0.43988383654894386,3.1174687536493235,0.8,0.9350931345501655
783,26,84,ICICIBANK,2021-10-01,2021-12-30,PE,450,0.0,0.0,0.0,0.95,0.0,1.05,0,0.0,0.0,0,0,-,700.6,0.2465753424657534,0.438845091794661,1.6209920224275227,0.37867406872899984,0.7482176516277613,0.8,0.4399652917614436
1570,813,2431,ICICIBANK,2021-11-08,2021-12-30,PE,450,0.0,0.0,0.0,0.95,0.0,0.05,0,0.0,0.0,0,0,-,786.6,0.14246575342465753,0.6976599143623895,1.8580112510536646,-0.8028368064744372,1.6147027434005752,0.8,0.841986285010912
1605,848,2542,ICICIBANK,2021-11-09,2021-12-30,PE,450,0.0,0.0,0.0,0.95,0.0,0.05,0,0.0,0.0,0,0,-,790.8,0.13972602739726028,0.7099442299812097,1.848680020770034,-0.8018286266007951,1.7370703904920035,0.8,0.8645398841423375
