,Portfolio_STD,PNL_on_current_position_Closure,Cummulative_PNL,Portfolio_Max,Portfolio_Min
2011-06-01,0.05937184726599731,0.07970057520497338,0.0,0.10619837944182135,-0.07812081368880872
2011-07-01,0.05328860660577268,0.08702175568843981,0.07970057520497338,0.11429311894419354,-0.07812081368880872
2011-08-02,0.06535844398837433,0.2864854147922156,0.1667223308934132,0.2864854147922156,-0.07812081368880872
2011-09-02,0.08987201606144529,0.12765706848300193,0.4532077456856288,0.3583992843010674,-0.07812081368880872
2011-10-01,0.08354223607052438,0.2089149444849075,0.5808648141686308,0.3583992843010674,-0.07812081368880872
2011-11-01,0.09354332475879525,0.053040306945478816,0.7897797586535382,0.38753413514375573,-0.07812081368880872
2011-12-01,0.08966183461259256,0.17893413419587376,0.842820065599017,0.38753413514375573,-0.07812081368880872
2012-05-09,0.04363113868048295,0.04030808969174739,1.0217541997948907,0.04030808969174739,-0.021395658371972943
2012-06-01,0.033685851746241176,0.012823752643519041,1.062062289486638,0.1095114510577582,-0.021395658371972943
2012-07-02,0.03720557753293357,0.01342172692369395,1.0748860421301571,0.11517637880277463,-0.021395658371972943
2012-08-02,0.04924930151152526,0.10546692083659251,1.0883077690538512,0.11517637880277463,-0.04514973120576242
2012-09-01,0.05075925141025141,0.0028086013538496796,1.1937746898904438,0.1732741157785785,-0.04514973120576242
2012-10-01,0.04866065907382944,0.006222110001125984,1.1965832912442935,0.1732741157785785,-0.049515517901478644
2012-11-04,0.04704468564991331,0.022318073420327267,1.2028054012454195,0.1732741157785785,-0.0784681681252356
2012-12-01,0.04520154253831595,0.016091958820420003,1.2251234746657467,0.1732741157785785,-0.0784681681252356
2013-05-08,0.029921050160542983,0.018171403900996037,1.2412154334861667,0.018171403900996037,-0.04079796085984022
2013-06-02,0.05116545029230293,0.025344268344019136,1.2593868373871628,0.025344268344019136,-0.13607913321130163
2013-07-01,0.06491207053211401,0.10649330218816407,1.2847311057311819,0.10649330218816407,-0.13607913321130163
2013-08-01,0.05902860975756999,0.13820220676929815,1.3912244079193459,0.13820220676929815,-0.13607913321130163
2013-09-01,0.05759148617214544,0.15290102548475848,1.529426614688644,0.15290102548475848,-0.13607913321130163
2013-10-01,0.054844017526243335,0.13243430612571788,1.6823276401734024,0.15290102548475848,-0.13607913321130163
