,Portfolio_STD,PNL_on_current_position_Closure,Cummulative_PNL,Portfolio_Max,Portfolio_Min
2011-05-10,0.02969864936366868,0.043043685187101235,0.043043685187101235,0.04509623225703726,-0.007338888862492373
2011-06-13,0.099549517217234,0.1624558851902908,0.20549957037739203,0.1624558851902908,-0.12723977193349384
2011-07-10,0.09146973945385485,0.036927281899367795,0.2424268522767598,0.1624558851902908,-0.12723977193349384
2011-09-02,0.08007091787277543,0.05653694610505663,0.2989637983818164,0.1624558851902908,-0.18334698707714298
2011-10-06,0.07628252850462201,0.0012077344394911243,0.30017153282130754,0.1624558851902908,-0.18334698707714298
2011-12-01,0.06254813908831691,0.005109243786925034,0.30528077660823255,0.1624558851902908,-0.18334698707714298
2012-02-04,0.0584545628241641,0.03972815933469699,0.4674043308061495,0.12239539486321999,0.03972815933469699
2012-03-04,0.0448641693913784,0.0508462643101829,0.5182505951163324,0.12239539486321999,0.03972815933469699
2012-04-05,0.05011557462271036,0.0028673720913466767,0.5211179672076791,0.12239539486321999,-0.013436020461038856
2012-05-16,0.04250233012116125,0.0015687592465350939,0.5226867264542142,0.12239539486321999,-0.05685146841918449
2012-06-12,0.04110853797374372,0.010370746679478304,0.5330574731336926,0.12239539486321999,-0.05685146841918449
2012-08-02,0.038756208818974375,0.018185522450333565,0.5512429955840261,0.12239539486321999,-0.060802569585611026
2012-08-31,0.038276494896186994,0.0017658266966788768,0.553008822280705,0.12239539486321999,-0.060802569585611026
2012-09-28,0.03783370059296139,0.0031508647268261238,0.5561596870075312,0.12239539486321999,-0.060802569585611026
2012-10-30,0.03736119434853699,0.0001198459108633118,0.5562795329183945,0.12239539486321999,-0.060802569585611026
2012-11-29,0.036477379939408694,0.0030433768507205426,0.559322909769115,0.12239539486321999,-0.060802569585611026
2012-12-27,0.03605601227424006,0.0005522153775352818,0.5598751251466503,0.12239539486321999,-0.060802569585611026
2013-01-07,0.06358185826628342,0.027783094743346753,0.587658219889997,0.027783094743346753,-0.1118726142540593
2013-02-25,0.03533822758453966,0.011209848745803365,0.5988680686358003,0.027783094743346753,-0.1118726142540593
2013-04-01,0.041992106593941085,0.08498765489682308,0.6838557235326235,0.08498765489682308,-0.1118726142540593
2013-04-30,0.041854212919036446,0.01039390377348465,0.6942496273061082,0.08498765489682308,-0.1118726142540593
2013-05-30,0.040485140110400865,0.01454702969600537,0.7087966570021136,0.08498765489682308,-0.1118726142540593
2013-08-21,0.03250420402461872,0.00848671171944932,0.717283368721563,0.08498765489682308,-0.1118726142540593
2013-09-23,0.03248047917083736,0.005553381183612776,0.7228367499051758,0.08498765489682308,-0.1118726142540593
2013-10-23,0.032665511421585164,0.01510060444051273,0.7379373543456885,0.08498765489682308,-0.1118726142540593
2013-11-20,0.032553664069447444,0.007223823139581553,0.7451611774852701,0.08498765489682308,-0.1118726142540593
2013-12-19,0.032625794102218,0.01059727922708555,0.7557584567123556,0.08498765489682308,-0.1118726142540593
2013-12-23,0.032556590885605065,0.0010645075319350955,0.7568229642442907,0.08498765489682308,-0.1118726142540593
2013-12-25,0.03248073790785065,0.0007056463587342794,0.757528610603025,0.08498765489682308,-0.1118726142540593
2014-01-09,0.029014764956515088,0.020982406885385985,0.778511017488411,0.020982406885385985,-0.04775090912379093
2014-02-06,0.03345186959274226,0.033058506666535675,0.8115695241549467,0.033058506666535675,-0.04775090912379093
2014-03-06,0.03812807034300986,0.051445454537144795,0.8630149786920914,0.051445454537144795,-0.04775090912379093
2014-04-04,0.03481929412725464,0.0006596394626523124,0.8636746181547438,0.051445454537144795,-0.04775090912379093
2014-06-10,0.03445298167655205,0.020037536832219698,0.8837121549869634,0.051445454537144795,-0.09881411693712551
2014-07-10,0.03480090222640426,0.007846670660722513,0.891558825647686,0.051445454537144795,-0.09881411693712551
2014-08-09,0.034962166565291254,0.0041731769553002085,0.8957320026029861,0.051445454537144795,-0.09881411693712551
2014-09-09,0.036452241500799745,0.03731399851100366,0.9330460011139898,0.051445454537144795,-0.09881411693712551
2014-10-09,0.03786244616165579,0.040265043483908185,0.973311044597898,0.051445454537144795,-0.09881411693712551
2014-12-02,0.031856735249157636,0.022752219854237227,0.9960632644521352,0.051445454537144795,-0.09881411693712551
2014-12-05,0.032602767703650254,0.03303231609528293,1.0290955805474182,0.051445454537144795,-0.09881411693712551
2014-12-08,0.03334001780360545,0.0350966034102089,1.0641921839576272,0.051445454537144795,-0.09881411693712551
2015-01-13,0.06195462122499597,0.019706019702694505,1.0838982036603217,0.019706019702694505,-0.1637930329407144
2015-02-10,0.07530764985138154,0.029487415812807897,1.1133856194731298,0.029487415812807897,-0.1637930329407144
2015-04-09,0.045949898470239954,0.0205950946684434,1.1339807141415732,0.029487415812807897,-0.1637930329407144
2015-05-06,0.04816911716904296,0.025780103682494282,1.1597608178240675,0.029487415812807897,-0.1637930329407144
2015-06-05,0.053252618954707696,0.07249341054431996,1.2322542283683875,0.07249341054431996,-0.1637930329407144
