Dates,FX_DKK,FX_SEK,FX_CHF,FX_CAD,FX_AUD,FX_JPY,FX_GBP,FX_EUR,FX_NZD,PNL_FX_SEK,PNL_FX_AUD,PNL_FX_GBP,PNL_FX_DKK,PNL_FX_NZD,PNL_FX_EUR,Portfolio_PNL
2020-03-01,-0.0013377926421405117,-0.0037453183520600453,-0.0013601476731760487,-0.0015576323987538387,-0.006149006149006264,-0.0009846043680629135,-0.004716622289844041,-0.0009846043680629135,-0.005669949268874985,-0.007165835133830537,-0.0016769824722805676,0.0005385049505396148,0.0014192578913004782,0.006011290107569519,-4.850813255028271e-05,-0.01327805308409663
2020-06-01,0.002011169179694683,-0.0037453183520600453,0.003212281551456697,0.0011724768056142754,-0.007587855069869365,0.0022409130586907855,0.0020096637301818543,0.0022409130586907855,-0.004019289004769444,-0.007165835133830537,-0.0020693913204872295,-0.0002294467949984228,-0.002133639877443867,0.004261257215556617,0.00011040221962298495,-0.0047544528487864736
2020-07-01,-0.001994171274243839,-0.009384416096420822,0.0013722660565893552,-0.0018095016722801116,-0.017674310401281423,-0.0016887109477394802,-0.0014069333391371064,-0.0016887109477394802,-0.008813296495406076,-0.0179549966793154,-0.004820211272253336,0.00016063202046853205,0.0021156068798874666,0.009343872321528486,-8.3197086209581e-05,-0.02483594554591597
2020-08-01,-0.006015618995423355,-0.010329595680541814,-0.002411570171216959,-0.004540320918053786,-0.01825655203155807,-0.005992485716859841,-0.003616288816814972,-0.005992485716859841,-0.00821115890696722,-0.019763387965452177,-0.004979002625676165,0.00041287796875935564,0.006381941760907752,0.008705484999679228,-0.0002952295367437768,-0.03334973455602765
2020-09-01,-0.006015618995423355,-0.013167817061809584,-0.0017298405257163418,-0.00584427188949721,-0.019421713697739262,-0.005902436189619831,-0.005906889717784747,-0.005902436189619831,-0.012874916993321994,-0.025193694438676528,-0.0052967703501197085,0.0006743998479945726,0.006381941760907752,0.013650009459977347,-0.00029079310060238283,-0.040661585910865355
2020-10-01,-0.004669723975235018,-0.014116583665225058,-0.0010485753189036773,-0.005322010497670671,-0.013151664120602868,-0.004551814903828388,-0.006136475697734234,-0.004551814903828388,-0.010607686038061948,-0.0270089486898459,-0.003586776411849343,0.0007006120776750153,0.004954088095030225,0.011246287245433736,-0.00022425255042658038,-0.039766781777435804
2020-01-13,-0.003325637953729532,-0.011267580816222367,0.0008965715396841434,-0.00584399927491186,-0.012716944514748585,-0.0033828552778956134,-0.011877443242131136,-0.0033828552778956134,-0.010607686038061948,-0.021558014271804347,-0.003468217877070163,0.0013560683032459654,0.0035281535873055475,0.011246287245433736,-0.00016666185682420067,-0.03831322470569777
2020-01-14,-0.0039967788933267245,-0.010320611119252643,0.004293970103069866,-0.006235695318781875,-0.0130066316526396,-0.003921745164728652,-0.009567796618064506,-0.003921745164728652,-0.013020595101551735,-0.01974619800217106,-0.0035472225553736425,0.001092371940758963,0.004240163838142378,0.01380445764449605,-0.00019321114190601696,-0.03478152032512687
2020-01-15,-0.0019820038765369086,-0.010320611119252643,0.007679865430534227,-0.0046682971996594436,-0.0130066316526396,-0.0019447501970795145,-0.008108391133772264,-0.0019447501970795145,-0.01256708036232268,-0.01974619800217106,-0.0035472225553736425,0.0009257490844347985,0.0021026985451663835,0.013323640526690423,-9.581127546967544e-05,-0.03160211556697674
2020-01-16,-0.003322486450263451,-0.013158832500520412,0.007101384906045283,-0.0046682971996594436,-0.013586173814331914,-0.003110669479590822,-0.0048870381655257145,-0.003110669479590822,-0.009545019316689829,-0.025176504475395413,-0.003705277698522697,0.000557961626751048,0.0035248101721731843,0.010119646133335209,-0.00015325218161785453,-0.03548601286467371
2020-01-17,-0.007349332087847271,-0.016005132310767056,0.0038214312112738735,-0.00662447873330585,-0.016340595385801904,-0.0071512549155250404,-0.009780004526381947,-0.0071512549155250404,-0.013009918382673513,-0.030622267228903956,-0.0044564749789764106,0.0011166000858488633,0.007796871677194878,0.013793138168513033,-0.00035231818240418763,-0.049816883198833324
2020-01-20,-0.006675477640408101,-0.016005132310767056,0.0032407111183587745,-0.005187133901213947,-0.017212815185191244,-0.006880789715380864,-0.010240975638859062,-0.006880789715380864,-0.014068119440874494,-0.030622267228903956,-0.00469435038194513,0.0011692299575812653,0.007081982678713216,0.014915044776726004,-0.0003389932752593575,-0.05056002798358324
2020-01-21,-0.00802227898720953,-0.016956607096685228,0.0029501823560112994,-0.006883376072403857,-0.021286727596074417,-0.008052488678877756,-0.007166417606576214,-0.008052488678877756,-0.01573276835128623,-0.032442702986023544,-0.005805404679355687,0.0008182023324371718,0.008510797862211046,0.016679908455959583,-0.0003967189267737375,-0.05164008125716312
2020-01-22,-0.007347970153763761,-0.015051845191923374,0.0039188930021413215,-0.01185004709579951,-0.021432819634058298,-0.007059888065270137,-0.00011660917745737187,-0.007059888065270137,-0.016339104564716544,-0.02879836397510423,-0.005845247506164099,1.3313472116340177e-05,0.007795426807762526,0.017322747167350383,-0.00034781684620598834,-0.04043543075295926
2020-01-23,-0.010717242390960502,-0.01790355621853945,0.002757565217374025,-0.011193275783570322,-0.020994479482100425,-0.010485471766703447,-0.0015623556391831661,-0.010485471766703447,-0.012698880084206943,-0.03425447988974139,-0.005725701561028079,0.00017837685413462238,0.011369871800171776,0.013463374821791177,-0.000516583788178967,-0.05071732101964786
2020-01-24,-0.013421772478857785,-0.021716711604621408,-5.2240034055239803e-05,-0.012374688227781427,-0.02318521995237932,-0.013199175972944843,-0.005372460036043747,-0.013199175972944843,-0.014210138962852836,-0.04155010612704427,-0.006323169392568159,0.0006133830839529568,0.01423909498812876,0.015065614121717613,-0.0006502788311916202,-0.06458641310179099
2020-01-27,-0.013421772478857785,-0.027458338398879678,0.002085342554363212,-0.01631738766266122,-0.033577491615142785,-0.013743393660019643,-0.006596356616782595,-0.013743393660019643,-0.023140061771994458,-0.052535434246083444,-0.009157392843206411,0.0007531174801320857,0.01423909498812876,0.024533133864553608,-0.0006770905990012323,-0.08006777706429297
2020-01-28,-0.013421772478857785,-0.025533410583672755,-0.0015989700304729348,-0.013282686514752617,-0.03342958450081057,-0.013471136649401694,-0.008817387481452998,-0.013471136649401694,-0.02344549854658229,-0.04885251224274815,-0.009117055001244616,0.0010066964276135557,0.01423909498812876,0.0248569584658859,-0.0006636774154046759,-0.07773565410460789
2020-01-29,-0.014777704682247705,-0.026494025377140518,-0.001696284160484618,-0.01670283910617587,-0.03461266642923411,-0.014559868277055577,-0.009354691749184019,-0.014559868277055577,-0.026348034446368462,-0.0506904353750561,-0.009439710013967085,0.0010680413881252833,0.01567759705422658,0.027934232091071615,-0.0007173155464337117,-0.08099005315169705
2020-01-30,-0.012741044804447155,-0.028417102300217545,0.002196659878444862,-0.017362817986851797,-0.03935059950592934,-0.012561684807482543,-0.0038251625271581435,-0.012561684807482543,-0.03232321446781772,-0.054369816107234556,-0.010731858782714097,0.0004367254426814395,0.013516914215637686,0.03426912837507519,-0.0006188717940537314,-0.07876952526054902
2020-01-31,-0.00732099060390512,-0.027453711163415884,0.008498162544465115,-0.01947614515631424,-0.0438135569590683,-0.007032315699433189,0.004805403424113619,-0.007032315699433189,-0.03602235133588194,-0.052526581058358904,-0.011949015058392484,-0.0005486412466813757,0.0077668043308296705,0.038190959736707865,-0.0003464584488434265,-0.06469451105537335
2020-03-02,-0.010016408393662468,-0.03034110288622638,0.005897006475101052,-0.023182300020642366,-0.0438135569590683,-0.010007164703309535,-0.011172182521668517,-0.010007164703309535,-0.03633175727647597,-0.058050964063362055,-0.011949015058392484,0.0012755474631083053,0.010626360324757023,0.03851899245476518,-0.0004930192142410157,-0.08759036729812862
2020-04-02,-0.011367759745014028,-0.02358434612946958,0.0025163438652294756,-0.022518024744968113,-0.03679024554245136,-0.011453819314520941,-0.008401886253873392,-0.011453819314520941,-0.03199873344484494,-0.045123410139492434,-0.010033588425596216,0.0009592579315337046,0.012060002586577613,0.03392511302837751,-0.0005642910020893473,-0.07208517434844938
2020-05-02,-0.015427299663823169,-0.02358434612946958,-0.0019418844735960006,-0.02291632532914223,-0.03575151576058477,-0.015528429962836765,-0.010627348612863408,-0.015528429962836765,-0.03446406472373564,-0.045123410139492434,-0.009750301729272519,0.0012133428304106336,0.016366749300029806,0.03653886155167213,-0.0007650333101984943,-0.07766806475912345
2020-06-02,-0.016785995315997115,-0.027419437212882758,-0.0032074607975833835,-0.023049145092723045,-0.0381232916277654,-0.01698310766080935,-0.016088046966962866,-0.01698310766080935,-0.036935488881906675,-0.05246100546349115,-0.010397142285462683,0.0018368002362363857,0.017808183095881842,0.03915906975621037,-0.0008367003684403946,-0.09188054619955387
2020-07-02,-0.020187355860214806,-0.031269292843296714,-0.006229197808988118,-0.024908868790916583,-0.046592831003693935,-0.02035195041779747,-0.019104055009650955,-0.02035195041779747,-0.04591659758429134,-0.05982684947016195,-0.012706990208450633,0.00218114310747964,0.021416670421552163,0.04868085687236981,-0.0010026718756748596,-0.10698239458242308
2020-10-02,-0.023600325143491308,-0.031269292843296714,-0.005838114508244896,-0.025574293331773523,-0.04449482411024286,-0.02354946549179715,-0.0173200028843018,-0.02354946549179715,-0.0484165975842914,-0.05982684947016195,-0.012134813062781353,0.001977454780858725,0.02503747340362414,0.05133136123427321,-0.0011602026464820766,-0.10761110721285681
2020-11-02,-0.022915393636641967,-0.028370742118658976,-0.004372125454296771,-0.023177169879915693,-0.040457139049677626,-0.023091212352763124,-0.014455117092586955,-0.023091212352763124,-0.04497048229607081,-0.054281116192675775,-0.011033638838675027,0.0016503657992179967,0.02431083280516721,0.047677783793053034,-0.0011376260616822564,-0.09842142278977882
2020-12-02,-0.02702216981734029,-0.028370742118658976,-0.006714274375932305,-0.02052006877721868,-0.03703146136126534,-0.026938775562730166,-0.013837451867139028,-0.026938775562730166,-0.0354481594737166,-0.054281116192675775,-0.010099373804629089,0.0015798458887311905,0.02866769224560712,0.03758220052261241,-0.001327182509163654,-0.10104109631583376
2020-02-13,-0.02977131071081096,-0.032224306665865066,-0.00788809810673552,-0.021845098590389522,-0.039703273740662515,-0.0299735373799086,-0.007201649398003274,-0.0299735373799086,-0.04008709561102908,-0.061654056388177336,-0.01082804156343356,0.0008222248071943095,0.03158424282635496,0.042500408709227507,-0.001476694976568046,-0.10628773635425173
2020-02-14,-0.030460490586758704,-0.03802701459623259,-0.010924039738309244,-0.020650989528428587,-0.040447432097560965,-0.030895961510523984,-0.007124997550693846,-0.030895961510523984,-0.03993174373903896,-0.07275624969997249,-0.011030991518414739,0.0008134733327900492,0.032315390499509516,0.04233570438349165,-0.0015221396987801776,-0.11869347701215696
2020-02-17,-0.030460490586758704,-0.034135964012575015,-0.009352330504517559,-0.019325784121590583,-0.040447432097560965,-0.030434323619285886,-0.010114190468606066,-0.030434323619285886,-0.04024239922210837,-0.06531158829634336,-0.011030991518414739,0.0011547546747113064,0.032315390499509516,0.042665061868661515,-0.0014993963586683859,-0.11293200605983034
2020-02-18,-0.033908766448827676,-0.04382588649319519,-0.011804272442532682,-0.021310961464099942,-0.044617822326932455,-0.034494862563545725,-0.010882948156182848,-0.034494862563545725,-0.04801119971931156,-0.08385110361352065,-0.01216835764681849,0.0012425250737565885,0.0359736500641546,0.05090155771049906,-0.0016994454014339117,-0.13748504681594867
2020-02-19,-0.032524683403844956,-0.04382588649319519,-0.012689141187002151,-0.01826096809452038,-0.04626305116330698,-0.03329026656651091,-0.016883871375139803,-0.03329026656651091,-0.04801119971931156,-0.08385110361352065,-0.012617051281957645,0.001927660889735462,0.03450528290325897,0.05090155771049906,-0.0016400990241588807,-0.14224935664361685
2020-02-20,-0.034597938414211216,-0.046761307236835026,-0.012689141187002151,-0.021169482108269744,-0.05525181520825084,-0.03514126147627494,-0.019825047845727917,-0.03514126147627494,-0.05631060466763593,-0.08946737948651273,-0.015068504311204125,0.002263460110553439,0.03670478934502898,0.05970060131719343,-0.0017312912932012981,-0.15401649978405604
2020-02-21,-0.02905777220922512,-0.036947764547924256,-0.0066863858238847,-0.01865025643868612,-0.053437756251334845,-0.02939253639514372,-0.01345957664560371,-0.02939253639514372,-0.05378415590717489,-0.07069134434683946,-0.014573766625029695,0.0015367032190454755,0.03082725320238597,0.05702205593330252,-0.0014480710198855598,-0.12335597498008678
2020-02-24,-0.028369066975065138,-0.03889139914462014,-0.007664572266220526,-0.023676046678072438,-0.056757508778873644,-0.028747196669874242,-0.0165450440939221,-0.028747196669874242,-0.055201701977422246,-0.07441005762328796,-0.01547914330966537,0.001888976391147036,0.030096609074460774,0.05852494075025834,-0.0014162773107078096,-0.13003609143888784
2020-02-25,-0.025616141992271135,-0.03694397947568151,-0.004531310736797467,-0.0226126411217783,-0.05690890923307501,-0.026167502547891353,-0.010277634623170107,-0.026167502547891353,-0.05819854740328978,-0.07068410245146194,-0.015520433869771907,0.0011734153774262588,0.027176043971234375,0.06170220149954313,-0.0012891844920414441,-0.1182532470873141
2020-02-26,-0.026302483790486608,-0.0388876140723774,-0.005214570863688595,-0.026728960335694052,-0.0659943120192652,-0.026259397420157482,-0.01796698487307402,-0.026259397420157482,-0.06262822625157327,-0.07440281572791044,-0.017998242617533897,0.00205132183708114,0.02790418074113624,0.06639855474322567,-0.001293711842101191,-0.13045471883106474
2020-02-27,-0.015313472801475658,-0.031097935396622867,0.004162260548696617,-0.030995627002360693,-0.06217401862073202,-0.01523099929498506,-0.019361793086944634,-0.01523099929498506,-0.06040353214701255,-0.0594989950406063,-0.016956356349564453,0.002210569510959957,0.016245990919739873,0.06403993017201014,-0.0007503799055126563,-0.10493656451690074
2020-02-28,-0.012596081497127765,-0.02530083394734739,0.0070652990623407685,-0.032200768941300195,-0.07039444790981719,-0.012958478615046953,-0.024328038140098984,-0.012958478615046953,-0.07007532539261263,-0.048407528485633955,-0.01919826593598526,0.002777574325501704,0.0133631233280358,0.07429398224596624,-0.000638420485118685,-0.09812985577003966
2020-02-03,-0.00311098664617937,-0.01857653039307261,0.012854569614251243,-0.02630185487775294,-0.0670176251930098,-0.0031634486857889943,-0.029708994234616593,-0.0031634486857889943,-0.06767378840894323,-0.03554206655947744,-0.018277324832519294,0.0033919274191919467,0.003300431029621951,0.07174786854577106,-0.0001558524348903406,-0.07924469684743991
2020-03-03,0.0002447180518072578,-0.010942942606813166,0.01592440844771259,-0.03016697549617231,-0.05982778275764178,0.0003393355786263097,-0.02523980809693438,0.0003393355786263097,-0.06543772388250979,-0.020936891134037235,-0.01631648116926816,0.0028816726834657008,-0.00025962022456291114,0.0693771890334474,1.6717918141492673e-05,-0.05523627371500525
2020-04-03,-0.0030997635535439105,-0.01188991230378289,0.01573313071244098,-0.030568366986672646,-0.05329679855351055,-0.002972219062025272,-0.020478275039405802,-0.002972219062025272,-0.06177238523709139,-0.022748707403670517,-0.014535324056774568,0.002338040192655852,0.0032885245036881664,0.06549119060643366,-0.00014643119704297954,-0.054507805755258126
2020-05-03,0.006967350540415751,-0.007150575810891957,0.027307647643759148,-0.03244227944819045,-0.0552584705016016,0.006097464846020695,-0.014107858631699055,0.006097464846020695,-0.06113726297605615,-0.013681039248539395,-0.015070319370422906,0.0016107186982178686,-0.007391629258866185,0.06481783287714733,0.0003004015039597729,-0.03246422671421733
2020-06-03,0.010954061503871015,-0.0033769909052315805,0.03515634740735252,-0.03297868819165306,-0.05193219290861706,0.010280075863196125,-0.006851412746258334,0.010280075863196125,-0.053520633334672385,-0.006461122340114143,-0.014163163142863085,0.0007822376809766396,-0.011621112077791514,0.056742668842151366,0.0005064646255632051,-0.014025920766616002
2020-09-03,0.02617576898236207,-0.00713638940147221,0.0492302824795986,-0.05377568269051247,-0.05931615915334287,0.024991171219452712,-0.0015632459774047591,0.024991171219452712,-0.05556787742916047,-0.013653896703770933,-0.016176949056919736,0.000178478505594188,-0.027769749600083146,0.058913160603079974,0.0012312306195482584,-0.004426506600211206
2020-10-03,0.010530397404787006,-0.01657035166562315,0.03350119291631226,-0.05555699263844338,-0.07176492186778038,0.010231345891941857,-0.017268056528597975,0.010231345891941857,-0.06614070368764247,-0.03170368897483406,-0.0195720272805877,0.0019715239752970343,-0.011171648837416977,0.07012248944938106,0.0005040638644235566,-0.05279535623609381
2020-11-03,0.009205894093528677,-0.01657035166562315,0.035099237661564864,-0.05940050670845032,-0.0749932078016774,0.00925625503120242,-0.024316309955908055,0.00925625503120242,-0.06630019332081627,-0.03170368897483406,-0.02045245881626442,0.00277623529836331,-0.009766489534440667,0.07029158063674326,0.0004560244302553187,-0.06050279017449674
2020-12-03,0.0019114643853059832,-0.04037987547514699,0.029468078581321056,-0.06987315380780279,-0.11324120286645212,0.0017141077375023572,-0.043739086866984245,0.0017141077375023572,-0.0948533915980535,-0.07725792661132677,-0.030883610740525657,0.004993767438336065,-0.0020278635323069715,0.10056373126878654,8.4448300285132e-05,-0.1396917168667847
