gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,cusip,conm,curcd,at,bkvlps,csho,dltt,dpvieb,lt,sale,wcap,costat,mkvalt
1161,20141231,2014,INDL,C,D,STD,AMD,7903107,ADVANCED MICRO DEVICES,USD,3767,0.241,776,2035,1378,3580,5506,1296,A,2071.92
1161,20151231,2015,INDL,C,D,STD,AMD,7903107,ADVANCED MICRO DEVICES,USD,3109,-0.5202,792,2032,796,3521,3991,917,A,2273.04
1161,20161231,2016,INDL,C,D,STD,AMD,7903107,ADVANCED MICRO DEVICES,USD,3321,0.4449,935,1435,717,2905,4272,1184,A,10602.9
1161,20171231,2017,INDL,C,D,STD,AMD,7903107,ADVANCED MICRO DEVICES,USD,3540,0.6319,967,1325,740,2929,5329,1136,A,9940.76
1161,20181231,2018,INDL,C,D,STD,AMD,7903107,ADVANCED MICRO DEVICES,USD,4556,1.2597,1005,1114,707,3290,6475,1556,A,18552.3
1161,20191231,2019,INDL,C,D,STD,AMD,7903107,ADVANCED MICRO DEVICES,USD,6028,2.4162,1170,685,768,3201,6731,2238,A,53656.2
1209,20100930,2010,INDL,C,D,STD,APD,9158106,AIR PRODUCTS & CHEMICALS INC,USD,13505.9,25.944,213.803,3659.8,9258.4,7808.3,9026,789.7,A,17707.1645
1209,20110930,2011,INDL,C,D,STD,APD,9158106,AIR PRODUCTS & CHEMICALS INC,USD,14290.7,27.5748,210.185,3927.5,9815.1,8352,10082,847.8,A,16051.8285
1209,20120930,2012,INDL,C,D,STD,APD,9158106,AIR PRODUCTS & CHEMICALS INC,USD,16941.8,30.4844,212.476,4584.2,9805.6,9926,9611.7,725.9,A,17571.7652
1209,20130930,2013,INDL,C,D,STD,APD,9158106,AIR PRODUCTS & CHEMICALS INC,USD,17850.1,33.3466,211.179,5056.3,10555.9,10275.4,10180.4,211.5,A,22505.346
1209,20140930,2014,INDL,C,D,STD,APD,9158106,AIR PRODUCTS & CHEMICALS INC,USD,17779.1,34.4939,213.539,4824.5,10691.4,9970.5,10439,331.8,A,27798.507
1209,20150930,2015,INDL,C,D,STD,APD,9158106,AIR PRODUCTS & CHEMICALS INC,USD,17438.1,33.6601,215.359,3949.1,10717.7,10057,9894.9,-737.3,A,27475.5012
1209,20160930,2016,INDL,C,D,STD,APD,9158106,AIR PRODUCTS & CHEMICALS INC,USD,18055.3,32.5722,217.351,4918.1,11337.4,10841.9,9524.4,1034,A,32676.5493
1209,20170930,2017,INDL,C,D,STD,APD,9158106,AIR PRODUCTS & CHEMICALS INC,USD,18467.2,46.1937,218.346,3402.4,11107.6,8281.7,8187.6,3387.7,A,33018.2821
1209,20180930,2018,INDL,C,D,STD,APD,9158106,AIR PRODUCTS & CHEMICALS INC,USD,19178.3,49.4611,219.516,3351.7,11566.5,8002,8930.2,2743.9,A,36670.1478
1209,20190930,2019,INDL,C,D,STD,APD,9158106,AIR PRODUCTS & CHEMICALS INC,USD,18942.8,50.149,220.415,3227.4,11996.1,7554.5,8918.9,2797.4,A,48901.2719
1230,20101231,2010,INDL,C,D,STD,ALK,11659109,ALASKA AIR GROUP INC,USD,5016.6,30.7705,35.924,1313,1509.5,3911.2,3832.3,237.3,A,2036.5316
1230,20111231,2011,INDL,C,D,STD,ALK,11659109,ALASKA AIR GROUP INC,USD,5195,33.0712,35.475,1099,1665.1,4021.8,4317.8,85.9,A,2663.8178
