Date,Open,High,Low,Close,Volume
2020-01-01,509.07460531486464,510.02140856642376,499.30771996439336,501.30096435546875,522027.306164198
2020-01-02,501.2511535446254,501.2511535446254,493.57715034867095,497.3144836425781,1841965.770412508
2020-01-03,494.3245986273692,512.9614454591588,494.3245986273692,504.4403076171875,1471620.8783054538
2020-01-06,503.2942288448273,503.7925399624954,492.3812032020961,496.41754150390625,1196114.19225235
2020-01-07,501.2012929755685,502.29758346682775,488.6438473059987,491.6835632324219,1191967.239554797
2020-01-08,483.9098996752482,492.0323949810073,481.46819352066996,483.31195068359375,1150987.8003551897
2020-01-09,490.1387875041281,492.0822129667064,482.6143020336761,485.4546813964844,1266959.531500444
2020-01-10,487.3482560147968,495.17174637114414,482.36514501260046,490.48760986328125,2064829.5804498522
2020-01-13,494.12525833631474,516.1506447290226,490.53744286595906,512.2637939453125,2770148.097078851
2020-01-14,519.3398365169523,523.2266876712513,496.51722320926075,516.7984619140625,8884320.906277452
2020-01-15,517.7452203074124,524.2232644498536,489.3414882982473,490.6370849609375,3805495.2942494447
2020-01-16,493.8262957560846,496.3178512341678,472.1995820405245,474.24267578125,3398549.65080466
2020-01-17,475.3887858876567,483.2620951265867,473.5450287483799,479.3752746582031,2629655.469608457
2020-01-20,480.3718922323838,484.90651099948474,476.73422734713307,482.066162109375,1036940.5955147597
2020-01-21,479.37529291754066,482.2654913033749,474.39218176455165,475.1396484375,1258107.5973469971
2020-01-22,478.17932319151464,485.8533263582537,471.90061544745254,473.89385986328125,2620559.705834297
2020-01-23,475.189448215211,478.6776258815984,472.39891824789925,473.4952087402344,1269381.7297975295
2020-01-24,474.8904772680621,483.2620976469714,468.7114074756909,480.222412109375,1330360.6952374845
2020-01-27,476.78407004308895,482.7638034393179,472.29926999591726,472.9969177246094,946790.0364204183
2020-01-28,473.3955480245561,475.3887924372911,458.44621492904383,460.7384338378906,1208941.5550868532
2020-01-29,463.4293221607135,464.4259443589086,443.74603374636064,449.6260986328125,2280755.941535895
2020-01-30,449.47662097001694,449.5762892748608,433.5306654588855,436.2215576171875,1809336.5417870076
2020-01-31,444.49351412533207,458.19706977381486,444.49351412533207,448.8288269042969,2771671.070216383
2020-02-03,438.2148082930484,440.5070272645994,431.3879399097814,436.5205383300781,1276532.82966183
2020-02-04,438.51378068335544,440.8558490039954,431.5374250815748,436.4208679199219,2481097.579885696
2020-02-05,438.01547149443553,438.41411430481895,426.05600469595265,427.7502746582031,2497448.7996228165
2020-02-06,430.29164732942326,434.7764473594925,419.57795836870224,424.012939453125,3514310.5365517456
2020-02-07,426.65396098030493,446.3372490186693,424.01291828843614,441.20465087890625,5377919.649078942
2020-02-10,443.19791290071544,459.64217951219763,435.6733968994909,455.90484619140625,4567759.893138204
2020-02-11,461.43608211420786,466.86768531137227,451.46986003830705,457.8482360839844,2674952.434028554
2020-02-12,463.4293297838189,479.5746218259569,459.44284092546343,468.2131042480469,4156200.7542735636
2020-02-13,453.46308834523495,455.1573582037514,443.5965349234794,450.5230407714844,2425010.2671263106
2020-02-14,452.7654511464141,461.93438750871763,447.0847228820593,451.0213623046875,1580355.131033026
2020-02-17,451.37019513971666,455.00786014196325,431.1387763388137,432.4842224121094,1059678.3655731378
2020-02-18,433.1818420243208,436.1717086855923,418.78066918789426,420.92340087890625,2744571.5577531005
2020-02-19,424.5610474038985,425.9064934257535,407.61847039482274,413.49853515625,3258014.9979800023
2020-02-20,416.5382578141363,432.5340318492133,408.71476751460966,414.5450134277344,5042259.779365305
2020-02-24,413.29922738001983,423.0661125113025,404.8777578509226,406.8710021972656,2229473.776335138
2020-02-25,417.584707058824,424.51124360185116,400.6421294454588,402.53570556640625,3512632.9274155456
2020-02-26,413.59822799813134,421.57120588725195,389.97826883581274,392.7688293457031,7247573.592151714
2020-02-27,393.66575927629566,404.62860320550897,385.9917563600483,397.4529113769531,12933372.66456686
2020-02-28,383.8988902966554,387.4368870025197,368.7502204268355,382.2046203613281,12533165.308078732
2020-03-02,394.4630524636267,405.47574596284244,383.6995449275609,392.7189636230469,6552875.337589165
2020-03-03,396.6556369882195,409.3127511383153,393.8651069842515,399.4461669921875,4558065.216790796
2020-03-04,400.1438063530068,408.51542660476593,395.2603637406886,399.0475158691406,4461203.129119947
2020-03-05,404.2299810645434,423.4647778660665,401.7384254988281,421.7705383300781,4750601.456725721
2020-03-06,393.66575805368205,407.5188001655835,386.83889009061164,402.4858703613281,6082201.6292143315
2020-03-09,393.06778723115013,400.6421219884579,366.8566356947185,373.0356750488281,5367975.981471957
2020-03-11,375.1784442187486,387.68604082507,370.7434632054654,374.8296203613281,3546250.47905799
2020-03-12,361.32538373814907,361.47490140690206,326.14463056010754,333.8186340332031,6109714.100851217
2020-03-13,300.4816062523257,361.57453757995165,270.0846278420573,326.443603515625,9594084.486419996
2020-03-16,321.36083190282454,321.8092936320517,267.4933851945639,273.6724548339844,8182813.125762695
2020-03-17,282.2434103759701,291.5618033228527,251.34810793526455,256.8793640136719,6717039.023843759
2020-03-18,259.12176962790994,264.1048805822928,185.07273780433073,223.6420135498047,27028308.466930296
2020-03-19,201.31769247280707,212.23070295896744,194.39117094650425,200.07191467285156,14080347.033497248
2020-03-20,203.06176941796153,239.039836241908,203.06176941796153,230.8177032470703,19198366.603788532
2020-03-23,207.74590306879705,219.25689299234486,169.42578094863012,173.06344604492188,11458297.3685015
2020-03-24,190.35484448305013,190.35484448305013,156.51952307319323,160.50601196289062,11539880.148390967
2020-03-25,162.44941250457518,164.44265682978468,151.68589010699435,154.22727966308594,16413495.117594872
2020-03-26,160.25685091826273,223.59219402545529,157.46630574960497,214.8717498779297,20317277.939366568
2020-03-27,236.34895242450685,268.58968719268796,229.27294381576453,248.7070770263672,24872759.811910868
2020-03-30,224.28982473764827,248.0592546155407,211.43338948630142,215.51954650878906,18982106.13037442
2020-03-31,224.23998873657973,228.22647742523006,197.82950117427146,203.061767578125,12646367.251343869
2020-04-01,205.20451335291526,206.99843642828662,190.35484804390774,194.24166870117188,9353389.494914854
2020-04-03,195.53727705822374,196.38441203044374,179.39200009144346,180.936767578125,9177956.091468604
