19980601 00:00,1173800,1183100,1146300,1154400,3534500
19980602 00:00,1171900,1176900,1148100,1155600,3792900
19980603 00:00,1160000,1172500,1138800,1139400,2885100
19980604 00:00,1142500,1161900,1142500,1160000,3003600
19980605 00:00,1167500,1190000,1165000,1189400,4120400
19980608 00:00,1187500,1200000,1183800,1188800,1837500
19980609 00:00,1190000,1195600,1178100,1191300,1811600
19980610 00:00,1187500,1196300,1168800,1173800,3173100
19980611 00:00,1175000,1180600,1157500,1157500,2627400
19980612 00:00,1158800,1168100,1140000,1160000,4044600
19980615 00:00,1146300,1154400,1121300,1123100,4087600
19980616 00:00,1118800,1118800,1071300,1100600,8878900
19980617 00:00,1110000,1121900,1100600,1107500,5616400
19980618 00:00,1090000,1091300,1076300,1088100,4214800
19980619 00:00,1087500,1092500,1060600,1066900,3905200
19980622 00:00,1062500,1095000,1061900,1081900,4113100
19980623 00:00,1100000,1123100,1099400,1117500,3954900
19980624 00:00,1118800,1120600,1100600,1118800,2907500
19980625 00:00,1125000,1146900,1120000,1125600,3096100
19980626 00:00,1123800,1134400,1123100,1130000,1592100
19980629 00:00,1141300,1148100,1135600,1140000,2067700
19980630 00:00,1141300,1163100,1135000,1150000,3418500
19980701 00:00,1160000,1168800,1155000,1165000,2965400
19980702 00:00,1165600,1166300,1145000,1151300,3081200
19980706 00:00,1150000,1150600,1133100,1137500,3126600
19980707 00:00,1136300,1145000,1127500,1136900,2327200
19980708 00:00,1137500,1155600,1136300,1150000,2162800
19980709 00:00,1147500,1185000,1146300,1171300,3130500
19980710 00:00,1182500,1192500,1171300,1185000,3062500
19980713 00:00,1185000,1200000,1182500,1195600,2273900
19980714 00:00,1197500,1206300,1190000,1193100,2184600
19980715 00:00,1192500,1200000,1170000,1170000,2473800
19980716 00:00,1171300,1189400,1160000,1178100,1944500
19980717 00:00,1185600,1203800,1185000,1202500,3096600
19980720 00:00,1210000,1226900,1203100,1216300,4421300
19980721 00:00,1282500,1310000,1278800,1278800,12047300
19980722 00:00,1260000,1284400,1245000,1274400,5915700
19980723 00:00,1271900,1290000,1236900,1237500,4040000
19980724 00:00,1258800,1259400,1225000,1245000,2915000
19980727 00:00,1237500,1257500,1222500,1255000,3595100
19980728 00:00,1262500,1269400,1241300,1255600,4181800
19980729 00:00,1279400,1284400,1261300,1278800,3993600
19980730 00:00,1286300,1337500,1284400,1333100,5402700
19980731 00:00,1332500,1381300,1322500,1330000,6430900
19980803 00:00,1340000,1348800,1323100,1323800,4024700
19980804 00:00,1340000,1342500,1268100,1271300,6627500
19980805 00:00,1270000,1292500,1240000,1284400,6660500
19980806 00:00,1278100,1309400,1273800,1297500,3996200
19980807 00:00,1317500,1342500,1293800,1293800,5734800
19980810 00:00,1288800,1301300,1287500,1298800,2934400
19980811 00:00,1261300,1285000,1252500,1283100,4987800
19980812 00:00,1287500,1295600,1275600,1279400,3554800
19980813 00:00,1275600,1283800,1260000,1261900,2955100
19980814 00:00,1266300,1273800,1240000,1255000,3095800
19980817 00:00,1251300,1260000,1242500,1255000,2876500
19980818 00:00,1270000,1295000,1270000,1288100,3691300
19980819 00:00,1295000,1310000,1290600,1298800,3540200
19980820 00:00,1295000,1300600,1275000,1280000,2973900
19980821 00:00,1275000,1280000,1245000,1278100,4055400
19980824 00:00,1280000,1286900,1273100,1286300,2918500
19980825 00:00,1291300,1308800,1276300,1283800,2638900
19980826 00:00,1272500,1317500,1270000,1307500,4404500
19980827 00:00,1287500,1287500,1150000,1251300,7295900
19980828 00:00,1252500,1330000,1208100,1223100,5647200
19980831 00:00,1230000,1281300,1126300,1126900,7145400
19980901 00:00,1130000,1189400,1107500,1180000,8036700
19980902 00:00,1210000,1237500,1195000,1204400,5445800
19980903 00:00,1187500,1226900,1180600,1215000,4725600
19980904 00:00,1225000,1228800,1153100,1191300,4042200
19980908 00:00,1249400,1258100,1221900,1256900,4554700
19980909 00:00,1257500,1274400,1238100,1238100,4902600
19980910 00:00,1221300,1221900,1181900,1210600,5515800
19980911 00:00,1213800,1263800,1206300,1262500,4899000
19980914 00:00,1280000,1299400,1276300,1290600,4710000
19980915 00:00,1290000,1306900,1285000,1300000,3153200
19980916 00:00,1300000,1309400,1281900,1302500,3239800
19980917 00:00,1275000,1282500,1261900,1265600,4340800
19980918 00:00,1267500,1272500,1242500,1243800,4277700
19980921 00:00,1201300,1282500,1200000,1280000,4200600
19980922 00:00,1293800,1306300,1251300,1278100,4240100
19980923 00:00,1287500,1330000,1285000,1320600,4304700
19980924 00:00,1315600,1349400,1302500,1308800,4086100
19980925 00:00,1300000,1336900,1298100,1335600,3590500
19980928 00:00,1345000,1361900,1321900,1335600,3963800
19980929 00:00,1337500,1341300,1300000,1316300,3518400
19980930 00:00,1307500,1315000,1276300,1281300,3982100
19981001 00:00,1250600,1264400,1230000,1250600,6025800
19981002 00:00,1241300,1252500,1189400,1247500,7215300
19981005 00:00,1237500,1237500,1173100,1202500,6633200
19981006 00:00,1240000,1240000,1187500,1193800,7145400
19981007 00:00,1195000,1228800,1181300,1206300,6488100
19981008 00:00,1207500,1235000,1168100,1233800,9113400
19981009 00:00,1244400,1279400,1225000,1271900,5743800
19981012 00:00,1301300,1328800,1295600,1310000,5394100
19981013 00:00,1305000,1305000,1265600,1281900,4540300
19981014 00:00,1277500,1320000,1271900,1305000,4798700
19981015 00:00,1300000,1387500,1297500,1365000,6454200
19981016 00:00,1370000,1375000,1348100,1355600,4817700
19981019 00:00,1350000,1396900,1350000,1395600,4301600
19981020 00:00,1406300,1424400,1365000,1379400,5581100
19981021 00:00,1401300,1436900,1390000,1427500,8456900
19981022 00:00,1400000,1436900,1396300,1418800,4706800
19981023 00:00,1415000,1434400,1411900,1415000,3096800
19981026 00:00,1413100,1444400,1325000,1431300,3638100
19981027 00:00,1450000,1468100,1430600,1440600,5610000
19981028 00:00,1446300,1468800,1438100,1461300,3586700
19981029 00:00,1480000,1495000,1470000,1485600,5004300
19981030 00:00,1495000,1498100,1475000,1485000,3831500
19981102 00:00,1484400,1496900,1473100,1483800,3388000
19981103 00:00,1485000,1499400,1471900,1472500,3333800
19981104 00:00,1488800,1497500,1457500,1476900,4023500
19981105 00:00,1476900,1495600,1468100,1491900,3242800
