20140826 00:00,5920000,5920500,5874500,5881200,1415027
20140827 00:00,5888100,5891100,5809000,5830000,1352546
20140828 00:00,5800200,5847500,5777400,5803200,1396431
20140829 00:00,5823500,5829400,5782100,5823600,1133155
20140902 00:00,5829500,5893000,5824000,5886300,1502483
20140903 00:00,5918700,5945000,5864600,5895200,1562211
20140904 00:00,5916000,5980000,5906000,5931400,1608404
20140905 00:00,5949900,5984900,5935500,5977800,1737235
20140908 00:00,5991400,6035000,5980600,6016300,1573035
20140909 00:00,6000000,6008200,5904700,5919700,1552682
20140910 00:00,5917400,5937200,5871500,5934200,1133180
20140911 00:00,5900000,5918000,5860400,5911100,1473827
20140912 00:00,5903900,5914800,5832800,5849000,1787804
20140915 00:00,5822400,5839200,5770000,5816400,1520671
20140916 00:00,5810700,5901500,5805100,5887800,1552412
20140917 00:00,5895100,5960600,5871900,5932900,1695788
20140918 00:00,5950500,5975600,5932300,5972700,1469106
20140919 00:00,5998100,6055000,5976900,6054000,3668591
20140922 00:00,6023300,6037900,5931300,5972700,1738549
20140923 00:00,5950000,5966500,5902300,5911800,1385070
20140924 00:00,5915700,6001100,5902500,5984200,1707147
20140925 00:00,5969900,5982300,5847400,5852500,1646952
20140926 00:00,5859300,5895100,5849500,5879000,1161720
20140929 00:00,5821500,5893400,5814200,5878100,1110808
20140930 00:00,5874900,5910000,5844900,5884100,1456096
20141001 00:00,5872000,5888200,5780300,5796300,1401911
20141002 00:00,5780000,5832600,5740500,5808800,1511528
20141003 00:00,5841000,5882900,5835600,5862500,1185029
20141006 00:00,5895400,5924000,5853300,5877800,1276162
20141007 00:00,5850200,5858500,5740500,5741000,1510663
20141008 00:00,5747900,5846900,5676500,5837400,2175104
20141009 00:00,5822500,5825300,5690300,5708100,2329526
20141010 00:00,5674700,5753000,5550100,5551900,2937994
20141013 00:00,5547600,5608900,5443000,5447500,2683568
20141014 00:00,5502200,5586100,5444600,5486900,2561634
20141015 00:00,5422700,5439000,5283000,5407300,3733966
20141016 00:00,5290000,5409900,5248300,5369200,2514976
20141017 00:00,5395200,5434500,5185500,5229700,5725637
20141020 00:00,5204500,5331600,5191300,5323800,2690124
20141021 00:00,5382500,5387700,5302000,5380300,2408879
20141022 00:00,5407300,5507500,5401900,5426900,2944789
20141023 00:00,5482800,5574000,5455000,5536500,2064706
20141024 00:00,5549800,5550500,5451600,5489000,2147965
20141027 00:00,5477600,5539300,5471400,5498800,1511343
20141028 00:00,5517100,5592200,5503800,5589400,1607792
20141029 00:00,5610500,5649700,5560000,5584500,2022620
20141030 00:00,5570100,5625000,5521300,5602700,1506622
20141031 00:00,5680000,5687300,5648100,5678700,2136658
20141103 00:00,5652600,5670000,5617200,5637700,1450462
20141104 00:00,5609600,5646900,5585700,5641900,1361657
20141105 00:00,5667900,5669900,5541400,5559500,1617975
20141106 00:00,5555000,5567400,5505800,5516900,1607894
20141107 00:00,5554600,5556000,5493500,5518200,1545840
20141110 00:00,5524000,5606300,5516400,5582300,1275911
20141111 00:00,5585200,5624900,5563200,5612900,1068837
20141112 00:00,5610100,5614000,5555000,5582500,1013528
20141113 00:00,5608100,5608100,5540900,5564400,1485512
20141114 00:00,5580000,5580000,5525000,5551900,1403271
20141117 00:00,5551900,5551900,5444400,5466400,1649022
20141118 00:00,5480000,5527900,5438000,5445100,1799028
20141119 00:00,5447500,5480800,5391800,5472000,1472496
20141120 00:00,5420000,5453800,5415000,5437600,1681096
20141121 00:00,5510400,5510400,5450000,5458900,2466693
20141124 00:00,5465700,5511900,5441500,5474800,1637645
20141125 00:00,5474000,5525000,5469000,5492300,1843803
20141126 00:00,5492300,5498000,5452300,5477300,1434463
20141128 00:00,5465100,5495900,5445200,5490800,1176859
20141201 00:00,5450900,5487500,5386200,5396500,1970495
20141202 00:00,5394500,5418000,5347000,5385900,2046316
20141203 00:00,5375000,5414900,5352100,5369700,1597419
20141204 00:00,5376400,5427300,5348900,5425800,1619143
20141205 00:00,5362800,5382600,5272500,5280800,2991465
20141208 00:00,5294700,5338300,5270200,5307300,3195717
20141209 00:00,5262900,5366600,5234100,5361100,2135561
20141210 00:00,5359000,5393700,5274900,5280400,2266472
20141211 00:00,5298600,5370400,5291600,5321100,2238728
20141212 00:00,5279600,5321100,5214600,5215100,2328699
20141215 00:00,5237600,5253700,5153900,5158400,2601454
20141216 00:00,5136000,5155800,4971900,4981600,4303997
20141217 00:00,5000000,5090700,4990000,5064500,3594038
20141218 00:00,5159900,5161100,5065000,5146200,3573208
20141219 00:00,5131200,5208300,5089200,5200400,4306193
20141222 00:00,5206100,5329700,5204500,5323000,3282759
20141223 00:00,5350000,5422900,5338000,5387700,2796276
20141224 00:00,5388200,5402900,5352000,5369300,717383
20141226 00:00,5369300,5432500,5354900,5415200,1100259
20141229 00:00,5405000,5439000,5371500,5373100,2195214
20141230 00:00,5349600,5378500,5336000,5352800,1017116
20141231 00:00,5377400,5384000,5302000,5306600,1187542
20150102 00:00,5322800,5358000,5278800,5295500,1293385
20150105 00:00,5271500,5279800,5176800,5194600,1927617
20150106 00:00,5205000,5212100,5054700,5066400,2701458
20150107 00:00,5109500,5114900,5036800,5051500,2320705
20150108 00:00,5010000,5075000,4950200,5069100,3581931
20150109 00:00,5081800,5086000,4986600,5007200,2056092
20150112 00:00,4994000,5003500,4909500,4970600,2780683
20150113 00:00,5025700,5086000,4972500,5018000,3005578
20150114 00:00,5000000,5082700,4981600,5059300,2539466
20150115 00:00,5088900,5100900,5020100,5040100,2500465
20150116 00:00,5031500,5108600,5030500,5104600,2442562
20150120 00:00,5139500,5155900,5093500,5099400,2306889
20150121 00:00,5108200,5218400,5096700,5203900,2211079
20150122 00:00,5230000,5388000,5219000,5373000,2757574
20150123 00:00,5386000,5452000,5357600,5419500,2228258
20150126 00:00,5415000,5415000,5321200,5367200,1536300
20150127 00:00,5314000,5327500,5209300,5211900,1897944
20150128 00:00,5250000,5256900,5123500,5124300,1746412
20150129 00:00,5129000,5151900,5034800,5132300,3101001
20150130 00:00,5191700,5431000,5181800,5375500,5793892
20150202 00:00,5343200,5365000,5217200,5322000,3700344
20150203 00:00,5299400,5373700,5267300,5333000,2305066
20150204 00:00,5331400,5365600,5250100,5261000,1655296
20150205 00:00,5279300,5306000,5256500,5298300,1646130
20150206 00:00,5310100,5402400,5286000,5338800,2124482
20150209 00:00,5316000,5339000,5275500,5292800,1499831
20150210 00:00,5321500,5410000,5291700,5401600,2322579
20150211 00:00,5397300,5420000,5360200,5380000,1885440
20150212 00:00,5400100,5483400,5368900,5460100,2395523
20150213 00:00,5475100,5525300,5465000,5511600,2247381
