Symbol,TrdSymbol,SymbolName,OptionType,InstType,StrikePrice,ExpiryDate,LotSize,Exchange,SpotSymbol,SpotTrdSymbol,SpotExchange
9685506,NIFTY23MARFUT,NIFTY,XX,FUT,0,29-03-2023,50,NFO,256265,NIFTY 50,NSE
9685250,BANKNIFTY23MARFUT,BANKNIFTY,XX,FUT,0,29-03-2023,25,NFO,260105,NIFTY BANK,NSE
