Symbol,TrdSymbol,SymbolName,Entry Order Qty,Entry Order Price,Entry Modified Price,Entry Filled Qty,Entry Balance Qty,Entry Avg Price,Entry OrderID,Entry Executing,Entry Signal,Exit Order Qty,Exit Order Price,Exit Modified Price,Exit Filled Qty,Exit Balance Qty,Exit Avg Price,Exit OrderID,Exit Executing,Exit Reason
9685506,NIFTY23MARFUT,NIFTY 50,-50,17449.5,0,-50,0,17449.5,gfgfgfg,0,-1,50,17029.2,0,0,50,0,230316202920040,False,TG
9685250,BANKNIFTY23MARFUT,NIFTY BANK,0,0.0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,
