TICKER,bm,roe,cash_ratio,ptb,pcf,curr_ratio,divyield,quarterly_return,Z_score,Sectors,Z_score_normalize
FB,-0.9266559977729564,-0.05848934963238254,5.844936627901957,0.08171281944269225,1.1260915180028177,5.84392052197422,0.0,1.8618852212737171,13.773401361190064,Communication Services,4.3937160784229015
GOOG,-0.7939410746374159,0.11457832152882733,3.95289168343605,0.0764599396853145,0.9787914085329025,3.9307545301631173,0.0,1.047347784008276,9.306882592717072,Communication Services,2.968896252659702
NVDA,-0.47780864364082637,0.11564511118633536,1.5270024054300977,0.3352300220525772,2.1448896159055035,1.6537908528563652,-1.1301759330309171,2.6477268327968004,9.07665212961777,Technology,2.895452717476556
MA,-1.1425633131300257,0.8870630425970256,0.1311087508665408,2.2235384091387025,1.384835394697444,-0.03823919261241592,-1.7301389694555842,2.22941183878542,7.405293899798275,Financial Services,2.362289315453408
ADBE,-0.815909233277761,0.10381983103135801,0.9720959536358811,0.583068736453113,1.047578942771711,0.6815412710787142,-2.0053887140997575,0.5076094132652869,5.085193629058061,Technology,1.6221771531934515
NFLX,-1.0558763648296705,0.15380606941488784,0.17560670782112264,2.287506318807414,-0.758492966416608,-0.09642174164005658,0.0,4.073830931318219,4.779958954475308,Communication Services,1.524807268860788
QCOM,-0.6665358452448439,-0.05722750571340654,1.8302928621757677,0.26620349520472764,1.5232295690030075,1.7789758523334596,-0.30864116268708636,-0.579208551234902,4.404371039210896,Technology,1.4049946954169834
CRM,-1.1399183246304605,-0.43540647941650606,-0.25227381607741284,1.4907692442523428,3.254272724328146,-0.5648758565792334,0.0,1.6210195913307608,3.9735870832076374,Technology,1.2675745807929073
GILD,-1.0245699969732276,0.44184979058338697,1.5687101711979232,1.0766548764986945,-0.546939069602949,1.8760976244431478,0.3625808483205169,0.866259049191568,3.895481597018027,Healthcare,1.2426589247770081
CL,-1.3076287174660166,2.3876949048070526,-0.5280504890725587,3.5051464464147477,0.5059801957115069,-0.4910246087609262,-0.2851491619182084,-0.6258944125702816,3.731372480981733,Consumer Defensive,1.1903081043198211
V,-0.4240848633150051,-0.04790553579272113,0.39306937604169356,-0.2915956157452182,1.1400708060151474,0.09790312648944981,-1.4945904941331074,1.0233178769453988,3.385365664771853,Financial Services,1.0799319037170447
AAPL,-0.47460045231709463,0.23101369806416094,0.4114670403936326,-0.05604814439112979,0.5974098536563397,0.1992394394334298,-0.5017602115355403,1.703865411912122,3.1141070582870007,Technology,0.9934003876834405
LMT,-0.8314522347302713,2.1045015596154246,-0.5205686654677631,2.228687728240539,-0.12038140423589534,-0.47039585301978504,0.04193535713647795,0.5605592363837912,2.9090150096495617,Industrials,0.9279760086194481
GOOGL,-0.6404242232899816,-0.09573692196722343,2.321423947266805,-0.706727704372865,-0.591817327631879,2.1705029424968454,0.0,0.309438079571999,2.7666587920737005,Communication Services,0.8825643644202924
TMO,0.6630241910779295,-0.3234405199339888,-0.25509542621542414,-0.6913267964752974,1.0337653794914836,0.11065166262624815,-1.7013633392756455,0.4075983475730651,2.6465401774196615,Healthcare,0.8442465172390979
ORCL,-0.7938368769704917,0.40590526523426496,0.8051651329165216,0.5730434285101316,0.7924199365062138,0.5252059200663083,-1.0550164731767473,-0.8093195205107612,2.5535997589289345,Technology,0.8145985166944615
BA,-0.961032253896329,1.8258790268832394,-0.5308709098496391,2.429753859704033,-0.3542534936496348,-0.5469903638815222,-0.21481751662924653,0.34731997556766026,2.4246233575070546,Industrials,0.7734550348627902
AMGN,-0.5911647370793229,0.07122820523837277,1.2118226508106273,0.13749545070022373,0.6171589324085411,1.1831608879280846,-0.09723257599376872,-0.41093078092607166,2.3160031850742238,Healthcare,0.7388051916218928
SBUX,-1.0201131830009689,0.3569909011230067,-0.22786158829396838,1.2656288782605432,1.025557896374737,-0.32363481586509624,-0.7018556033216978,0.4664815870275807,2.244905278947532,Consumer Cyclical,0.7161249541773306
ABBV,-1.228616544625693,1.4296692806025026,-0.06189555657651398,2.7749746389275165,0.21024592266539935,-0.09091705145749399,1.2653502763268427,0.35032616796469895,2.1184365811735737,Healthcare,0.6757814299994629
NKE,-0.7090550742553591,0.16665965819637382,-0.07693733565032317,-0.1770881301255062,0.15127208713066487,0.6171260993999383,-1.0148551133843955,0.970958017752863,1.9577904358330471,Consumer Cyclical,0.6245352974567642
HD,-0.705710222314202,1.4155341947735367,-0.5344440474257476,1.566615410685192,0.3617386498638945,-0.33322604547167833,-0.4546120011929229,-0.32651949372886724,1.8986004475750509,Consumer Cyclical,0.6056536867150911
AIG,3.0936354897051945,-0.5451284701564105,0.0,-0.7956616684158259,0.6782010231045169,0.0,-1.0863642717457895,-1.664115520280626,1.8532951257026387,Financial Services,0.591201285603058
PYPL,-0.7159973486570643,-0.1735334623596142,-0.4452308361085015,0.141106583846957,1.7604366897458972,-0.2832529431476012,0.0,1.544152203554498,1.8276808868745709,Financial Services,0.5830303414750113
MSFT,-0.834003432343604,0.3077698610213142,0.8932239295256912,0.22162572967105212,0.2928767305305614,0.6378394338854072,-0.4059235511011708,-0.2738694385542807,1.6513863648373124,Technology,0.5267923755797043
PM,-1.2390550350227234,3.2445132926797626,-0.5131545690089453,2.6013374331323122,0.20870909086902428,-0.4615834676801034,1.923253308044432,-0.29484056671253783,1.622672870212357,Consumer Defensive,0.5176327686174865
TXN,-0.6403142281588824,0.11283300188118835,0.48583183258675156,-0.0054624730083504365,0.44727113179075906,1.0664675943813324,-0.7201797158092893,-0.5889741173504724,1.5978324579316152,Technology,0.5097086752167029
