Date,SMALL LoBM,ME1 BM2,SMALL HiBM,BIG LoBM,ME2 BM2,BIG HiBM
19280707,0.24,1.65,1.62,1.49,1.15,1.19
19280714,-1.7,-2.96,-3.24,-2.91,-2.24,-2.37
19280721,-0.81,0.15,-0.21,0.33,-0.56,-0.27
19280728,1.76,1.33,1.51,3,1.97,2.18
19280804,0.24,0.17,-0.03,-0.51,0.26,0.54
19280811,0.01,-0.75,-0.96,-1.11,-0.36,-0.66
19280818,1.78,1.55,1.98,2.49,1.85,2.76
19280825,2.71,1.89,1.68,4.37,1.85,2.52
19280901,2.13,1.89,1.06,3.04,1.76,2.43
19280908,0.65,2.52,0.58,0.16,0.91,0.56
19280915,2.01,1.26,2.15,1.13,1.14,3.49
19280922,1.91,0.67,3.73,0.75,0,0.25
19280929,0.4,-0.29,-0.79,0.76,-0.34,-0.36
19281006,0.25,1.03,1.25,-1.13,-1.16,-1.62
19281013,4.43,2.6,0.17,2.28,1.23,1.03
19281020,2.35,0.46,1.46,1.23,1.01,2.2
19281027,1.1,0.6,0.53,-0.15,0.96,1.41
19281103,-0.02,-0.71,-1.28,0.28,0.64,0.6
19281110,2.31,3.35,4.39,2.99,4.28,4.77
19281117,3.16,2.24,1.05,2.62,3.38,2.76
19281123,-1.04,1.9,2.45,1.7,1.21,2.55
19281201,1.39,2.21,3.21,1.48,1.95,0.55
19281208,-6.57,-8.49,-9.38,-8.7,-8.37,-9.07
19281215,3.03,3.05,3.96,1.9,3.04,3.89
19281222,3.23,1.72,2.5,4.39,2.66,2.95
19281229,1.74,2.51,1.65,3.23,2.45,2.72
19290105,1.75,3.12,2.45,2.28,1.99,2.47
19290112,-0.44,0.26,0.62,-0.19,-0.52,-0.22
19290119,-0.05,0.75,1.38,0.58,2.28,1
19290126,0.03,-0.61,-1.58,3.55,1.64,-0.58
19290202,-0.21,0.69,1.49,1.88,1.58,3.81
19290208,-4.79,-4.46,-4.54,-4.89,-4.34,-4.68
19290216,-1.18,-1.41,-2.52,-1.49,-1.34,-0.01
19290221,3.62,3.39,3.49,3.33,2.48,3.34
19290302,3.95,3.23,3.63,2.88,3.99,5.02
19290309,-3.69,-2.3,-2.43,-1.93,-1.23,-1.68
19290316,1.57,2.81,1.89,3.58,2.67,2.52
19290323,-2.82,-3.63,-3.7,-3.29,-1.9,-3.34
19290328,-1.93,-0.9,-0.92,0.05,2.05,0.37
19290406,-1.18,-1.68,-0.82,-1.61,-1.33,-1.14
19290413,-1.59,1.06,-0.89,0.9,0.06,-1.34
19290420,2.24,1.85,-0.16,1.28,0.67,0.9
19290427,0.48,0.53,1.45,0.75,0.83,0.99
19290504,0.54,2.18,1.64,2.91,1.7,3.84
19290511,-1.13,-0.37,-1.21,-0.98,-0.41,-1.05
19290518,-2.08,-2.21,-2.49,0.46,-1.92,-1.89
19290525,-4.58,-5.05,-5.74,-4.94,-2.55,-4.75
19290601,-2.86,-1.74,-3.49,-1.76,0.43,1.94
19290608,1.16,2.79,2.2,2.5,1.44,1.86
19290615,0.75,1.48,2.83,2.81,0.79,1.9
19290622,0.95,2.54,0.68,2.15,2.75,1.79
19290629,3.03,1.29,-0.3,3.93,3.52,1
19290706,1.42,1.65,1.75,3.33,1.91,2.32
19290713,0.8,0.8,1.66,-0.16,2.3,2.65
19290720,0.15,-1.35,1.04,-0.11,1.37,2.56
19290727,-2.78,-1.92,-2.46,-0.7,-0.41,-3.11
19290803,-0.32,0.75,1.55,4.15,3.59,1.39
19290810,-4.59,-3.47,-3.43,-3.89,-2.74,-1.1
19290817,2.52,2.46,4.03,3.53,7.28,3.13
19290824,-0.06,-0.14,-1.28,3.27,3.19,1.52
19290830,2.13,0.13,0.67,1.4,1.84,2.45
19290907,-1.1,0.62,-1.5,1.42,-0.55,-0.27
19290914,0.86,-0.24,-0.44,-2.15,-1.25,-1.05
19290921,-0.07,-0.81,0.66,0.67,-0.71,-0.83
19290928,-3.15,-3.54,-2.43,-3.76,-1.88,-3.05
19291005,-3,-1.34,-2.84,-1.42,-1.51,-1.76
19291011,3.57,2.84,3.33,2.13,3.43,3.69
19291019,-5.13,-5.57,-4.51,-9.21,-6.03,-4.56
19291026,-9.33,-10.06,-8.94,-9.23,-5.67,-4.22
19291031,-10.06,-6.79,-8.93,-9.4,-5.56,-5.09
19291108,-9.42,-8.31,-8.44,-13.83,-9.92,-7.47
19291115,-5.38,-5.71,-6.96,-4.36,-3.19,-2.93
19291122,3.81,6.17,6.61,7.11,4.75,5.31
19291127,-3.46,-1.34,-1.12,-2.61,-1.93,-2.14
19291207,5.99,3.74,6.52,9.38,6.23,4.71
19291214,-1.84,-3.38,-1.77,-3.45,-2.98,-0.29
19291221,-7.74,-5.87,-6.63,-6.74,-5.37,-4.22
19291228,-1.7,-1.15,-1.01,0.87,0.27,-0.56
19300104,4.98,4.34,4.05,4.86,2.78,2.14
19300111,1.79,1.24,2.16,-1.12,-0.05,0.28
19300118,-3.37,-0.64,-1.63,-0.6,-0.67,-0.1
19300125,3.08,5.49,3.83,4.11,2.88,2.43
19300201,3.43,1.61,1.93,5.1,2.02,0.31
19300208,0.74,-0.09,1.74,0.59,0.84,1.94
19300215,-0.17,0.72,1.97,-0.17,-0.16,-0.21
19300221,-0.61,-1.23,-0.62,-0.44,-0.85,-0.55
19300301,1.57,3.26,1.16,3,1.72,0.08
19300308,2.69,1.76,1.63,0.78,0.92,0.52
19300315,-0.79,2.1,0.82,-1.54,-0.26,-0.14
19300322,1.92,2.81,3.76,3.07,3.31,2.2
19300329,3.12,2.23,3.61,3.89,3.38,2.17
19300405,2.67,1.12,0.69,2.1,2.48,0.19
19300412,-0.65,0.52,0.06,1.17,-0.41,-1.26
19300417,0.39,0.44,-0.85,-0.37,-1.13,-1.02
19300426,-4.91,-1.44,-1.01,-2.84,-0.9,-1.76
19300503,-9.43,-8.07,-8.73,-10.48,-7.49,-6.24
19300510,4.39,2.56,1.79,6.15,3.27,2.89
19300517,0.3,0.41,3.77,1.48,0.45,0.97
19300524,-0.99,-0.37,-1.58,0.29,-0.41,-0.27
19300529,-0.4,0.95,0.25,1.59,0.9,-1.13
19300607,-4.66,-4.08,-4.59,-6.26,-4.26,-2.28
19300614,-5.88,-5.49,-6.72,-5.43,-4.87,-3.9
19300621,-10.77,-10.05,-11.15,-10.97,-6.97,-5.72
19300628,0.55,0.07,-0.14,0.97,0.78,-2.33
19300703,2.24,2.76,3.57,1.35,2.11,3.52
19300712,1.36,1.45,0.18,3.15,3.16,3.3
19300719,5.15,5.32,6.38,3.73,2.89,4.2
19300726,0.24,-1.92,-1.61,1.39,-0.16,-0.24
19300802,-1.24,-1.62,-2.27,-2.29,-1.75,-2.7
19300809,-3.87,-4.58,-5.61,-5.38,-3.61,-5.62
19300816,-1.28,-0.36,2.07,2.55,1.57,1.25
19300823,0.6,1.04,-0.23,2.19,-0.59,0.01
19300829,1,1.68,1.24,2.4,1.58,2.99
19300906,1,1.57,1.43,1.02,1.2,1.88
19300913,-0.03,1.24,-0.07,-0.57,-0.84,-1.66
19300920,-1.91,-3.14,-4.39,-3.3,-2.46,-3.28
19300927,-7.18,-9.53,-10.63,-6.89,-6.41,-8.84
19301004,-1.91,-0.48,-1.95,-0.01,-0.97,-3.21
19301011,-10.23,-8.43,-8.18,-8.49,-6.17,-8.81
19301018,-4.14,-4.33,-6.36,-3.67,-3.21,-5.05
19301025,2.11,2.56,2.6,4.1,1.49,2.9
19301101,-2.52,-2.7,-4.11,-3.64,-1.64,-3.22
19301108,-4.71,-6.56,-6.48,-7.36,-5.76,-9.66
19301115,9.64,6.39,5.25,7.53,5.68,7.1
19301122,-1.4,1.34,3.14,0.07,-0.41,1.85
19301129,-2.66,-3.19,-2,-2.28,-2.65,-5.47
19301206,-0.21,-2,-4.13,-1.85,-1.83,-2.28
19301213,-7.99,-8.05,-11.95,-6.94,-7.99,-9
19301220,0.29,-0.22,-0.1,3.19,1.17,3.75
19301227,-2.41,-3.74,-6.71,-3.66,-3.69,-7.5
19310103,5.58,8.79,11.75,7.96,9.48,14.73
19310110,0.17,4.67,9.2,0.79,1.74,4.93
19310117,-0.75,-2.01,-3.85,-3.65,-3.54,-3.31
19310124,3.32,4.2,2.93,4.6,3.52,5.39
19310131,0.51,-1.67,0.05,-0.95,-1,-1.79
19310207,3.04,2,2.44,2.93,1.17,2.26
19310214,4.13,3.63,5.44,4.55,3.4,3.44
19310221,7.11,5.96,6.6,4.77,3.33,5.78
19310228,-1.77,-0.43,1.62,0.32,-1.1,0.47
19310307,-1.39,-2.46,-2.55,-1,-3.31,-2.61
19310314,0.49,0.04,-0.88,0.2,-2.25,-0.25
19310321,2.08,3.44,3.8,2.63,0.23,1.6
19310328,-4.31,-3.91,-5.52,-5.63,-4.49,-5.68
19310404,-2.41,-1.06,-2.1,-0.79,-1.69,-2.7
19310411,-0.94,-0.63,-1.46,-1.37,-0.46,-2
19310418,-4.55,-4.98,-5.06,-3.2,-3.78,-4.85
19310425,-3.66,-5.91,-8.19,-4.85,-6.71,-7.9
19310502,-2.8,-1.91,-4.57,-0.58,-1.71,1.5
19310509,0.91,2.07,2.1,3.4,0.22,-0.28
19310516,-3.25,-2.71,-5.18,-4.85,-6.25,-7.1
19310523,-3.41,-3.44,-4.23,-4.01,-2.38,-2.95
19310529,-5.19,-5.13,-6.33,-5.1,-6.59,-8.57
19310606,1.11,1.36,3.92,0.87,1.47,5.13
19310613,-0.33,0,3.83,3.75,6.11,8.93
19310620,-0.11,0.4,1.78,2.21,1.08,-0.22
19310627,12.58,9.27,15.07,9.48,11.98,15.56
19310703,-0.01,-2.95,-1.58,-1.06,-2.04,-2.7
19310711,-3.98,-4.34,-4.18,-4.3,-6.93,-8.83
19310718,-2.84,-2.31,-2.83,-0.49,-1.86,-2.16
19310725,-0.99,-0.94,0.58,-2.08,-2.16,-1.62
19310801,-2.13,-2.37,-1.27,0.17,-2.37,-2.11
19310808,-0.47,-1.49,-4.05,-1.3,-3.24,-4.22
19310815,2.75,2.86,3.87,5.66,5.59,8.47
19310822,-2.98,-2.36,-1.84,-3.9,-4.64,-3.06
19310829,-1.01,0.09,-0.62,1.73,2.05,0.45
19310904,-0.78,-5.08,-6.16,-5.52,-7.09,-10.5
19310912,-6.27,-3.99,-6.48,-6.11,-6.46,-8.51
19310919,-10.44,-12.43,-15.97,-9.96,-12.3,-16.22
19310926,-5.59,-2.32,-2.16,-3.94,-0.03,3.96
19311003,-9.98,-14.16,-13.17,-11.8,-12,-13.56
19311010,8.78,12.12,13.17,12.09,13.62,16.66
19311017,-2.14,-1.14,-3.61,-2.15,-2.39,-2.25
19311024,2.3,2.95,4.31,5.44,2.55,1.97
19311031,-3.17,-1.31,-2.09,-2.62,-4.39,-0.46
19311107,6.38,10.01,8.42,7.68,7.15,10.4
19311114,-1.92,-4.83,-3.69,-5.59,-7.89,-9.21
19311121,-6.86,-6.22,-5.75,-5.95,-9.36,-9.55
19311128,-6.39,-4.81,-7.41,-4.75,-10.87,-10.06
19311205,-5.5,-3.22,-5.7,1.91,2.93,-1.03
19311212,-8.13,-11.01,-14.59,-9.85,-15.01,-15.21
19311219,3.83,-2.03,0.52,1.03,3.91,2.81
19311224,-3.7,-3.48,-6.95,-3.48,-8.35,-9.04
19320102,0.9,0.29,5.11,-1.84,-1.54,3.6
19320109,2.28,5.55,12.75,6.09,10.68,15.09
19320116,4.2,3.83,5.11,3.15,6.02,7.61
19320123,-4.68,-3.94,-4.88,-5.54,-6.45,-7.33
19320130,0.96,0.04,-1.22,-2.99,-4.12,-4.8
19320206,-5.08,-2.27,-2.34,-1.6,-4.77,-4.1
19320213,3.55,5.57,5.76,13.61,15.65,13.1
19320220,0.18,0.59,-0.61,-1.89,-4.6,-4.84
19320227,-1.25,-2.86,-1.24,-2.21,-2.56,-3
19320305,2.92,5.35,4.8,6.51,7.29,7.03
19320312,-2.25,-1.93,-1.23,-3.18,-4.6,-2.32
19320319,-4.65,-5.12,-5.92,-6.21,-8.84,-9.25
19320326,-1.64,-2.83,-3.36,-4.41,-4.48,-4.57
19320402,-6.32,-7.91,-7.2,-5.17,-8.55,-11.64
19320409,-10.67,-10.81,-9.54,-9.3,-11.35,-13.39
19320416,-2.37,2.01,-0.79,-0.95,1.16,6.84
19320423,-1.96,-6.07,-1.63,-4.79,-2.73,-1.91
19320430,-4.89,-0.62,-2.23,-2.2,-5.31,-4.27
19320507,-1.11,-2.29,2.6,2.72,1.65,1.64
19320514,-2.21,-4.32,-4.15,-7.18,-10.43,-9.61
19320521,-2.44,-3.53,-2.83,0.72,-1.52,0.49
19320528,-9.83,-11.92,-9.86,-9.47,-11.28,-13.55
19320604,2.39,3.56,5.08,4.33,12.73,12.32
19320611,0.07,0.03,-0.91,-4.86,-7.39,-5.8
19320618,0.98,-0.79,3.48,-0.2,-0.07,5.92
19320625,-2.39,0.16,-3.55,-4.67,-6.19,-8.5
