Date,SMALL LoBM,ME1 BM2,SMALL HiBM,BIG LoBM,ME2 BM2,BIG HiBM
19740208,-3.26,-2.05,-1.31,-3.55,-1.78,-1.73
19740215,-0.58,-0.43,-0.03,-0.87,0.27,0.49
19740222,2.6,1.9,2.39,3.39,3.43,3.76
19740301,2.38,1.72,1.69,0.64,0,1.07
19740308,3.83,2.36,2.09,2.92,1.76,1.02
19740315,1.97,1.32,1.61,2.24,0.87,0.59
19740322,-2.03,-1.58,-1.4,-1.87,-2.78,-1.56
19740329,-3.98,-2.73,-2.04,-4.09,-2.83,-2.87
19740405,-1.37,-0.94,-0.6,-0.99,-1.97,-0.62
19740411,-1.07,-1.04,-0.64,-1.14,-0.83,0.19
19740419,1.36,0.77,1.25,1.75,1.45,1.59
19740426,-5.7,-4.52,-3.76,-3.7,-4.42,-5.27
19740503,1.48,0.6,0.66,1.52,1.45,0.87
19740510,-0.87,-1.33,-1.18,0.26,-0.83,-0.41
19740517,-4.24,-3.79,-2.65,-2.94,-4.04,-4.34
19740524,-2.16,-2.19,-2.6,1.77,-1.1,-1.55
19740531,-1.07,-1.57,-1.09,-1.64,-0.83,-0.9
19740607,5.31,5.14,5.01,6.32,6.12,5.63
19740614,-0.81,-1.5,-0.78,-0.77,-2.26,-2.27
19740621,-4.14,-3.67,-2.99,-4.69,-4.06,-4.24
19740628,-3.36,-2.49,-2.26,-2.6,-1.26,-1.53
19740705,-3.91,-2.43,-2.63,-3.46,-1.58,-2.2
19740712,-2.54,-1.98,-1.71,-0.53,-1.22,-0.31
19740719,2.66,1.78,2.84,0.94,0.28,2.9
19740726,0.41,0.92,1.02,-2.48,1.31,0.52
19740802,-4.26,-3.02,-3.11,-5.35,-3.28,-3.9
19740809,4.27,3.33,3.97,2.85,3.79,3.45
19740816,-5.21,-4.15,-3.26,-7.15,-4.94,-4.79
19740823,-5.79,-4.25,-4.03,-6.53,-3.05,-3.55
19740830,-1.83,-2.48,-3.45,1.94,-1.39,-1.82
19740906,-2.3,-1.68,-1.57,-1.42,-0.35,0.14
19740913,-9.31,-6.49,-7.14,-9.32,-6.38,-8
19740920,5.51,4.17,4.8,8.36,6.72,7.34
19740927,-3.03,-1.57,-1.64,-8.58,-3.64,-3.88
19741004,-2.96,-2.95,-2.09,-4.97,-2.52,-3.37
19741011,9.68,8.75,8.55,16.37,10.45,9.83
19741018,3.61,1.25,0.79,2.25,1.12,-0.16
19741025,-1.72,-2.02,-1.91,-2.07,-2.74,-3.99
19741101,2.88,1.17,1.06,6.74,3.21,3.52
19741108,1.82,1.48,0.88,2.27,2.14,1.27
19741115,-2.97,-1.46,-1.61,-4.84,-1.88,-2.14
19741122,-4.89,-3.97,-4.67,-3.55,-4.81,-3.27
19741129,1,-0.34,-0.22,2.32,0.92,0.15
19741206,-7.72,-5.72,-6.86,-8.17,-5.02,-6.58
19741213,-0.72,-0.92,-1.38,2.74,3.59,1.8
19741220,-1.01,-1.16,-1.48,-0.47,-0.38,0.01
19741227,-0.08,0.45,0,0.63,0.17,0.48
19750103,5.85,7.42,8.25,4.5,7.36,6.89
19750110,6.09,7.07,8.41,1.67,5.31,6.11
19750117,2.46,2.34,2.22,-2.21,-1.1,-0.44
19750124,3.1,2.99,3.18,2.15,3.06,4.47
19750131,7.57,6.67,7.58,6.67,3.32,4.79
19750207,2.65,2.04,2.67,3.6,0.69,-0.14
19750214,3.73,1.56,0.8,4.34,2.23,1.9
19750221,1.06,0.38,0.7,1.23,1.41,1.18
19750228,-0.85,-0.84,-0.6,-1.12,-1.54,-0.83
19750307,3.83,4.06,4.35,3.43,3,5.55
19750314,3.94,3.61,4.52,0.45,1.46,1.39
19750321,-0.01,-0.32,-0.42,-0.98,-2.44,0.31
19750327,0.04,-0.45,-0.05,0.56,0.32,0.24
19750404,-1.44,-1.45,-1.78,-3.57,-2.73,-3.34
19750411,3.26,1.61,2.03,4.34,2.61,4.54
19750418,3.26,2.27,2.56,3.05,1.02,3.42
19750425,1.09,1.17,1.5,0.45,0.44,1.26
19750502,1.47,0.79,-0.37,3.31,2.17,1.76
19750509,3.65,2.95,2.79,1.72,3.07,0.72
19750516,0.87,0.75,0.39,0.11,-0.43,-0.01
19750523,1.57,0.26,0.56,0.72,-0.47,-1.33
19750530,2.25,1.49,2.1,0.57,1.52,0.4
19750606,2.42,2.62,1.66,1.48,1.77,1.47
19750613,-2.42,-1.42,-1.42,-2.33,-0.98,-1.3
19750620,2.16,1.84,1.85,2.17,3.47,3.23
19750627,3.67,3.5,2.64,2.61,1.61,3.57
19750703,0.67,0.79,1.57,-0.25,-0.83,-0.53
19750711,2.28,2.33,2.66,-0.25,1.97,3.49
19750718,0.84,0.96,1.92,-1.9,-0.03,-0.71
19750725,-4.88,-4.46,-5.57,-4.2,-4.25,-5.51
19750801,-1.69,-1.91,-2.43,-1.82,-0.71,-1.51
19750808,-3.57,-3.36,-4.71,-2.2,-2.29,-3
19750815,-0.56,-0.55,-0.83,0.37,0,0.16
19750822,-3.3,-2.76,-3.32,-2.3,-2.74,-2.62
19750829,3.99,3.2,3.12,3.15,3.94,4.45
19750905,-1.06,-0.54,-1.02,-1.76,-0.99,-1.05
19750912,-2.76,-2.38,-1.9,-3.18,-2.27,-2.62
19750919,1.48,0.87,0.93,3.45,2.17,3
19750926,0.52,0.36,0.23,0.51,0.71,-0.85
19751003,-1.82,-1.45,-1.59,-0.2,-0.66,-0.88
19751010,1.33,1.31,0.92,3.05,1.76,1.79
19751017,0.62,0.9,0.53,0.72,1.62,1.21
19751024,0.43,1.48,1.3,1.16,1.23,2.79
19751031,-1.47,-0.6,-1.02,-1.24,-0.51,-0.82
19751107,0.3,0.92,0.97,0.52,1.17,0.69
19751114,1.36,1.67,1.84,2.35,1.31,2.03
19751121,-1.58,-1.01,-0.7,-1.62,-1.27,-0.44
19751128,1.25,0.8,1.62,1.81,2.26,2.19
19751205,-4.68,-4.08,-4.69,-5.22,-4.65,-5.39
19751212,-0.31,-0.11,-0.71,0.97,1.28,1.07
19751219,1.22,1.32,1.39,1.14,1.59,1.6
19751226,1.27,1.32,1.72,1.6,2,3.22
19760102,2.08,2.19,3.42,0.49,1.31,3.03
19760109,4.91,5.65,6.67,4.42,5.33,5.71
19760116,2.49,3.59,4.39,1.84,2.67,3.7
19760123,3.36,4.19,6.31,1.9,2.42,3.62
19760130,2.42,3.06,3.63,1.6,2.42,1.73
19760206,1.09,0.94,1.7,-1.11,-0.36,-0.75
19760213,2.91,3.09,4.78,0.17,0.85,2.51
19760220,3.47,4.14,6.56,2.11,2.89,3.84
19760227,-0.95,-0.99,-1.36,-2.45,-1.49,-0.99
19760305,0.51,0.4,1.06,-0.77,-0.19,0.91
19760312,1.06,0.81,1,1.7,1.87,1.38
19760319,-1.22,-0.87,-0.56,-0.12,-0.73,-1.6
19760326,1.33,1.2,0.78,2.27,1.88,1.91
19760402,0.06,-0.11,-0.83,-0.48,-0.62,-0.96
19760409,-2.71,-2.45,-2.85,-1.91,-2,-3.6
19760415,-0.19,-0.42,-0.29,0.03,0.95,0.87
19760423,2.16,2.29,2.97,1.55,1.75,2.57
19760430,-0.48,-0.35,-0.66,-0.98,0.34,-0.73
19760507,0.54,-0.16,-0.55,0.64,-0.01,0.19
19760514,0.08,0.7,0.33,-0.61,0,1.3
19760521,-0.14,-0.37,-0.57,0.07,-0.24,0.36
19760528,-1.39,-2.27,-2.72,-0.72,-1.34,-2.35
19760604,-1.14,-0.57,-1.26,-1,-0.39,-0.92
19760611,1.1,0.33,0.34,1.94,1.42,1.59
19760618,2.44,2.61,3.29,2.82,3.04,3.33
19760625,0.79,0.53,0.6,0.08,0.25,0.58
19760702,1.08,0.87,0.91,0.36,0.66,1.07
19760709,1.12,1.36,1.69,0.87,0.75,1.1
19760716,0.59,0.48,0.52,-0.37,-0.08,-0.23
19760723,-0.96,-0.64,-0.67,-0.69,-0.1,-0.51
19760730,-2.25,-0.68,-1.12,-0.73,-0.31,0.03
19760806,-0.24,0.47,0.6,0.3,1.38,0.81
19760813,-0.55,0.17,-0.06,0.62,0.64,0.08
19760820,-2.7,-1.54,-1.81,-1.76,-1.48,-2.35
19760827,-0.9,-1.1,-0.99,-0.83,-0.52,-0.78
19760903,3.05,1.7,1.96,2.79,2.62,2.94
19760910,1.03,0.44,0.44,0.13,0.79,0.5
19760917,0.91,0.85,0.88,1.47,1.76,0.95
19760924,0.63,1.18,1.37,0.49,0.58,1.22
19761001,-2.17,-1.59,-1.81,-2.4,-1.91,-2.58
19761008,-1.54,-1.32,-1.64,-1.47,-1.49,-1.72
19761015,-1.73,-1.12,-1.57,-1.88,-0.99,-2.31
19761022,-0.65,-0.1,0.02,-0.95,-0.82,-0.36
19761029,2.34,1.56,1.6,3.01,2.72,2.3
19761105,-0.19,0.32,0.63,-2.14,-0.64,-0.07
19761112,-1.32,-1.21,-1.27,-1.79,-0.78,-2.26
19761119,3.62,2.7,2.61,3.03,2.57,4.27
19761126,2.02,1.44,2.05,1.29,2.04,0.84
19761203,0.83,1.19,1.15,-0.8,0.66,0.79
19761210,3.42,3.27,3.46,1.95,2.27,2.85
19761217,0.01,1.13,1.34,-0.79,0.53,1.35
19761223,0.45,0.5,0.09,0.72,0.15,-0.28
19761231,4.01,3.12,3.56,2.61,2.18,2.96
19770107,0.82,1.18,1.58,-2.59,-1.21,-0.71
19770114,0.8,0.35,0.74,-1.04,-0.47,0.19
19770121,0.77,1.1,1.45,-1.12,0.41,0.72
19770128,-0.97,0.01,-0.12,-1.9,-0.33,-0.2
19770204,1.05,0.3,0.74,0.02,0.52,0.08
19770211,-0.7,-0.51,-0.71,-1.45,-1.58,-2.09
19770218,-0.43,-0.01,0.74,0.38,0.36,0.98
19770225,-1.4,-1.15,-0.96,-0.93,-1.07,-1.51
19770304,1.82,1.22,0.95,1.93,1.56,2.46
19770311,0.24,0.38,0.2,-0.36,-0.41,-0.33
19770318,1.08,0.87,1.13,0.98,1.03,1.84
19770325,-1.17,-1,-1.38,-2.79,-2.37,-2.22
19770401,-0.99,-0.45,-0.27,-0.31,0.7,0.2
19770407,-0.79,-1.11,-0.72,-1.11,-0.46,-0.89
19770415,2.24,2.45,2.78,2.78,2.35,4.16
19770422,-0.62,-0.64,-0.21,-3.29,-1.17,-1.05
19770429,-0.31,0,0.18,-0.2,0.49,1.12
19770506,1.48,1.44,1.91,1.48,1.61,1.28
19770513,0.5,0.61,0.68,-0.48,0.34,0.05
19770520,0.92,0.57,1.22,0.54,0.47,0.45
19770527,-3.04,-2.03,-2.4,-3.14,-2.31,-3.2
19770603,0.64,0.67,0.44,1.81,0.86,1.26
19770610,1.87,1.21,1.41,0.93,0.64,1.23
19770617,1.9,1.28,1.33,1.97,1.28,1.06
19770624,1.67,2.04,2.07,1.41,1.27,1.52
19770701,0.81,0.73,0.87,-1.31,-0.48,-0.34
19770708,1.08,0.76,0.73,-0.35,0.06,0.03
19770715,0.78,0.55,0.57,0.52,0.59,-0.07
19770722,1.18,1.03,1.48,1.66,0.96,0.76
19770729,-3.26,-2.46,-2.64,-2.79,-2.52,-3.71
19770805,0.41,0.16,-0.1,0.24,0.13,-0.67
19770812,0.43,-0.35,-0.25,-0.32,-0.96,-1.34
19770819,0.14,-0.09,-0.48,0.78,-1.67,-1.48
19770826,-0.76,-0.82,-0.54,-1.09,-1.63,-0.49
19770902,1.87,1.51,0.98,1.34,1.6,1.89
19770909,-0.44,-0.31,-0.19,-1.48,-0.54,-1.14
19770916,0.65,0.16,0.05,0.09,0.4,-0.47
19770923,-1.12,-0.76,-0.83,-1.52,-1.16,-1.11
19770930,1.19,1.49,0.83,1.65,1.4,1.08
19771007,0.58,0.5,0.64,-0.6,-0.13,0.41
19771014,-3.17,-2.48,-1.9,-2.6,-2.62,-2.75
19771021,-1.17,-0.27,-0.28,-1.13,-1.19,-1.03
19771028,-0.33,-0.07,-0.14,0.35,0.14,0.1
19771104,0.16,0.02,0.47,-1.13,-0.06,-0.49
19771111,5.4,4.47,3.94,5.42,4.26,5.13
19771118,1.87,1.49,2.04,-0.52,-0.03,0.04
19771125,2.2,2.07,2.14,2.17,1.06,1.75
19771202,-0.23,0.08,0.23,-2.44,-1.29,-0.88
19771209,-0.94,-0.48,-0.58,-1.37,-0.63,-1.16
19771216,0.87,0.33,0.37,-0.39,0.22,-0.35
19771223,0.95,0.31,0.24,1.8,0.53,1.42
19771230,1.01,0.6,0.71,0.45,0.68,0.49
19780106,-4.17,-2.85,-1.94,-4.1,-3.17,-2.64
19780113,-2.48,-1.58,-1.12,-2.17,-2.19,-1.47
19780120,1.53,1.12,1.3,0.57,-0.28,1.15
19780127,-0.27,-0.07,0.2,-1.56,-1.18,-0.12
19780203,2.65,2.38,1.93,1.35,2.19,0.21
19780210,1.67,1.39,1.58,0.64,1.04,0.73
19780217,-1.46,-0.78,-0.48,-2.6,-1.69,-2.4
19780224,1.03,0.86,0.83,0.72,0.94,0.53
19780303,-0.38,-0.21,-0.14,-1.57,-0.5,-0.04
19780310,2.04,1.87,1.74,1.78,1.82,1.22
19780317,2.04,2.23,2.07,1.47,1.73,1.38
19780323,0.29,0.63,0.52,-1.17,-0.34,-0.39
19780331,0.85,1.29,1.97,-0.21,-0.15,0.24
19780407,2.46,1.57,1.59,1.48,0.83,1.27
19780414,3.11,3.01,2.6,3.8,2.28,2.6
19780421,1.75,1.17,0.99,1.93,1.03,1.21
19780428,2.19,1.59,1.75,3.47,1.25,1.54
19780505,2.03,2.38,2.05,0.15,0.67,0.24
19780512,2.9,2.06,2.15,2.44,0.78,0.56
19780519,2.18,1.49,1.48,0.09,0.24,1.19
19780526,-0.75,-0.96,-0.68,-1.48,-1.18,-0.84
19780602,1.71,1.35,1.34,1.85,1.4,1.51
19780609,2.8,3.18,2.8,2.3,1.55,1.79
19780616,-0.92,-0.46,-0.49,-2.48,-1.83,-2.45
19780623,-3.33,-1.42,-1.91,-1.82,-1.54,-1.52
19780630,-0.44,-0.63,-0.94,-0.38,-0.54,0.02
19780707,-0.74,-0.76,-0.62,-0.21,-0.84,-0.65
19780714,2.71,1.93,1.88,3.1,2.45,2.75
19780721,1.28,1.06,1.59,0.07,0.2,0.44
19780728,2.78,1.99,2.39,2.69,1.87,2.49
19780804,2.8,2.89,2.45,4.85,3.76,3.84
19780811,2.71,2.19,2.49,0.2,0.71,-0.01
19780818,2.6,2.39,2.35,0.92,0.96,0.81
19780825,1.65,1.37,1.98,0.42,0.48,-0.06
19780901,-0.51,0.08,-0.14,-1.34,-0.67,-1.12
19780908,2.87,2.49,2.74,3.31,2.75,2.56
19780915,-1.01,-0.8,-0.69,-3.25,-1.62,-1.61
19780922,-4.59,-3.38,-3.6,-2.98,-1.77,-2.08
19780929,0.67,0.99,0.8,0.15,1.2,0.58
19781006,1.14,0.66,0.87,0.76,1.17,1.4
19781013,1.18,0.77,1.22,1.24,0.96,0.67
19781020,-12.96,-9.78,-10.27,-6.81,-6.28,-7.57
19781027,-9.47,-7.16,-7.75,-4.43,-3.3,-4.68
19781103,2.51,0.71,0.89,2.92,1.8,1.32
19781110,-1.28,-0.5,-1,-1.46,-1.1,-1.03
19781117,-0.68,-1.54,-1.34,-0.09,-0.13,-0.17
19781124,4.2,2.65,2.64,1.87,1.63,2.12
19781201,1.03,1.17,0.47,0.75,0.64,0.36
19781208,1.75,1.53,1.72,0.61,0.61,0.87
19781215,-1.52,-1.16,-0.8,-1.48,-0.86,-1.75
19781222,0.22,-0.36,-0.19,2,-0.04,-0.04
19781229,0.43,-0.02,-0.04,-0.16,-0.39,-0.84
19790105,5.49,4.48,4.75,3.23,2.95,4.72
19790112,1.87,1.96,1.82,1.18,0.61,0.73
19790119,0.49,0.69,1.28,-0.54,-0.08,0.72
19790126,1.77,1.41,1.94,1.47,2.87,2.13
19790202,-1.35,-0.75,-0.66,-2.56,-1.31,-1.99
19790209,-2.01,-1.18,-1.21,-1.65,-1.13,-1.13
19790216,1.82,1.13,1.5,0.86,0.9,0.89
19790223,-0.42,-0.25,-0.15,-0.94,-0.63,-0.61
19790302,-1.58,-0.9,-1.09,-0.96,-0.57,-0.71
19790309,3,2.68,3.24,2.53,2.73,3.74
19790316,2.77,1.68,1.49,1.1,1.45,1.4
19790323,2.09,1.36,1.58,1.46,0.15,1.09
19790330,1.93,1.19,0.98,0.01,0.17,0.14
19790406,1.73,2.01,1.32,1.3,1.98,1.74
19790412,-0.64,0.24,0.37,-1.34,-0.72,-0.49
19790420,-0.33,-0.04,0.16,-0.39,-1.1,-1
19790427,1.24,0.85,1.43,0.58,0.45,0.6
19790504,-0.99,-0.22,-0.4,-0.97,-0.43,-1.46
19790511,-3.65,-2.88,-2.71,-2.01,-1.99,-1.69
19790518,1.69,1.39,1.41,1.12,1.73,2.13
19790525,1.31,1.88,2.01,1.23,0.54,0.25
19790601,-0.98,-0.88,-0.67,-0.92,-1.07,-0.7
19790608,3.28,2.17,2.86,2.04,3.07,2.94
19790615,0.97,1.94,1.57,0.53,0.89,1.26
19790622,1.05,1.02,1.39,0.55,0.38,0.97
19790629,0.03,0.41,0,-0.08,0.93,0.36
19790706,0.37,0.93,1.04,0.65,0.84,1.22
19790713,-0.79,0.09,0.15,-1.59,-0.83,-0.56
19790720,-0.52,-0.09,-0.57,-0.67,-0.41,-0.05
19790727,2.16,2.09,1.61,1.21,1.62,1.45
19790803,1.75,2.07,1.61,1.6,0.69,1.07
19790810,2.66,2.16,1.81,3.5,1.56,1.96
19790817,2.04,1.87,2.21,1.88,1.89,1.82
19790824,1.34,0.71,0.93,-0.4,1.14,0.69
19790831,1.74,1.36,1.4,1.05,0.62,0.62
19790907,-2.07,-1.91,-1.76,-2.11,-1.03,-1.14
19790914,2.54,1.39,1.16,1.01,1.75,0.45
19790921,0.47,-0.02,0.02,1.54,1.26,1
19790928,-0.05,-0.51,-0.43,-1.23,-0.97,-1.01
19791005,3.06,1.7,1.91,1.79,1.85,1.88
19791012,-9.21,-8.39,-8.93,-6.03,-6.05,-6.98
19791019,-3.36,-3.28,-3.03,-3.47,-1.95,-3.09
19791026,-1.71,-1.95,-2.48,-0.39,-1.43,-1.11
19791102,3.46,2.26,1.84,2.23,2.96,1.73
19791109,-0.31,-0.53,-0.38,-0.39,-0.6,-0.78
19791116,3.41,1.91,1.82,2.45,2.48,2.32
19791123,1.61,0.9,0.61,1.22,0.91,-0.01
19791130,4.39,3.4,3.8,2.36,1.46,1.78
19791207,3.05,2.4,1.93,1.78,1.16,1.12
19791214,3.06,1.5,1.47,1.66,1.26,0.77
19791221,0.31,0.36,0.39,-1.05,-1.31,-0.65
19791228,1.12,0.52,1,0.45,0,0.61
19800104,-1.54,-0.99,-0.58,-1.57,-1.26,-0.68
19800111,4.99,4.81,4.38,4.03,2.69,4.14
19800118,2.18,1.97,2.23,0.08,1.25,1.67
19800125,1.8,1.48,1.95,2.18,2.67,1.54
19800201,1.28,1.06,0.97,0.88,1.88,1.83
19800208,2.55,1.13,1.68,0.8,3.78,4.25
19800215,-2.08,-1.43,-1.63,-1.38,-2.4,-3.07
19800222,-0.81,-1.73,-1.84,-1.54,0.43,-0.34
19800229,-0.42,-1.45,-1.37,-1.63,-0.47,-0.98
19800307,-8.3,-6.84,-7.1,-5.46,-6.42,-6.5
19800314,-1.85,-1.77,-2.1,-1.44,-0.69,-1.54
19800321,-4.43,-3.58,-3.73,-3.22,-2.45,-3.41
19800328,-8.13,-6.34,-7.01,-0.63,-3,-3.82
19800403,4.98,4.15,3.21,2.1,1.89,2.84
19800411,1.6,1.31,1.87,0.89,1.95,3.13
19800418,-3.92,-1.98,-1.72,-3.59,-2.27,-3.33
19800425,4.25,2.99,2.58,5.32,4.09,4.1
19800502,1.25,1.46,1.44,-0.11,1.15,0.93
19800509,1.24,2.12,2.55,0.01,-0.61,1
19800516,3.27,2.93,2.59,3.13,2.13,1.5
19800523,2.66,2.28,2.42,3.08,3.54,2.64
19800530,0.88,0.2,0.25,0.32,0.66,1.37
19800606,2.41,1.65,1.84,2.32,1.82,1.01
19800613,2.43,2.12,1.54,1.93,3.2,2
19800620,-0.83,-0.35,0.07,-1.29,-1.7,-0.58
19800627,2.35,1.7,1.6,1.63,1.9,1.43
19800703,1.89,1.16,1.03,1.53,1.09,0.25
19800711,2.01,1.98,1.34,0.73,0.29,0.34
19800718,4.82,4.01,2.98,3.88,3.54,1.64
19800725,0.02,-0.11,-0.19,-0.74,-1.45,-1.08
19800801,3.26,2.09,1.56,1.68,-0.15,0.03
19800808,2.64,2.49,1.67,2.68,1.98,1.37
19800815,2.92,2.31,1.73,2.11,1.89,1.25
19800822,2.05,0.23,0.75,0.53,0.57,1.01
19800829,-0.19,-0.85,-0.93,-2.82,-2.82,-1.27
19800905,3.56,2.62,2.29,2.31,1.8,2.65
19800912,3.18,2.4,1.48,0.85,1.16,-1.13
19800919,4.43,2.65,1.55,4.09,2.46,1.63
19800926,-4.1,-3.19,-3.23,-2.5,-1.17,-3.3
19801003,2.83,0.39,0.62,3.21,2.78,0.31
19801010,3.06,1.8,1.69,0.84,1.15,0.3
19801017,0.01,0.05,0.56,0.61,1.46,-0.44
19801024,-0.31,-0.31,-0.46,-2.02,-1.19,0.02
19801031,-1.49,-1.27,-1,-1.37,-2.26,-1.81
19801107,1.05,0.02,-0.56,1.95,2.19,-0.53
19801114,6.45,3.49,2.71,6.8,7,4.12
19801121,2.59,0.7,0.39,2.56,1.67,-0.16
19801128,1.88,0.27,0.38,-0.04,2.11,1.37
19801205,-3.02,-1.53,-1.95,-4.01,-5.92,-3.23
19801212,-7.61,-5.26,-4.77,-4.17,-2.97,-2.77
19801219,4.03,2.57,2.8,3.08,3.72,5.51
19801226,1.36,2.28,2.69,2.6,1.46,1.57
19810102,1.22,1.28,1.22,0.64,-0.52,0.01
19810109,-4.53,-0.92,0.03,-3.02,-2.48,-0.09
19810116,2.01,1.76,1.49,0.93,1.53,0.64
19810123,-2.14,-1.32,-1.23,-3.23,-4.06,-2.2
19810130,0.17,0.41,0.86,-0.99,-0.7,1.85
19810206,-0.18,0.98,1.29,0.94,1.51,0.6
19810213,-2.89,-0.58,-0.41,-2.73,-2.75,-2.03
19810220,-1.39,-0.6,-0.95,-0.36,-0.81,0.16
19810227,3.83,2.53,2.85,5.14,3.44,2.66
19810306,1.16,1.19,1.28,-1.29,-0.65,-0.03
19810313,1.49,2.23,1.45,2.42,2.79,3.13
19810320,2.07,2.5,3.58,0.75,0.39,1.95
19810327,1.78,1.14,0.41,1.14,0.54,-0.64
19810403,1.87,2.44,1.69,0.4,0.77,1.04
19810410,0.9,1.3,1.63,0.01,-1.67,1.11
19810416,1.09,0.76,0.95,-0.09,-0.29,0.57
19810424,1.3,1.72,1.6,0.34,0.15,0.55
19810501,-1.88,-1.83,-1.55,-1.93,-0.79,-2.03
19810508,-0.35,-1.48,-1.5,-0.66,-0.12,-0.61
19810515,1.05,1.16,0.86,0.09,-0.03,2.7
19810522,1.85,0.96,0.66,0.09,-0.5,-0.11
19810529,2.67,2.05,1.95,1.12,0.24,1.84
19810605,-1.68,0.36,0.41,-0.71,0.74,-0.92
19810612,0.38,1.88,1.81,0.41,1.41,2.58
19810619,-2.46,-0.45,-0.08,-1.95,0.12,-0.15
19810626,-0.16,0.39,0.32,0.43,0.45,-0.15
19810702,-3.74,-2.71,-1.98,-3.17,-2.63,-3.33
19810710,-1.43,-0.65,-0.66,0.79,0.46,0.04
19810717,1.04,0.64,0.53,1.67,0.77,0.36
19810724,-2.4,-2.54,-1.77,-1.55,-1.83,-1.58
19810731,2.12,1.47,1.31,2.42,1.84,2
19810807,-0.07,0.54,0.01,1.44,0.98,0.95
19810814,0.36,0.03,0.34,0.65,0.47,0.83
19810821,-3.13,-1.94,-1.25,-3.19,-2.06,-1.77
19810828,-5.88,-3.94,-3.39,-4.69,-3.78,-1.88
19810904,-5.07,-2.81,-2.03,-3.96,-3.07,-2.73
19810911,1.12,-0.38,0.26,1.28,1.19,2.01
19810918,-5.25,-2.2,-1.63,-5.26,-4.16,-1.96
19810925,-7.09,-4.59,-3.37,-3.74,-3.86,-0.63
19811002,8.53,4.8,2.86,7.75,5.51,3.2
19811009,5.56,3.53,2.87,2.69,1.72,1.79
19811016,-1.34,-0.22,0.5,-1.86,-1.75,-1.07
19811023,-0.01,-0.1,-0.2,0.24,-0.67,-0.98
19811030,2.51,1.31,1.02,3.58,2.09,2.95
19811106,1.77,2.29,1.77,1.4,1.4,0.86
19811113,-1.31,0.53,1.44,-2.04,-0.2,2.14
19811120,-1.33,-0.37,-0.43,0.44,0.37,0.45
19811127,1.38,1.69,1.59,2.97,2.65,0.75
19811204,0.41,0.97,0,0.9,1.17,-0.2
19811211,-1.44,-0.73,-0.77,-0.75,-1.24,-1.43
19811218,-0.05,-0.67,-0.75,-0.59,-0.78,-1.04
19811224,-0.75,-0.33,-0.12,-1.3,-0.93,-0.27
19811231,-0.05,0.41,0.34,-0.09,-0.07,0.32
19820108,-2.15,-1.52,0.19,-3.45,-2.39,-0.02
19820115,-3.49,-2.46,-1.88,-2.63,-3.16,-2.17
19820122,-1.41,-0.53,-0.06,-1,-1.35,0.62
19820129,2.29,1.21,0.94,5.41,3.32,2.06
19820205,-1.07,0.17,0.69,-2.33,-1.41,-1.53
19820212,-4.19,-2.28,-1.29,-3.26,-2.11,-0.69
19820219,-0.83,-0.67,-1.04,-0.76,-0.75,-1.13
19820226,-1.34,-0.17,0.9,-1.32,0.85,1.43
19820305,-5.82,-1.85,-0.36,-5.74,-2.34,1.68
19820312,-3.69,-1.94,-0.95,-1.4,-0.46,-0.34
19820319,3.56,0.96,1.03,3,1.4,0.14
19820326,3.84,1.97,1.53,2.33,1.04,0.64
19820402,2.83,1.84,1.23,3.88,2.37,0.72
19820408,1.61,1.46,1.02,1.35,1.16,0.21
19820416,0.71,1.02,1.03,1.31,-0.13,0.72
19820423,1.77,1.74,1.29,1.27,1.67,1.93
19820430,-0.15,-0.15,-0.35,-1.93,-1.69,-1.6
19820507,2.09,1.87,1.67,2.8,3.49,2.61
19820514,0.13,-0.13,0.04,-1,-0.65,-1.17
19820521,-3.54,-2.44,-1.78,-2.91,-2.73,-1.51
19820528,-2.29,-1.49,-1.44,-2.34,-2.34,-1.99
19820604,-2.33,-1.35,-1.02,-1.7,-1.24,-1.69
19820611,-0.12,-0.16,-0.14,1.22,0.97,0.84
19820618,-3.8,-2.06,-1.31,-4.19,-3.07,-2.45
19820625,2.14,1.34,0.76,2.54,1.42,0.28
19820702,-0.98,0,0.17,-1.51,-1.03,-0.35
19820709,-0.08,-0.06,-0.16,1.77,-0.43,1.28
19820716,1.15,1.3,0.69,3.38,1.25,0.95
19820723,1.25,0.99,0.97,-0.01,-0.3,0.6
19820730,-3.26,-2.41,-2.41,-3.58,-3.49,-3.21
19820806,-3.42,-1.4,-1.02,-4.01,-2.43,-1.17
19820813,-3.55,-1.92,-1.55,-1.17,0.17,2.02
19820820,6.41,5.38,6.09,8.44,8.77,9.13
19820827,7.9,5.17,3.7,5.46,4.55,1.76
19820903,3.11,3.65,2.47,5.75,4.5,3.37
19820910,0.26,0.57,1.15,-1.41,-0.39,-1.67
19820917,1.61,1.57,1.45,2.18,1.07,0.65
19820924,0.52,1.01,1.05,1.08,0.49,0.65
19821001,-0.93,0,0.24,-1.64,-0.89,-0.03
19821008,5.63,5.33,4.45,8.29,7.16,6.66
19821015,4.54,3.64,3.19,0.98,3.25,0.92
19821022,5.26,4.38,3.98,5.1,3.68,2.63
19821029,-1.25,-1.13,-0.95,-2.98,-4.19,-2.16
19821105,7.15,6.17,6.74,7.24,6.46,5.88
19821112,2.77,2.23,2.08,-0.77,-2.3,-0.83
19821119,-1.91,-0.77,-0.33,-1.62,-1.7,-1.61
