Date,TECHM
2010-01-04,255.75
2010-01-05,259.0249938964844
2010-01-06,260.29998779296875
2010-01-07,254.5749969482422
2010-01-08,261.2749938964844
2010-01-11,259.625
2010-01-12,261.38751220703125
2010-01-13,271.7749938964844
2010-01-14,270.36248779296875
2010-01-15,284.2875061035156
2010-01-18,284.26251220703125
2010-01-19,279.3500061035156
2010-01-20,280.0249938964844
2010-01-21,276.8500061035156
2010-01-22,284.4125061035156
2010-01-25,262.2749938964844
2010-01-27,236.1125030517578
2010-01-28,249.21249389648438
2010-01-29,243.125
2010-02-01,242.14999389648438
2010-02-02,237.1999969482422
2010-02-03,240.97500610351562
2010-02-04,235.91250610351562
2010-02-05,234.1750030517578
2010-02-08,235.7624969482422
2010-02-09,235.5
2010-02-10,233.2375030517578
2010-02-11,235.1750030517578
2010-02-15,236.9875030517578
2010-02-16,237.47500610351562
2010-02-17,239.9499969482422
2010-02-18,239.72500610351562
2010-02-19,235.03750610351562
2010-02-22,235.1374969482422
2010-02-23,232.125
2010-02-24,229.4875030517578
2010-02-25,226.8625030517578
2010-02-26,222.71249389648438
2010-03-02,224.28750610351562
2010-03-03,227.25
2010-03-04,229.625
2010-03-05,232.9250030517578
2010-03-08,227.89999389648438
2010-03-09,226.8125
2010-03-10,224.83749389648438
2010-03-11,225.875
2010-03-12,226.7624969482422
2010-03-15,225.625
2010-03-16,228.3625030517578
2010-03-17,229.6374969482422
2010-03-18,226.6875
2010-03-19,226.6125030517578
2010-03-22,227.91250610351562
2010-03-23,227.53750610351562
2010-03-25,223.5749969482422
2010-03-26,226.7624969482422
2010-03-29,226.0749969482422
2010-03-30,220.6374969482422
2010-03-31,213.27499389648438
2010-04-01,214.875
2010-04-05,215.1875
2010-04-06,215.28750610351562
2010-04-07,212.7624969482422
2010-04-08,212.625
2010-04-09,212.5124969482422
2010-04-12,212.1125030517578
2010-04-13,211.5
2010-04-15,211.64999389648438
2010-04-16,210.125
2010-04-19,207.14999389648438
2010-04-20,205.52499389648438
2010-04-21,207.4875030517578
2010-04-22,207.5625
2010-04-23,206.02499389648438
2010-04-26,205.5625
2010-04-27,200.97500610351562
2010-04-28,192.5
2010-04-29,192.0625
2010-04-30,193.5500030517578
2010-05-03,193.8125
2010-05-04,185.9375
2010-05-05,184.08749389648438
2010-05-06,183.5500030517578
2010-05-07,178.25
2010-05-10,182.96249389648438
2010-05-11,177.1374969482422
2010-05-12,183.5
2010-05-13,182.71249389648438
2010-05-14,178.4875030517578
2010-05-17,179.75
2010-05-18,178.35000610351562
2010-05-19,169.6750030517578
2010-05-20,165.46249389648438
2010-05-21,163.25
2010-05-24,165.9375
2010-05-25,160.125
2010-05-26,158.6374969482422
2010-05-27,155.1374969482422
2010-05-28,161.0
2010-05-31,159.0500030517578
2010-06-01,159.53750610351562
2010-06-02,167.3000030517578
2010-06-03,178.6750030517578
2010-06-04,176.3249969482422
2010-06-07,176.8625030517578
2010-06-08,175.3125
2010-06-09,175.3625030517578
2010-06-10,178.83749389648438
2010-06-11,181.875
2010-06-14,184.85000610351562
2010-06-15,183.2624969482422
2010-06-16,181.7375030517578
2010-06-17,185.9875030517578
2010-06-18,183.9499969482422
2010-06-21,182.8249969482422
2010-06-22,179.2624969482422
2010-06-23,187.66250610351562
2010-06-24,184.85000610351562
2010-06-25,184.66250610351562
2010-06-28,186.0
2010-06-29,184.46249389648438
2010-06-30,183.5500030517578
2010-07-01,184.0749969482422
2010-07-02,183.14999389648438
2010-07-05,188.41250610351562
2010-07-06,190.375
2010-07-07,189.10000610351562
2010-07-08,190.6125030517578
2010-07-09,194.1750030517578
2010-07-12,193.6875
2010-07-13,191.2375030517578
2010-07-14,191.1125030517578
2010-07-15,191.97500610351562
2010-07-16,192.72500610351562
2010-07-19,190.46249389648438
2010-07-20,189.5625
2010-07-21,188.60000610351562
2010-07-22,187.4250030517578
2010-07-23,186.6750030517578
2010-07-26,184.3874969482422
2010-07-27,177.6125030517578
2010-07-28,179.16250610351562
2010-07-29,175.66250610351562
2010-07-30,175.0500030517578
2010-08-02,175.6374969482422
2010-08-03,180.6374969482422
2010-08-04,184.3125
2010-08-05,181.60000610351562
2010-08-06,179.75
2010-08-09,180.58749389648438
2010-08-10,178.83749389648438
2010-08-11,178.39999389648438
2010-08-12,177.52499389648438
2010-08-13,177.9499969482422
2010-08-16,177.03750610351562
2010-08-17,178.71249389648438
2010-08-18,178.9375
2010-08-19,178.875
2010-08-20,177.6875
2010-08-23,178.39999389648438
2010-08-24,176.4375
2010-08-25,173.8625030517578
2010-08-26,167.10000610351562
2010-08-27,164.0
2010-08-30,162.75
2010-08-31,159.5625
2010-09-01,161.6999969482422
2010-09-02,169.1750030517578
2010-09-03,175.0124969482422
2010-09-06,176.0
2010-09-07,176.85000610351562
2010-09-08,177.52499389648438
2010-09-09,177.8000030517578
2010-09-13,178.10000610351562
2010-09-14,178.4375
2010-09-15,184.10000610351562
2010-09-16,179.96249389648438
2010-09-17,179.83749389648438
2010-09-20,179.6999969482422
2010-09-21,181.9375
2010-09-22,196.9875030517578
2010-09-23,200.22500610351562
2010-09-24,193.3625030517578
2010-09-27,194.10000610351562
2010-09-28,196.4250030517578
2010-09-29,198.3125
2010-09-30,188.0
2010-10-01,191.875
2010-10-04,191.14999389648438
2010-10-05,191.2624969482422
2010-10-06,194.5
2010-10-07,190.97500610351562
2010-10-08,191.66250610351562
2010-10-11,191.8625030517578
2010-10-12,193.10000610351562
2010-10-13,196.8125
2010-10-14,194.125
2010-10-15,188.0625
2010-10-18,188.97500610351562
